#{"t_start": 1780751814.1456542, "env_id": "None"}
r,l,t
16.134639,161,12.121971
52.705409,88,19.279038
70.746314,41,23.88344
54.78117,97,31.004797
21.083546,147,41.31269
58.647614,70,47.343223
20.92559,153,57.66935
40.369459,107,65.59826
62.072211,69,71.6696
61.775314,81,78.337244
69.670615,46,83.491914
79.851343,33,87.178859
56.61588,98,94.806289
81.599616,29,98.289418
64.378431,63,103.888742
32.462061,147,113.665839
50.28646,100,121.298905
80.263615,19,125.066762
17.207154,176,136.532617
8.759971,183,148.342327
28.667482,152,158.479769
62.348041,68,164.35657
61.088339,84,171.026507
50.000954,103,178.858194
64.061695,59,184.243559
56.512352,71,189.9206
60.588937,72,196.022867
64.915117,60,201.964731
61.413706,78,208.078363
77.193463,24,211.72753
64.300962,65,217.495195
35.314547,125,226.027795
64.696183,66,231.840982
53.654637,89,238.921316
72.349318,55,244.538781
39.360356,124,253.456802
59.159512,72,259.654931
75.596991,23,263.365539
24.510592,151,273.618797
72.785001,41,277.817825
57.074702,69,283.910639
56.74204,69,290.244112
69.27097,63,295.896745
43.207378,120,304.486328
78.960263,30,308.517996
69.540064,42,313.192592
37.52603,130,322.39784
15.887169,173,334.116814
-142.549253,300,352.086674
78.077768,32,356.142075
77.862953,17,359.206157
53.350848,87,366.326553
64.073146,60,371.916361
68.391196,58,376.864025
75.920283,19,380.341732
50.181736,98,387.858407
61.923757,73,394.016497
71.316297,35,398.309215
10.193044,161,409.326367
74.091581,32,413.070844
34.502209,129,422.125604
70.310917,46,426.501248
63.608544,60,432.07314
-12.76435,228,446.02352
34.614136,122,455.105734
64.085669,74,461.008492
72.7437,53,466.173108
39.744811,117,474.331532
