episode,timesteps,window,moving_average_reward,best_moving_average_reward,episodes_since_improvement,stopped
30,2679,30,52.9042166,52.9042166,0,0
31,2744,30,54.509760699999994,54.509760699999994,0,0
32,2869,30,53.930065299999995,54.509760699999994,1,0
33,2935,30,53.72839426666666,54.509760699999994,2,0
34,3024,30,53.69084316666667,54.509760699999994,3,0
35,3079,30,55.39970223333333,54.509760699999994,4,0
36,3203,30,54.75679363333333,54.509760699999994,5,0
37,3275,30,56.03125769999999,56.03125769999999,0,0
38,3298,30,57.20550876666666,57.20550876666666,0,0
39,3449,30,55.953454799999996,57.20550876666666,1,0
40,3490,30,56.320444366666656,57.20550876666666,2,0
41,3559,30,55.90058060000001,57.20550876666666,3,0
42,3628,30,55.13027050000001,57.20550876666666,4,0
43,3691,30,55.55210683333335,57.20550876666666,5,0
44,3811,30,54.272365566666686,57.20550876666666,6,0
45,3841,30,54.75842663333334,57.20550876666666,7,0
46,3883,30,55.99436006666667,57.20550876666666,8,0
47,4013,30,55.56901240000001,57.20550876666666,9,0
48,4186,30,53.423130866666675,57.20550876666666,10,0
49,4486,30,48.09791730000002,57.20550876666666,11,0
50,4518,30,50.408510533333356,57.20550876666666,12,0
51,4535,30,52.04835956666668,57.20550876666666,13,0
52,4622,30,51.74845313333334,57.20550876666666,14,0
53,4682,30,51.84794670000001,57.20550876666666,15,0
54,4740,30,52.460954766666674,57.20550876666666,16,0
55,4759,30,52.85624103333335,57.20550876666666,17,0
56,4857,30,52.64522050000001,57.20550876666666,18,0
57,4930,30,52.68971450000001,57.20550876666666,19,0
58,4965,30,52.903087166666666,57.20550876666666,20,0
59,5126,30,51.19573176666667,57.20550876666666,21,0
60,5158,30,51.0923357,57.20550876666666,22,0
61,5287,30,50.09904393333333,57.20550876666666,23,0
62,5333,30,51.2655896,57.20550876666666,24,0
63,5393,30,51.22933496666666,57.20550876666666,25,0
64,5621,30,49.015368733333325,57.20550876666666,26,0
65,5743,30,47.75752933333333,57.20550876666666,27,0
66,5817,30,48.58170643333334,57.20550876666666,28,0
67,5870,30,49.03451270000001,57.20550876666666,29,0
68,5987,30,47.83944003333333,57.20550876666666,30,1
