#{"t_start": 1780776162.5839682, "env_id": "None"}
r,l,t
-622.527394,1000,62.837758
-56.286752,332,88.805958
-618.043068,1000,149.57918
-114.593466,432,178.222698
-594.192752,1000,237.700033
-71.667117,353,261.785564
-118.240554,415,289.30293
-602.115582,1000,348.959892
-644.468921,1000,407.207074
-106.830422,407,436.39329
-555.737752,1000,497.090393
-557.026149,1000,556.071831
-575.672271,1000,614.791572
-130.429386,442,644.890297
-542.068772,1000,705.593825
-389.601304,833,754.8016
-603.573498,1000,813.668992
-599.292695,1000,875.589464
-213.015502,576,913.403932
-331.591241,726,958.285869
-82.295477,382,985.212297
-101.770515,415,1013.73223
-135.079729,453,1044.126486
-582.230583,1000,1103.188407
-433.898494,855,1156.046597
-36.211847,322,1177.256282
-35.16614,323,1198.920367
-629.828686,1000,1256.818363
-623.487112,1000,1316.046458
-116.860564,449,1345.851217
-170.721277,510,1378.389877
-109.246613,411,1405.31134
-565.483203,1000,1463.690478
-641.943531,1000,1522.077914
-187.25347,556,1557.563744
-158.963145,491,1591.752434
-181.061847,515,1628.025997
-351.287084,782,1678.392088
-169.010028,538,1713.803187
10.881948,260,1733.190601
-115.444822,450,1763.549021
-266.68614,653,1804.794068
-57.009053,357,1830.343774
-610.489397,1000,1889.736791
-609.273948,1000,1950.421046
-618.141356,1000,2011.47617
-77.398789,373,2038.433703
-594.169039,1000,2099.274401
-565.639885,1000,2159.836099
-571.487265,1000,2219.88359
-559.865805,1000,2277.531487
-357.388772,814,2326.467462
-583.853858,1000,2386.543425
-609.951274,1000,2446.130984
-546.970123,1000,2505.014314
-556.830629,1000,2563.393961
-541.333514,1000,2623.34085
-90.993093,408,2652.971515
-338.212384,793,2702.602111
-140.307501,501,2737.384671
-605.463279,1000,2798.288724
-553.841144,1000,2858.204608
-597.857996,1000,2918.064543
-8.166446,277,2938.919365
13.269691,243,2956.552357
-55.153732,370,2981.235106
-543.391466,1000,3039.571298
-20.826249,308,3059.734802
-197.330783,582,3095.481719
-38.200244,324,3117.751944
-22.718902,313,3138.601992
-124.915271,476,3168.552718
-19.561946,305,3190.177265
-592.921773,1000,3248.556325
-519.339442,1000,3309.130169
-161.204993,531,3344.02196
-187.66544,569,3381.24276
-98.595804,431,3410.440937
-19.691087,311,3431.646535
-98.063477,435,3459.18336
-543.413767,1000,3517.360345
-542.48902,1000,3576.553419
-113.552241,460,3606.688504
-92.874313,414,3636.180965
-471.708205,1000,3695.128696
