episode,reward,moving_average_reward,moving_average_window
1,-622.527394,-622.527394,17
2,-56.286752,-339.40707299999997,17
3,-618.043068,-432.285738,17
4,-114.593466,-352.86267,17
5,-594.192752,-401.1286864,17
6,-71.667117,-346.2184248333333,17
7,-118.240554,-313.65015757142857,17
8,-602.115582,-349.70833562499996,17
9,-644.468921,-382.4595117777778,17
10,-106.830422,-354.8966028,17
11,-555.737752,-373.1548890909091,17
12,-557.026149,-388.47749408333334,17
13,-575.672271,-402.87709230769235,17
14,-130.429386,-383.4165418571429,17
15,-542.068772,-393.9933572,17
16,-389.601304,-393.718853875,17
17,-603.573498,-406.0632447058823,17
18,-599.292695,-404.69649770588234,17
19,-213.015502,-413.91583594117645,17
20,-331.591241,-397.0657284705882,17
21,-82.295477,-395.16584676470586,17
22,-101.770515,-366.1998328235294,17
23,-135.079729,-369.92998647058823,17
24,-582.230583,-397.2235175882353,17
25,-433.898494,-387.3283947647059,17
26,-36.211847,-351.54856688235293,17
27,-35.16614,-347.3330208823529,17
28,-629.828686,-351.69131111764705,17
29,-623.487112,-355.6007795294118,17
30,-116.860564,-328.6118555882353,17
31,-170.721277,-330.9819668235294,17
32,-109.246613,-305.5218398235294,17
33,-565.483203,-315.86783388235284,17
34,-641.943531,-318.1248946470588,17
35,-187.25347,-293.88729317647056,17
36,-158.963145,-290.70774276470587,17
37,-181.061847,-281.85307252941175,17
38,-351.287084,-297.67610823529407,17
39,-169.010028,-301.63137370588225,17
40,10.881948,-293.04539270588225,17
41,-115.444822,-265.58740676470586,17
42,-266.68614,-255.75138594117647,17
43,-57.009053,-256.974751,17
44,-610.489397,-290.81729552941175,17
45,-609.273948,-289.60819329411765,17
46,-618.141356,-289.2937370588236,17
47,-77.398789,-286.9724561764706,17
48,-594.169039,-311.8811480588235,17
49,-565.639885,-338.7278111176471,17
50,-571.487265,-339.08099123529416,17
51,-559.865805,-334.25288970588235,17
52,-357.388772,-344.2608486470588,17
53,-583.853858,-369.25442000000004,17
54,-609.951274,-394.4832098235294,17
55,-546.970123,-405.99397682352947,17
56,-556.830629,-428.80695335294115,17
57,-541.333514,-461.2902158235294,17
58,-90.993093,-459.85187882352943,17
59,-338.212384,-464.05930494117655,17
60,-140.307501,-468.9592136470589,17
61,-605.463279,-468.66355964705883,17
62,-553.841144,-465.40280647058825,17
63,-597.857996,-464.2096676470588,17
64,-8.166446,-460.137176882353,17
65,13.269691,-424.40548688235293,17
66,-55.153732,-394.37688964705876,17
67,-543.391466,-392.72419558823526,17
68,-20.826249,-361.0159864117646,17
69,-197.330783,-351.6008105882353,17
70,-38.200244,-319.50353917647055,17
71,-22.718902,-284.9604584705882,17
72,-124.915271,-260.1337024705882,17
73,-19.561946,-228.52966229411766,17
74,-592.921773,-231.5642657647059,17
75,-519.339442,-256.76110982352947,17
76,-161.204993,-246.34891035294118,17
77,-187.66544,-249.1346714705882,17
78,-98.595804,-219.31893764705882,17
79,-19.691087,-187.89834605882353,17
80,-98.063477,-158.49866847058826,17
81,-543.413767,-189.98380500000002,17
82,-542.48902,-222.67549388235298,17
83,-113.552241,-226.11070029411763,17
84,-92.874313,-199.60969129411762,17
85,-471.708205,-226.13215929411763,17
