#{"t_start": 1780075425.7314155, "env_id": "None"}
r,l,t
63.556262,61,9.355843
-208.414389,103,22.286417
-404.923053,344,59.601967
-1590.753979,800,143.978306
-1824.506907,800,228.609232
-1281.397163,800,312.296276
-1302.783381,800,396.628556
-230.11153,172,416.627831
-2421.383383,800,500.73846
-471.928461,224,526.021547
-1553.048381,800,610.838397
-852.544185,800,694.633522
84.360093,21,699.159192
-1175.9388,724,775.994548
-939.798954,800,859.703469
-161.965683,367,899.758667
87.63616,11,903.09457
-1161.388732,800,987.561135
-885.274405,800,1071.238201
81.508514,25,1076.457028
-1209.039017,800,1161.705411
-1650.469374,800,1246.596989
-291.695777,168,1266.938144
86.355978,14,1270.608222
-1621.908182,800,1355.361053
90.935902,11,1359.442534
59.121079,62,1368.075463
-50.09585,244,1396.330005
12.307148,135,1412.642167
-33.170165,181,1433.94812
88.037147,15,1438.216557
-1616.396525,800,1523.46454
83.164471,24,1528.651733
-1324.222599,800,1613.861389
90.164978,13,1618.030293
83.551854,20,1622.479095
-771.240504,800,1707.361839
53.51108,76,1718.024835
-868.51236,800,1802.809052
-1133.35365,800,1888.076749
85.167402,23,1892.548028
-197.401432,372,1933.048449
85.88745,23,1937.563283
75.603561,35,1943.885154
85.853113,20,1948.582195
84.25848,23,1953.72968
-482.425416,623,2020.61231
39.18354,102,2033.846197
86.217138,16,2037.790144
84.65222,23,2042.855077
75.741804,38,2049.353811
-307.27347,516,2105.248933
88.858072,17,2109.25617
66.801221,54,2117.53613
83.395403,23,2122.149027
82.894214,28,2127.738643
81.866645,27,2133.020117
-141.98547,354,2171.963747
-245.011649,461,2221.93912
-559.994798,800,2307.236596
-121.026467,396,2350.656422
83.049813,20,2354.9301
81.970646,26,2360.238842
-110.119047,277,2391.716497
85.140802,18,2396.205266
-1.242216,181,2416.95064
86.6649,15,2421.161703
19.606763,110,2435.478058
39.259835,100,2448.003354
83.185501,15,2452.550181
-317.503335,518,2508.584911
40.109669,98,2520.809006
72.579608,40,2527.506927
88.409111,15,2531.704013
86.129727,15,2535.378029
-91.684973,297,2568.740348
-2.943061,159,2587.576721
82.986959,25,2592.815826
12.964994,146,2610.475463
82.790188,13,2614.874736
89.351154,11,2618.397575
77.79528,34,2624.51734
-362.599923,668,2696.069727
-294.940684,633,2763.317593
-107.410992,340,2801.23444
-8.584597,169,2820.758664
-292.756426,599,2885.197563
57.191875,70,2894.644494
90.57595,9,2898.181525
85.474728,18,2902.871083
78.947754,27,2908.311851
-14.057026,191,2930.953918
-24.51527,200,2954.005799
29.34836,98,2966.380729
72.883448,40,2973.30521
83.339262,24,2978.07742
-133.058981,376,3019.363785
90.087224,11,3022.796223
-51.050758,237,3050.113616
26.563672,118,3064.869489
85.965619,18,3069.488034
47.003344,90,3081.312983
82.781803,19,3085.767459
58.458566,63,3094.269818
89.559327,13,3098.043225
-48.969309,237,3125.486717
-238.911209,554,3185.250655
54.212675,85,3196.786523
77.337604,37,3202.866561
73.824886,45,3210.114734
-44.47372,260,3239.376134
88.948558,10,3243.235989
-182.526162,409,3287.863099
39.64186,108,3301.575342
91.105077,9,3304.812448
24.394037,114,3319.177869
-53.40911,261,3348.262483
46.104399,97,3361.283959
56.252951,77,3372.047243
86.644898,13,3375.593045
-91.879431,275,3406.258961
78.829512,31,3411.767415
85.940062,21,3416.548273
