episode,timesteps,window,moving_average_reward,best_moving_average_reward,episodes_since_improvement,stopped
30,3527,30,41.63477356666666,41.63477356666666,0,0
31,3648,30,46.14793366666665,46.14793366666665,0,0
32,3747,30,48.21994653333332,48.21994653333332,0,0
33,3848,30,49.26272833333333,49.26272833333333,0,0
34,3949,30,49.670567066666656,49.26272833333333,1,0
35,4048,30,49.64126796666666,49.26272833333333,2,0
36,4141,30,50.05098976666666,49.26272833333333,3,0
37,4237,30,50.65159189999999,50.65159189999999,0,0
38,4346,30,50.543167366666665,50.65159189999999,1,0
39,4446,30,51.30225426666666,50.65159189999999,2,0
40,4516,30,52.793209633333326,52.793209633333326,0,0
41,4596,30,53.29543356666667,52.793209633333326,1,0
42,4719,30,52.88411493333333,52.793209633333326,2,0
43,4789,30,53.601198733333334,52.793209633333326,3,0
44,4864,30,53.62884846666667,52.793209633333326,4,0
45,4989,30,53.353895599999994,52.793209633333326,5,0
46,5085,30,53.732888,52.793209633333326,6,0
47,5178,30,54.27931083333333,54.27931083333333,0,0
48,5257,30,54.65400509999999,54.27931083333333,1,0
49,5327,30,54.84897516666667,54.27931083333333,2,0
50,5395,30,55.3386331,55.3386331,0,0
51,5501,30,55.31069626666667,55.3386331,1,0
52,5596,30,55.5261051,55.3386331,2,0
53,5708,30,54.89568976666667,55.3386331,3,0
54,5781,30,55.0944833,55.3386331,4,0
55,5853,30,55.53887803333334,55.3386331,5,0
56,5946,30,55.01660773333334,55.3386331,6,0
57,6035,30,54.82588326666667,55.3386331,7,0
58,6104,30,55.579607900000006,55.3386331,8,0
59,6166,30,56.2605681,55.3386331,9,0
60,6249,30,56.33539653333334,55.3386331,10,0
61,6324,30,57.11107113333333,57.11107113333333,0,0
62,6402,30,57.45103136666667,57.11107113333333,1,0
63,6509,30,57.45955260000001,57.11107113333333,2,0
64,6609,30,57.38814536666667,57.11107113333333,3,0
65,6701,30,57.30411596666667,57.11107113333333,4,0
66,6775,30,57.6917977,57.11107113333333,5,0
67,6839,30,58.16465386666666,58.16465386666666,0,0
68,6918,30,58.63827456666666,58.16465386666666,1,0
69,6993,30,58.961925566666665,58.16465386666666,2,0
70,7066,30,58.822225233333334,58.16465386666666,3,0
71,7141,30,58.884525000000004,58.16465386666666,4,0
72,7250,30,59.33052299999999,59.33052299999999,0,0
73,7318,30,59.36973933333333,59.33052299999999,1,0
74,7390,30,59.46504756666666,59.33052299999999,2,0
75,7467,30,60.24885766666667,59.33052299999999,3,0
76,7549,30,60.46089800000001,60.46089800000001,0,0
77,7620,30,60.74018250000001,60.46089800000001,1,0
78,7717,30,60.391699833333334,60.46089800000001,2,0
79,7794,30,60.31732490000002,60.46089800000001,3,0
80,7865,30,60.35894693333334,60.46089800000001,4,0
81,7931,30,61.02021530000001,60.46089800000001,5,0
82,8007,30,61.23871326666668,60.46089800000001,6,0
83,8079,30,61.912643633333346,61.912643633333346,0,0
84,8145,30,62.072408266666685,61.912643633333346,1,0
85,8244,30,61.709342433333354,61.912643633333346,2,0
86,8311,30,62.215827500000024,61.912643633333346,3,0
87,8363,30,62.892730100000016,61.912643633333346,4,0
88,8437,30,62.77298320000002,61.912643633333346,5,0
89,8507,30,62.65142560000001,61.912643633333346,6,0
90,8577,30,62.89112140000001,61.912643633333346,7,0
91,8643,30,63.106916466666675,63.106916466666675,0,0
92,8705,30,63.39976153333334,63.106916466666675,1,0
93,8771,30,63.891764733333325,63.106916466666675,2,0
94,8843,30,64.39770913333334,64.39770913333334,0,0
95,8909,30,64.9819821,64.39770913333334,1,0
96,8977,30,65.13683166666667,64.39770913333334,2,0
97,9078,30,64.4696869,64.39770913333334,3,0
98,9164,30,64.47558623333333,64.39770913333334,4,0
99,9232,30,64.63642993333333,64.39770913333334,5,0
100,9313,30,64.62364476666666,64.39770913333334,6,0
101,9384,30,64.74279773333332,64.39770913333334,7,0
102,9447,30,65.32826776666666,64.39770913333334,8,0
103,9519,30,65.15551353333333,64.39770913333334,9,0
104,9611,30,64.86449683333333,64.39770913333334,10,0
105,9677,30,65.10691536666667,64.39770913333334,11,0
106,9758,30,65.06254243333335,64.39770913333334,12,0
107,9859,30,64.49788310000001,64.39770913333334,13,0
108,9923,30,65.12258070000001,64.39770913333334,14,0
109,10001,30,65.20317840000001,64.39770913333334,15,0
110,10069,30,65.20572363333333,64.39770913333334,16,0
111,10156,30,64.82112883333335,64.39770913333334,17,0
112,10225,30,64.9702639,64.39770913333334,18,0
113,10309,30,64.66393393333334,64.39770913333334,19,0
114,10383,30,64.49759876666668,64.39770913333334,20,0
115,10449,30,65.04819260000002,64.39770913333334,21,0
116,10515,30,65.06342900000001,64.39770913333334,22,0
117,10579,30,64.93353846666668,64.39770913333334,23,0
118,10625,30,65.3319101,64.39770913333334,24,0
119,10698,30,65.38714226666667,64.39770913333334,25,0
120,10778,30,65.3034797,64.39770913333334,26,0
121,10824,30,65.49191393333334,65.49191393333334,0,0
122,10873,30,65.61182073333332,65.49191393333334,1,0
123,10946,30,65.46686446666666,65.49191393333334,2,0
124,10992,30,65.81093469999999,65.49191393333334,3,0
125,11060,30,65.62801793333333,65.49191393333334,4,0
126,11123,30,65.76826266666666,65.49191393333334,5,0
127,11194,30,66.39079053333332,65.49191393333334,6,0
128,11262,30,66.61538403333333,66.61538403333333,0,0
129,11304,30,67.02749496666667,66.61538403333333,1,0
130,11359,30,67.36970103333333,66.61538403333333,2,0
131,11439,30,67.27019043333333,66.61538403333333,3,0
132,11487,30,67.45258116666666,66.61538403333333,4,0
133,11533,30,67.93893216666666,67.93893216666666,0,0
134,11578,30,68.60713236666668,67.93893216666666,1,0
135,11627,30,68.77588360000001,67.93893216666666,2,0
136,11703,30,69.03410456666666,69.03410456666666,0,0
137,11775,30,69.51062106666667,69.03410456666666,1,0
138,11814,30,69.8504884,69.03410456666666,2,0
139,11880,30,69.99332753333333,69.03410456666666,3,0
140,11924,30,70.2038172,70.2038172,0,0
141,12014,30,70.25737306666669,70.2038172,1,0
142,12063,30,70.55499420000001,70.2038172,2,0
143,12133,30,70.91235676666666,70.2038172,3,0
144,12202,30,71.04027616666667,70.2038172,4,0
145,12250,30,71.20686010000001,71.20686010000001,0,0
146,12290,30,71.5479001,71.20686010000001,1,0
147,12360,30,71.42492403333333,71.20686010000001,2,0
148,12431,30,71.15485353333335,71.20686010000001,3,0
149,12501,30,71.25354966666666,71.20686010000001,4,0
150,12554,30,71.55081286666667,71.20686010000001,5,0
151,12605,30,71.52468619999999,71.20686010000001,6,0
152,12657,30,71.51453456666668,71.20686010000001,7,0
153,12722,30,71.73734513333333,71.20686010000001,8,0
154,12798,30,71.45248896666668,71.20686010000001,9,0
155,12880,30,71.26127346666667,71.20686010000001,10,0
156,12965,30,70.87700913333335,71.20686010000001,11,0
157,13032,30,70.88731243333335,71.20686010000001,12,0
158,13075,30,71.21561310000003,71.20686010000001,13,0
159,13148,30,70.77133420000003,71.20686010000001,14,0
160,13195,30,70.94450390000002,71.20686010000001,15,0
161,13242,30,71.4223328666667,71.20686010000001,16,0
162,13311,30,71.20446546666669,71.20686010000001,17,0
163,13362,30,71.1347593666667,71.20686010000001,18,0
164,13411,30,71.12961770000003,71.20686010000001,19,0
165,13458,30,71.16281770000002,71.20686010000001,20,0
166,13525,30,71.22385853333337,71.20686010000001,21,0
167,13573,30,71.58135393333335,71.20686010000001,22,0
168,13622,30,71.40790683333336,71.20686010000001,23,0
169,13681,30,71.48758283333336,71.20686010000001,24,0
170,13752,30,71.10414046666668,71.20686010000001,25,0
171,13801,30,71.66626023333336,71.20686010000001,26,0
172,13882,30,71.06959663333335,71.20686010000001,27,0
173,13942,30,71.25754520000001,71.20686010000001,28,0
174,13992,30,71.50036610000002,71.20686010000001,29,0
175,14060,30,71.23487293333336,71.20686010000001,30,1
