episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,300,-156.874861,timeout,-156.874861,0.0,0.5056169033050537,0,best_average_model
3,642,70.849059,success,-89.42360566666666,0.3333333333333333,0.08487557619810104,0,best_average_model
4,681,74.591726,success,-48.41977274999999,0.5,0.07983387261629105,0,best_average_model
32,6176,76.155078,success,-47.614296400000015,0.5,0.09113520383834839,0,best_average_model
38,7252,71.589186,success,-38.41172605000001,0.55,0.07590509206056595,0,best_average_model
39,7552,-171.856426,timeout,-37.879737750000004,0.55,0.49052995443344116,0,best_average_model
40,7666,35.777459,success,-26.904011299999997,0.6,0.09268027544021606,0,best_average_model
42,7792,71.044239,success,-15.56993015,0.65,0.09613930433988571,0,best_average_model
43,7856,69.286661,success,-3.884960850000001,0.7,0.08925909548997879,0,best_average_model
44,7868,79.293487,success,-3.7011406000000036,0.7,0.09865622967481613,0,best_average_model
45,7905,75.910637,success,-3.5533881000000003,0.7,0.08558826893568039,0,best_average_model
47,8258,65.63773,success,-3.3544348500000027,0.7,0.09820712357759476,0,best_average_model
70,11802,53.061046,success,-0.7033342999999977,0.75,0.07656992971897125,0,best_average_model
71,12102,-147.204699,timeout,-0.6044061999999982,0.75,0.26574406027793884,0,best_average_model
75,12693,37.364475,success,3.5771764499999987,0.8,0.09684731066226959,0,best_average_model
77,13061,-33.087337,success,7.296441999999999,0.85,0.08074800670146942,0,best_average_model
78,13156,58.181129,success,11.637167249999997,0.85,0.09497040510177612,0,best_average_model
79,13198,70.566046,success,15.166212399999997,0.85,0.09526106715202332,0,best_average_model
83,13683,58.998741,success,18.57356915,0.9,0.08935078233480453,0,best_average_model
85,13800,66.996964,success,21.023381699999998,0.9,0.09852495044469833,0,best_average_model
88,14230,11.300277,success,27.068549900000004,0.95,0.09288696199655533,0,best_average_model
91,14564,42.182346,success,35.568887800000006,1.0,0.09800760447978973,0,best_average_model
92,14637,59.493857,success,38.7093891,1.0,0.09923745691776276,0,best_average_model
94,14808,57.819362,success,40.98862325,1.0,0.09516071528196335,0,best_average_model
95,14873,59.676319,success,42.10421545,1.0,0.0867125391960144,0,best_average_model
96,14908,72.995213,success,43.9815268,1.0,0.09667558968067169,0,best_average_model
97,15005,51.26197,success,48.19899215,1.0,0.09846323728561401,0,best_average_model
100,15223,51.907062,success,48.339331949999995,1.0,0.08101140707731247,0,best_average_model
101,15331,43.566742,success,49.0560368,1.0,0.09777051210403442,0,best_average_model
102,15430,48.614538,success,51.39038959999999,1.0,0.09831853210926056,0,best_average_model
110,16226,72.12953,success,51.47055759999999,1.0,0.08929089456796646,0,best_average_model
111,16303,56.081175,success,52.16549905000001,1.0,0.09526164084672928,0,best_average_model
112,16353,64.82974,success,52.432293200000004,1.0,0.09650108963251114,0,best_average_model
113,16424,59.748876,success,52.66829090000001,1.0,0.09808871895074844,0,best_average_model
124,17298,58.902203,success,54.52117145000001,1.0,0.08115015178918839,0,best_average_model
125,17374,52.855807,success,55.082579900000006,1.0,0.09364720433950424,0,best_average_model
127,17551,42.038076,success,55.24503010000001,1.0,0.07687195390462875,0,best_average_model
