#{"t_start": 1780765694.6489458, "env_id": "None"}
r,l,t
-546.15626,1000,55.609214
-671.93628,1000,111.319227
-521.683707,1000,166.333697
-669.456675,1000,221.800434
-730.61787,1000,277.150669
-639.244841,1000,332.289259
-553.148703,1000,387.594048
-549.39591,1000,443.16844
-545.604764,1000,498.774451
-557.624711,1000,554.195168
-656.631808,1000,609.514495
-578.010893,1000,664.226542
-555.156137,1000,719.554749
-587.657349,1000,775.039186
-733.836903,1000,829.956764
-610.753658,1000,885.414612
-663.684563,1000,940.499904
-596.951946,1000,995.4843
-755.241848,1000,1050.488007
-720.004815,1000,1106.007348
-199.034764,585,1138.955414
-643.255655,1000,1194.51085
-690.900696,1000,1250.690358
-702.214525,1000,1306.798337
-714.421807,790,1351.265397
-704.766666,1000,1406.697389
-708.616095,1000,1462.048366
-699.600511,1000,1517.059247
-704.17282,1000,1572.458955
-723.576789,1000,1628.261933
-538.482495,1000,1683.41462
-638.443186,1000,1739.269484
-571.520441,1000,1794.672515
-593.7876,1000,1850.074495
-666.67771,1000,1906.205796
-685.110809,1000,1962.586594
-627.82069,1000,2019.019202
-549.348541,1000,2075.003507
-578.201295,1000,2131.674855
-668.441761,1000,2187.721321
-611.944715,1000,2244.4106
-700.477045,1000,2300.819919
-246.854232,273,2318.450591
-789.25277,1000,2375.624107
-707.912096,1000,2431.964624
-567.05687,1000,2490.695419
-635.452571,1000,2547.551037
-588.974563,1000,2604.052614
-654.974653,1000,2659.830615
-708.945787,1000,2715.452979
-631.3039,1000,2770.216235
-516.812814,1000,2825.595574
-541.359826,1000,2880.964959
-552.548811,605,2916.331935
-607.329799,1000,2972.031643
