episode,timesteps,window,moving_average_reward,best_moving_average_reward,episodes_since_improvement,stopped
30,29375,30,-631.1119989666665,-631.1119989666665,0,0
31,30375,30,-630.8562067999999,-631.1119989666665,1,0
32,31375,30,-629.7397703333334,-629.7397703333334,0,0
33,32375,30,-631.4009948,-629.7397703333334,1,0
34,33375,30,-628.8786923,-629.7397703333334,2,0
35,34375,30,-626.7473536333333,-626.7473536333333,0,0
36,35375,30,-628.2762192333334,-626.7473536333333,1,0
37,36375,30,-630.7652854666668,-626.7473536333333,2,0
38,37375,30,-630.7637065000001,-626.7473536333333,3,0
39,38375,30,-631.8502575333334,-626.7473536333333,4,0
40,39375,30,-635.5441592000001,-626.7473536333333,5,0
41,40375,30,-634.0545894333333,-626.7473536333333,6,0
42,41375,30,-638.1367945,-626.7473536333333,7,0
43,41648,30,-627.8600643333334,-626.7473536333333,8,0
44,42648,30,-634.5799117000001,-626.7473536333333,9,0
45,43648,30,-633.7157514666668,-626.7473536333333,10,0
46,44648,30,-632.2591918666668,-626.7473536333333,11,0
47,45648,30,-631.3181254666667,-626.7473536333333,12,0
48,46648,30,-631.0522127,-626.7473536333333,13,0
49,47648,30,-627.7099728666667,-626.7473536333333,14,0
50,48648,30,-627.3413386,-626.7473536333333,15,0
51,49648,30,-641.7503098,-626.7473536333333,16,0
52,50648,30,-637.5355484333335,-626.7473536333333,17,0
53,51648,30,-632.5508527666666,-626.7473536333333,18,0
54,52253,30,-627.5619956333333,-626.7473536333333,19,0
55,53253,30,-623.9922620333332,-623.9922620333332,0,0
