episode,reward,moving_average_reward,moving_average_window
1,-646.816382,-646.816382,16
2,-196.520095,-421.6682385,16
3,-632.761897,-492.0327913333333,16
4,-617.385269,-523.37091075,16
5,-595.992306,-537.8951898,16
6,-153.354075,-473.80500400000005,16
7,-139.084502,-425.9877894285715,16
8,-202.398276,-398.03910025000005,16
9,-404.84881,-398.7957346666667,16
10,-602.802763,-419.19643750000006,16
11,-529.522164,-429.22604900000005,16
12,-185.819248,-408.94214891666667,16
13,-375.047377,-406.3348587692308,16
14,-204.327055,-391.9057299285714,16
15,-30.325604,-367.8003882,16
16,-313.881881,-364.4304815,16
17,-622.519256,-362.91191112499996,16
18,-196.830312,-362.9312996875,16
19,-193.289401,-335.46426868749995,16
20,-553.907627,-331.4969160625001,16
21,-218.94398,-307.93139568750007,16
22,-379.660613,-322.0755543125,16
23,-483.275814,-343.5875113125,16
24,-621.338069,-369.771248375,16
25,-229.578015,-358.8168236875,16
26,-169.378229,-331.7277903125,16
27,-613.384869,-336.969209375,16
28,-154.35091,-335.00243825,16
29,-91.228919,-317.2637846250001,16
30,-150.538365,-313.9019915,16
31,-604.908279,-349.81340868750004,16
32,-348.076004,-351.95054137500006,16
33,-213.374809,-326.37901343749996,16
34,-111.784361,-321.06364149999996,16
35,-263.88689,-325.47598456249995,16
36,-177.464449,-301.94828593750003,16
37,-113.297548,-295.34538393750006,16
38,-312.159773,-291.1265814375001,16
39,-79.396711,-265.8841375,16
40,-657.749046,-268.1598235625,16
41,-257.904943,-269.93025656249995,16
42,-164.961327,-269.65420018749995,16
43,-233.630222,-245.91953474999997,16
44,-147.247568,-245.47557587499995,16
45,-277.037212,-257.0885941875,16
46,-237.017366,-262.49353175,16
47,-383.297283,-248.64284450000002,16
48,-155.242952,-236.59077875,16
49,-79.010175,-228.192989125,16
50,-152.151869,-230.71595837499999,16
51,-633.509664,-253.81738175,16
52,-499.418537,-273.93951225,16
53,-188.717722,-278.653273125,16
54,-312.707924,-278.6875325625,16
55,-438.120489,-301.10776868749997,16
56,-603.937941,-297.744574625,16
57,-685.75393,-324.48513631249995,16
58,-160.145483,-324.18414606249996,16
59,-474.929894,-339.26537556249997,16
60,-218.10889,-343.6942081875,16
61,-58.263665,-330.0208615,16
62,-171.441491,-325.92236931250005,16
63,-389.57057,-326.31444975,16
64,-240.343961,-331.6332628125,16
65,-621.842051,-365.56025506249995,16
66,-230.921265,-370.4833423125,16
67,-575.179741,-366.83772212499997,16
68,-609.342618,-373.7079771874999,16
69,-591.563229,-398.8858213749999,16
70,-118.713057,-386.7611421875,16
71,-651.270839,-400.0830390625,16
72,-634.498658,-401.993083875,16
73,-601.379417,-396.7196768125,16
74,-284.153277,-404.4701639375,16
75,-160.994805,-384.84922087500007,16
76,-388.512114,-395.499422375,16
77,-72.886075,-396.4133230000001,16
78,-273.338558,-402.78188968750004,16
79,-551.280203,-412.88874175000007,16
80,-638.614672,-437.7806611875001,16
81,-146.323441,-408.0607480625,16
82,-285.018903,-411.4418504375001,16
83,-63.213181,-379.4439404375001,16
84,-570.6316,-377.0245018124999,16
