episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,300,-40.784719,success,-40.784719,1.0,0.09967295825481415,0,best_average_model
7,1723,53.307773,success,-37.01321300000001,0.8571428571428571,0.09954966604709625,0,best_average_model
8,1827,52.474245,success,-25.827280750000007,0.875,0.09638572484254837,0,best_average_model
9,1984,26.735525,success,-19.986969000000006,0.8888888888888888,0.09842797368764877,0,best_average_model
10,2090,48.620594,success,-13.126212700000007,0.9,0.08620291203260422,0,best_average_model
11,2264,14.737676,success,-10.593131909090916,0.9090909090909091,0.0805477648973465,0,best_average_model
12,2357,54.921155,success,-5.133608000000007,0.9166666666666666,0.08384294807910919,0,best_average_model
13,2547,9.683433,success,-3.9938356153846217,0.9230769230769231,0.09110598266124725,0,best_average_model
14,2713,24.961186,success,-1.9256197857142916,0.9285714285714286,0.09993763267993927,0,best_average_model
15,2815,51.452123,success,1.6328963999999944,0.9333333333333333,0.09841285645961761,0,best_average_model
16,2963,35.330974,success,3.739026249999995,0.9375,0.0842972993850708,0,best_average_model
17,3065,52.584369,success,6.612281705882348,0.9411764705882353,0.08126416057348251,0,best_average_model
18,3133,67.406821,success,9.989756111111108,0.9444444444444444,0.06679492443799973,0,best_average_model
19,3233,56.548957,success,12.44024036842105,0.9473684210526315,0.08774961531162262,0,best_average_model
20,3383,22.637152,success,12.950085949999997,0.95,0.07337228208780289,0,best_average_model
21,3481,53.653726,success,17.6720082,0.95,0.07095887511968613,0,best_average_model
22,3595,45.434029,success,41.4669828,1.0,0.0831548348069191,0,best_average_model
23,3720,42.187744,success,41.5045792,1.0,0.09880489110946655,0,best_average_model
24,3823,51.585285,success,41.888145699999995,1.0,0.0995568037033081,0,best_average_model
25,3896,63.502196,success,43.77153154999999,1.0,0.06863819062709808,0,best_average_model
26,3988,57.831684,success,44.27983234999999,1.0,0.09337930381298065,0,best_average_model
27,4081,57.502739,success,44.48958065,1.0,0.08453401923179626,0,best_average_model
28,4174,56.681852,success,44.699961,1.0,0.0989639163017273,0,best_average_model
29,4299,42.307317,success,45.478550600000005,1.0,0.07883685827255249,0,best_average_model
30,4396,52.78826,success,45.68693390000001,1.0,0.09868627786636353,0,best_average_model
31,4489,56.421781,success,47.77113915,1.0,0.09738520532846451,0,best_average_model
33,4649,68.889805,success,50.65608455000001,1.0,0.0733315721154213,0,best_average_model
34,4734,56.136709,success,52.21486070000001,1.0,0.09128452837467194,0,best_average_model
35,4813,60.872366,success,52.68587285000001,1.0,0.09932965040206909,0,best_average_model
36,4882,71.157689,success,54.47720860000002,1.0,0.0882997065782547,0,best_average_model
37,4970,60.681337,success,54.88205700000001,1.0,0.09568795561790466,0,best_average_model
39,5128,75.930957,success,54.955208649999996,1.0,0.09943166375160217,0,best_average_model
40,5203,63.897156,success,57.01820884999999,1.0,0.08891702443361282,0,best_average_model
41,5280,61.612753,success,57.416160200000014,1.0,0.09126198291778564,0,best_average_model
42,5364,62.775482,success,58.28323285000001,1.0,0.09381546825170517,0,best_average_model
43,5435,66.441623,success,59.49592679999999,1.0,0.09534753113985062,0,best_average_model
50,6054,68.491413,success,60.27255970000001,1.0,0.07857950031757355,0,best_average_model
51,6131,64.053823,success,60.6541618,1.0,0.08207977563142776,0,best_average_model
52,6198,65.840519,success,61.2755032,1.0,0.09179691225290298,0,best_average_model
54,6351,62.091916,success,61.311112449999996,1.0,0.09386757761240005,0,best_average_model
55,6421,65.177078,success,61.52634804999999,1.0,0.08848398923873901,0,best_average_model
64,7109,59.430126,success,62.04125204999999,1.0,0.08664306253194809,0,best_average_model
82,8524,70.069433,success,62.05687885,1.0,0.08743509650230408,0,best_average_model
85,8734,65.235827,success,66.88080019999998,1.0,0.09659901261329651,0,best_average_model
93,9278,60.61587,success,66.90724300000001,1.0,0.08865660429000854,0,best_average_model
94,9348,66.577746,success,66.97912195,1.0,0.08083920925855637,0,best_average_model
96,9481,70.88408,success,67.05469785,1.0,0.09422513097524643,0,best_average_model
