#{"t_start": 1780738509.5239155, "env_id": "None"}
r,l,t
-40.784719,300,19.160151
-430.465463,800,63.187786
41.435816,123,72.071535
43.913955,137,81.252997
25.834479,160,92.114859
47.665668,104,100.168216
53.307773,99,107.671958
52.474245,104,115.59608
26.735525,157,126.20066
48.620594,106,134.502381
14.737676,174,145.990245
54.921155,93,153.27471
9.683433,190,165.555039
24.961186,166,176.925725
51.452123,102,184.725658
35.330974,148,194.364366
52.584369,102,202.061467
67.406821,68,208.263916
56.548957,100,215.857967
22.637152,150,225.714974
53.653726,98,233.283848
45.434029,114,241.853847
42.187744,125,250.416243
51.585285,103,258.129611
63.502196,73,264.434693
57.831684,92,271.263677
57.502739,93,278.570837
56.681852,93,286.147004
42.307317,125,295.140269
52.78826,97,302.144436
56.421781,93,309.404906
53.413691,97,316.852463
68.889805,63,322.854219
56.136709,85,329.750724
60.872366,79,336.282112
71.157689,69,342.222466
60.681337,88,348.879162
49.487854,109,357.011473
75.930957,49,361.916947
63.897156,75,368.35948
61.612753,77,374.724298
62.775482,84,381.511216
66.441623,71,387.701283
35.348994,130,396.381783
64.536339,69,402.75717
67.565885,69,408.720308
60.61022,83,415.499879
37.090918,123,424.220793
64.088222,76,430.652424
68.491413,69,436.739233
64.053823,77,443.208496
65.840519,67,449.413869
63.646783,79,456.017245
62.091916,74,462.206546
65.177078,70,467.862566
62.04,75,474.173473
68.138785,69,480.105028
42.510983,111,488.58385
61.190965,81,494.844818
65.098159,71,500.983583
57.526947,82,507.587025
68.313783,67,513.462723
73.382177,53,518.590008
59.430126,79,525.175378
-34.254301,251,540.782858
70.010089,65,546.62242
76.460206,46,551.488571
68.346867,68,557.072958
69.674113,65,562.958171
64.026958,72,569.173678
69.51308,65,574.971225
66.775637,66,580.759925
58.558749,82,587.456557
65.140167,71,593.150708
67.189169,71,599.197688
66.915995,70,605.202074
58.421091,83,611.91447
69.467575,67,617.652552
72.917157,61,623.280629
62.989382,74,629.617494
66.103907,70,635.27183
70.069433,68,641.21562
66.253585,70,646.971647
63.547017,73,653.171117
65.235827,67,659.411691
57.151089,85,666.299785
66.502063,71,672.053421
70.499035,65,677.793325
76.388939,50,682.867339
69.273835,67,688.427108
76.856203,47,693.23731
66.607521,70,699.267731
60.61587,89,706.643269
66.577746,70,712.814343
64.732602,70,718.458609
70.88408,63,724.143452
49.646571,107,731.683998
62.93226,71,737.85746
54.025663,92,745.313275
68.079756,65,751.072359
66.611335,69,756.757667
66.88347,69,762.810307
62.897494,75,769.188736
61.366475,84,775.926084
64.590493,71,782.077734
60.530327,76,788.350946
64.577574,72,794.447334
72.867053,63,800.241446
66.082224,68,805.74139
63.555691,76,812.189689
65.035649,73,818.480539
62.345831,74,824.784141
67.627106,67,830.524682
75.731556,47,835.495755
70.243465,68,841.426621
73.01707,62,846.777948
65.763843,69,852.808063
69.20807,73,859.067206
61.855161,76,865.463906
70.301917,68,871.099016
60.513566,79,877.783659
65.019174,73,884.050102
66.452799,71,890.191484
71.443539,69,895.753275
66.59454,70,901.851248
