episode,timesteps,window,moving_average_reward,best_moving_average_reward,episodes_since_improvement,stopped
30,16149,30,-9.271060766666684,-9.271060766666684,0,0
31,16389,30,-8.71331370000001,-9.271060766666684,1,0
32,16745,30,8.351917699999994,8.351917699999994,0,0
33,17024,30,19.548916233333326,19.548916233333326,0,0
34,17210,30,32.15412199999999,32.15412199999999,0,0
35,17382,30,36.31833519999999,36.31833519999999,0,0
36,17798,30,45.82697336666666,45.82697336666666,0,0
37,18498,30,40.29852066666665,45.82697336666666,1,0
38,19081,30,47.39913109999999,47.39913109999999,0,0
39,19407,30,61.891925566666664,61.891925566666664,0,0
40,19693,30,77.66071273333333,77.66071273333333,0,0
41,19903,30,91.13235956666666,91.13235956666666,0,0
42,20603,30,91.23241786666668,91.13235956666666,1,0
43,20891,30,107.54501193333333,107.54501193333333,0,0
44,21141,30,118.87326073333335,118.87326073333335,0,0
45,21378,30,121.79370586666666,121.79370586666666,0,0
46,22078,30,104.13229056666667,121.79370586666666,1,0
47,22284,30,109.70255750000001,121.79370586666666,2,0
48,22514,30,113.84156953333334,121.79370586666666,3,0
49,22702,30,117.89865056666667,121.79370586666666,4,0
50,22957,30,127.94856043333334,127.94856043333334,0,0
51,23248,30,131.18004273333335,131.18004273333335,0,0
52,23948,30,116.34908469999999,131.18004273333335,1,0
53,24648,30,120.64501693333337,131.18004273333335,2,0
54,24944,30,122.66230283333334,131.18004273333335,3,0
55,25644,30,122.4041256666667,131.18004273333335,4,0
56,26344,30,108.28673596666665,131.18004273333335,5,0
57,27044,30,96.2707732,131.18004273333335,6,0
58,27744,30,79.82001476666666,131.18004273333335,7,0
59,27934,30,78.99376796666668,131.18004273333335,8,0
60,28634,30,66.80759496666666,131.18004273333335,9,0
61,28825,30,67.48446633333333,131.18004273333335,10,0
62,29525,30,58.102928566666655,131.18004273333335,11,0
63,30225,30,44.40402123333334,131.18004273333335,12,0
64,30496,30,43.31483393333335,131.18004273333335,13,0
65,30601,30,43.66884523333333,131.18004273333335,14,0
66,31022,30,44.628153800000014,131.18004273333335,15,0
67,31274,30,56.5854513,131.18004273333335,16,0
68,31461,30,62.34352946666668,131.18004273333335,17,0
69,31606,30,65.93374536666667,131.18004273333335,18,0
70,31841,30,66.60025683333332,131.18004273333335,19,0
71,32153,30,64.35691390000001,131.18004273333335,20,0
72,32654,30,72.96879216666667,131.18004273333335,21,0
73,32870,30,73.85457903333334,131.18004273333335,22,0
74,33317,30,70.12783806666668,131.18004273333335,23,0
75,34017,30,57.61936590000001,131.18004273333335,24,0
76,34717,30,66.69054596666668,131.18004273333335,25,0
77,35417,30,50.754685100000025,131.18004273333335,26,0
78,36109,30,42.95461466666667,131.18004273333335,27,0
79,36561,30,39.373796466666676,131.18004273333335,28,0
80,37261,30,22.890927966666673,131.18004273333335,29,0
81,37961,30,11.787562600000001,131.18004273333335,30,1
