episode,reward,moving_average_reward,moving_average_window
1,-1380.084603,-1380.084603,14
2,-3754.188524,-2567.1365635,14
3,-2737.883331,-2624.0521526666666,14
4,-927.981188,-2200.0344115000003,14
5,-3148.06731,-2389.6409912000004,14
6,-3324.653245,-2545.4763668333335,14
7,-492.57142,-2252.204231571429,14
8,-2671.546588,-2304.622026125,14
9,-1272.182059,-2189.906474222222,14
10,-2348.191728,-2205.7349996,14
11,-1521.810845,-2143.560076454545,14
12,-789.432095,-2030.7160779999997,14
13,-1351.003392,-1978.4304867692304,14
14,-1699.955335,-1958.5394044999996,14
15,-1087.486584,-1937.6395459999999,14
16,-999.603199,-1740.8834513571426,14
17,-809.439449,-1603.137459785714,14
18,-1083.630494,-1614.2552673571429,14
19,-530.655425,-1427.2972755714288,14
20,-1717.982286,-1312.5350642142857,14
21,-527.437396,-1315.0254910714286,14
22,-1333.935486,-1219.4818409285713,14
23,-337.473397,-1152.7169365000002,14
24,-1431.811218,-1087.2611857857144,14
25,-3227.899032,-1209.1246277142857,14
26,-1267.531984,-1243.2746197857143,14
27,-725.259173,-1198.5786041428569,14
28,-1150.355859,-1159.3214987142858,14
29,-1144.250478,-1163.3760625714285,14
30,-1087.69721,-1169.6684919285713,14
31,-766.135025,-1166.5753187857142,14
32,-1308.114769,-1182.6099098571428,14
33,-662.049928,-1191.9952314999998,14
34,-497.436474,-1104.8133877857142,14
35,-980.943649,-1137.2066915714286,14
36,-525.581875,-1079.4671479285714,14
37,-1133.339025,-1136.3146927857144,14
38,-810.654297,-1091.9463412857144,14
39,-1396.542801,-961.1351819285713,14
40,-1197.366195,-956.1233398571428,14
41,-1535.489842,-1013.9969590714287,14
42,-610.867124,-975.4620494285716,14
43,-3360.460452,-1133.7627618571428,14
44,-2500.376001,-1234.6683897857145,14
45,-515.224811,-1216.7462316428573,14
46,-333.681615,-1147.1438635000002,14
47,-1328.084606,-1194.7177690714286,14
48,-1584.803905,-1272.3868712857145,14
49,-3403.845366,-1445.4512796428573,14
50,-553.904048,-1447.4742920000003,14
51,-3879.151756,-1643.6037727857145,14
52,-4132.741592,-1880.8957224285716,14
53,-3919.961782,-2061.139935357143,14
54,-674.054435,-2023.760523928571,14
55,-1816.547199,-2043.8360494285714,14
56,-693.532169,-2049.7406954999997,14
57,-1586.21984,-1923.0092232142854,14
58,-2048.981174,-1890.7667355714286,14
59,-1304.675627,-1947.1560795714286,14
60,-1221.944207,-2010.603407571429,14
61,-1149.300848,-1997.8331391428571,14
62,-658.349171,-1931.657801,14
63,-2576.524828,-1872.5634768571433,14
64,-1771.162702,-1959.510523571429,14
65,-2248.633904,-1843.044962714286,14
66,-1733.19628,-1671.6488690000003,14
67,-1995.220348,-1534.167338,14
68,-4037.537724,-1774.416144357143,14
69,-3574.795977,-1900.0053427857144,14
70,-924.144373,-1916.4776430714287,14
71,-405.14433,-1832.115106642857,14
72,-628.309656,-1730.6385696428572,14
