episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,1000,-646.816382,timeout,-646.816382,0.0,0.29988303780555725,0,best_average_model
2,1535,-196.520095,success,-421.6682385,0.5,0.09064722806215286,0,best_average_model
8,5614,-202.398276,success,-398.03910025000005,0.375,0.09672002494335175,0,best_average_model
14,8963,-204.327055,unsafe_sonar,-391.9057299285714,0.2857142857142857,5.743049144744873,0,best_average_model
15,9288,-30.325604,success,-367.8003882,0.3333333333333333,0.07382337003946304,0,best_average_model
16,9492,-313.881881,unsafe_sonar,-364.4304815,0.3125,6.492472171783447,0,best_average_model
19,10882,-193.289401,unsafe_sonar,-360.18561436842106,0.2631578947368421,4.007896900177002,0,best_average_model
21,12322,-218.94398,success,-348.4780949,0.3,0.05213095247745514,0,best_average_model
25,15225,-229.578015,unsafe_sonar,-332.03774210000006,0.35,7.559504508972168,0,best_average_model
30,16953,-150.538365,unsafe_sonar,-315.8573854,0.3,5.767674446105957,0,best_average_model
34,19174,-111.784361,success,-315.02876585,0.35,0.09919270873069763,0,best_average_model
37,20226,-113.297548,success,-294.42487315,0.4,0.0428788959980011,0,best_average_model
42,22505,-164.961327,unsafe_sonar,-290.9018665000001,0.4,8.777403831481934,0,best_average_model
43,22660,-233.630222,unsafe_sonar,-278.41958689999996,0.35,6.466827392578125,0,best_average_model
44,22751,-147.247568,unsafe_sonar,-254.71506184999998,0.35,8.104751586914062,0,best_average_model
47,23881,-383.297283,unsafe_sonar,-248.96559924999997,0.4,6.012622356414795,0,best_average_model
49,24360,-79.010175,success,-248.39926415,0.4,0.09508195519447327,0,best_average_model
