#{"t_start": 1780780241.0705376, "env_id": "None"}
r,l,t
-755.407647,1000,60.392126
-784.855351,1000,118.939829
-737.983542,1000,179.716775
-775.875939,1000,239.311977
-176.912777,398,267.126479
-738.203764,1000,326.404839
-725.927375,1000,386.11922
-339.105441,651,425.401719
-749.770368,1000,483.944296
-145.277933,75,494.730546
-726.107871,1000,554.262649
-129.574458,60,565.189158
-53.418032,303,588.343908
-307.395567,625,625.613171
-143.747221,66,634.358787
-114.100838,375,661.168745
-716.543119,1000,720.963847
-719.495679,1000,779.801373
-690.304198,1000,837.20205
-226.835246,105,849.426821
-168.924387,122,864.048594
-184.585367,74,875.168258
-442.270783,407,902.01577
-171.566049,97,913.737798
-63.339403,319,935.345774
-492.583406,783,983.318164
-160.690293,88,993.812514
-590.833536,998,1054.219037
-699.182339,1000,1112.452537
-523.849817,901,1164.969181
-711.821878,1000,1224.447418
-288.859554,184,1241.011313
-994.868959,652,1282.412767
-160.306358,99,1294.879061
-11.507206,262,1315.20592
-327.379391,232,1331.882618
-184.539306,110,1344.043695
-236.202285,159,1360.500146
-557.626759,982,1417.837627
-723.080869,1000,1475.101884
-203.436307,130,1487.042297
-716.073233,1000,1546.853623
-289.246497,610,1582.833366
-288.972487,159,1596.567607
-716.444061,1000,1656.80893
-648.596912,1000,1714.85594
-171.367561,454,1743.313554
-184.123916,89,1753.52119
-171.934193,92,1763.872925
-161.30777,104,1776.920311
-203.072133,133,1792.605733
-67.717098,319,1816.716778
-231.485347,133,1828.860146
-673.718774,1000,1889.418076
-251.373983,200,1905.340225
-159.79009,79,1917.210545
-171.699523,425,1947.187892
-293.735279,132,1962.20731
-683.053842,1000,2022.260512
-268.15705,186,2036.570908
-231.283416,130,2049.214061
-666.946143,1000,2109.044149
-178.80368,90,2119.060457
-703.109374,1000,2179.314618
-675.706416,1000,2237.032357
-689.412554,1000,2295.111351
-241.32746,144,2309.433327
-370.256409,784,2357.20974
-187.102474,103,2368.456201
-640.27444,1000,2428.252496
-628.980657,1000,2485.398437
-271.093152,154,2499.153165
-746.583228,1000,2559.58502
-220.30772,128,2573.000189
-735.807767,1000,2633.404041
-158.984501,101,2644.017608
-493.245029,293,2665.972522
-266.289481,218,2684.550497
-695.007602,1000,2744.071392
-715.932241,1000,2801.25997
-571.546247,1000,2858.917745
-359.357019,715,2901.818626
-189.750421,151,2915.19478
-171.101252,113,2926.453031
-181.725038,104,2938.385997
-319.478496,205,2957.513221
-367.675932,276,2980.772975
-98.55735,370,3006.567419
-92.868118,391,3032.107901
-239.183407,200,3048.3825
-174.225233,77,3060.690973
-422.924585,279,3082.407964
-218.708112,179,3097.582772
-568.748915,562,3133.152114
-268.226278,231,3152.235739
-683.899665,1000,3211.807284
-649.52617,1000,3271.578161
-619.156994,1000,3330.053457
-175.736906,137,3341.161942
-609.409271,1000,3398.378739
-261.981791,207,3414.598954
-609.681388,1000,3475.337048
-635.132374,1000,3535.017337
-258.966431,231,3554.330443
-300.382403,170,3570.664538
-387.116343,815,3623.089714
-210.700933,182,3641.496775
-206.316165,574,3679.297961
-182.77603,451,3709.700881
-617.347408,1000,3769.704726
-212.405281,207,3785.615541
