episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,381,-94.844054,success,-94.844054,1.0,0.08088613301515579,0,best_average_model
2,592,-9.314842,success,-52.079448,1.0,0.09391417354345322,0,best_average_model
3,752,20.37073,success,-27.929388666666668,1.0,0.09878046810626984,0,best_average_model
4,877,40.32982,success,-10.864586500000001,1.0,0.08170288056135178,0,best_average_model
5,959,56.325411,success,2.5734129999999995,1.0,0.08784876018762589,0,best_average_model
6,1087,39.659875,success,8.754489999999999,1.0,0.096133753657341,0,best_average_model
7,1214,37.624709,success,12.878806999999998,1.0,0.055899009108543396,0,best_average_model
8,1320,50.047018,success,17.524833375,1.0,0.09854943305253983,0,best_average_model
9,1457,29.132421,success,18.814565333333334,1.0,0.08391156792640686,0,best_average_model
10,1611,21.686125,success,19.1017213,1.0,0.09920758008956909,0,best_average_model
11,1719,44.209336,success,21.384231727272727,1.0,0.09678016602993011,0,best_average_model
12,1821,51.512118,success,23.89488891666667,1.0,0.07896555215120316,0,best_average_model
13,1926,45.644566,success,25.567941,1.0,0.09134164452552795,0,best_average_model
14,2003,61.653492,success,28.145480357142862,1.0,0.09535719454288483,0,best_average_model
15,2104,47.718493,success,29.45034786666667,1.0,0.09871701151132584,0,best_average_model
16,2216,43.313388,success,30.316787875000003,1.0,0.09310805797576904,0,best_average_model
17,2340,42.826797,success,31.05267076470588,1.0,0.09246498346328735,0,best_average_model
18,2441,51.458498,success,32.18632783333333,1.0,0.06904790550470352,0,best_average_model
19,2517,60.536531,success,33.67844378947368,1.0,0.08926215767860413,0,best_average_model
20,2615,53.886683,success,34.688855749999995,1.0,0.08101384341716766,0,best_average_model
21,2714,49.305579,success,41.896337399999986,1.0,0.08299046754837036,0,best_average_model
22,2811,50.500336,success,44.88709629999998,1.0,0.0956810861825943,0,best_average_model
23,2885,65.339509,success,47.13553524999999,1.0,0.09565555304288864,0,best_average_model
24,2968,57.473883,success,47.992738399999986,1.0,0.09070514142513275,0,best_average_model
26,3133,68.887447,success,49.264447799999985,1.0,0.0959845632314682,0,best_average_model
27,3224,59.70716,success,50.36857034999999,1.0,0.09641975164413452,0,best_average_model
29,3435,48.731742,success,51.113398649999986,1.0,0.0822942927479744,0,best_average_model
30,3527,57.444146,success,52.901299699999996,1.0,0.09868492186069489,0,best_average_model
33,3848,51.654184,success,53.08552254999999,1.0,0.08917812258005142,0,best_average_model
36,4141,51.951529,success,53.44940135,1.0,0.08610837161540985,0,best_average_model
37,4237,55.642773,success,54.09020015,1.0,0.09979770332574844,0,best_average_model
41,4596,59.276054,success,54.5503431,1.0,0.09353169053792953,0,best_average_model
49,5327,66.385633,success,54.6880313,1.0,0.0886414498090744,0,best_average_model
50,5395,68.576421,success,55.24464505000001,1.0,0.08356691896915436,0,best_average_model
51,5501,48.467474,success,55.6404813,1.0,0.09534528851509094,0,best_average_model
52,5596,56.962601,success,55.84633415,1.0,0.08738455176353455,0,best_average_model
54,5781,63.437689,success,56.12861275,1.0,0.07724232971668243,0,best_average_model
55,5853,65.863869,success,56.649484300000005,1.0,0.09075522422790527,0,best_average_model
56,5946,53.219338,success,56.712874750000005,1.0,0.0981513187289238,0,best_average_model
58,6104,67.956002,success,57.68809339999999,1.0,0.09184881299734116,0,best_average_model
59,6166,69.160548,success,58.550869399999996,1.0,0.09324802458286285,0,best_average_model
62,6402,63.044351,success,59.635416299999996,1.0,0.09955061972141266,0,best_average_model
67,6839,69.828458,success,59.9182147,1.0,0.09833594411611557,0,best_average_model
73,7318,68.33357,success,60.78590714999999,1.0,0.08370985835790634,0,best_average_model
74,7390,65.342231,success,60.88113425,1.0,0.08753321319818497,0,best_average_model
76,7549,61.04437,success,61.12840290000001,1.0,0.09437420964241028,0,best_average_model
77,7620,67.598017,success,61.809032450000004,1.0,0.09768185764551163,0,best_average_model
83,8079,66.64496,success,62.26461395,1.0,0.08836553245782852,0,best_average_model
84,8145,68.230628,success,63.15500710000001,1.0,0.09141663461923599,0,best_average_model
85,8244,54.971894,success,63.257324000000004,1.0,0.09929168224334717,0,best_average_model
86,8311,68.41389,success,63.49891945,1.0,0.07409308850765228,0,best_average_model
87,8363,74.292504,success,63.72212175000001,1.0,0.09435110539197922,0,best_average_model
88,8437,64.363595,success,63.890156350000005,1.0,0.081269271671772,0,best_average_model
89,8507,65.51382,success,64.08511945000001,1.0,0.09752325713634491,0,best_average_model
90,8577,66.879873,success,64.31792429999999,1.0,0.09012860059738159,0,best_average_model
91,8643,70.294839,success,64.77541389999999,1.0,0.08948545157909393,0,best_average_model
92,8705,71.829703,success,65.73927409999999,1.0,0.09850969910621643,0,best_average_model
95,8909,70.453745,success,66.04251149999999,1.0,0.09268418699502945,0,best_average_model
96,8977,68.227468,success,66.40166640000001,1.0,0.09315436333417892,0,best_average_model
124,10992,75.923204,success,67.08869155,1.0,0.07591119408607483,0,best_average_model
126,11123,72.43481,success,67.46024674999998,1.0,0.09470219910144806,0,best_average_model
127,11194,68.489951,success,68.35183244999999,1.0,0.09849923104047775,0,best_average_model
129,11304,78.803197,success,68.8099722,1.0,0.09687250107526779,0,best_average_model
