episode,reward,moving_average_reward,moving_average_window
1,-324.890104,-324.890104,7
2,-369.555376,-347.22274000000004,7
3,-349.309713,-347.91839766666664,7
4,-414.339448,-364.52366025,7
5,-316.846674,-354.988263,7
6,-361.162065,-356.01723,7
7,-303.046963,-348.45004900000004,7
8,-322.618052,-348.1254701428571,7
9,-390.246698,-351.0813732857143,7
10,-321.440156,-347.100008,7
11,-310.069391,-332.20428557142856,7
12,-319.319915,-332.5576057142857,7
13,-298.455827,-323.5995717142857,7
14,-295.826999,-322.5681482857143,7
15,-362.819272,-328.31117971428574,7
16,-378.797349,-326.67555842857143,7
17,-291.677267,-322.42371714285713,7
18,-110.197845,-293.87063914285716,7
19,-286.393659,-289.16688828571426,7
20,-316.601633,-291.7591462857143,7
21,-338.207013,-297.81343400000003,7
22,-340.005153,-294.55427414285714,7
23,-350.1528,-290.4621957142857,7
24,-330.660553,-296.03123657142856,7
25,-288.513702,-321.5049304285714,7
26,-272.355838,-319.49952742857147,7
27,-326.407364,-320.90034614285713,7
28,-379.157233,-326.75037757142854,7
29,-309.105664,-322.3361648571428,7
30,-305.444664,-315.94928828571426,7
31,-359.286928,-320.0387704285714,7
32,-283.083281,-319.262996,7
33,-380.593935,-334.72558128571427,7
34,-388.610758,-343.6117804285714,7
35,-314.53518,-334.38005857142855,7
36,-340.250354,-338.82930000000005,7
37,-413.807471,-354.309701,7
38,-390.777607,-358.80836942857144,7
