#{"t_start": 1780126895.5893111, "env_id": "None"}
r,l,t
93.849226,39,6.268775
71.019849,104,14.695783
87.132834,25,18.90388
82.563099,56,24.987453
77.284017,80,32.184501
86.982665,61,38.138866
87.187769,60,44.359896
91.430583,43,49.710424
93.771939,24,53.916692
86.306188,48,59.873229
77.970516,94,67.916514
84.19511,72,73.886163
49.39387,167,85.075841
82.116654,78,91.701486
86.683108,59,97.553829
77.008561,93,105.104954
85.506846,22,108.995486
88.182201,20,112.610495
89.264078,27,116.250329
86.953588,44,121.088338
85.524105,48,126.161969
70.24723,114,134.563014
92.103442,40,139.291869
87.515954,42,144.062399
83.788267,16,147.072284
90.688007,41,151.653811
77.975493,51,156.702832
85.549813,38,161.170452
85.377677,18,164.707269
91.369241,31,168.518339
82.884082,74,174.824995
87.085413,20,178.302138
84.248017,21,182.110963
85.049115,75,188.006856
82.398365,53,193.429165
69.186268,100,200.806575
91.6916,29,204.878977
73.544453,56,210.591332
76.272045,98,218.219514
86.99726,56,223.69523
82.392325,10,226.402768
91.29686,51,231.55119
86.002362,15,234.631865
92.332063,29,238.665761
86.333005,52,243.992211
80.657441,56,248.991261
89.567517,24,252.98742
79.322864,88,259.835922
85.655021,20,263.694919
82.242333,75,269.681261
88.175615,21,273.387646
91.826311,47,278.302155
88.084178,23,282.143669
81.266138,72,288.107812
81.665204,78,294.711433
85.069946,21,298.441121
77.394916,87,305.380521
89.792036,51,310.801026
83.159051,34,314.967708
73.323053,107,323.122524
92.675868,29,327.026914
86.662472,23,330.929238
77.439037,58,336.432174
84.828544,27,340.41978
86.052152,47,345.080937
82.600848,50,350.338911
83.564597,42,354.810088
89.4835,48,359.763624
88.388249,32,363.86113
81.977088,76,370.671849
84.563841,20,374.457649
74.843523,108,382.278482
91.320833,27,386.347206
86.067985,35,390.827368
88.778527,57,396.310233
87.400781,59,401.863991
75.218563,105,409.800733
90.787665,37,413.91755
58.090889,132,423.538368
91.39249,47,428.693445
84.994077,40,432.749335
80.461047,81,439.601573
89.006307,30,443.575447
81.767557,78,450.522831
84.193706,8,453.420761
90.240489,29,457.567295
82.622231,21,461.090323
92.224958,31,465.460681
92.584779,46,470.634774
77.368587,83,477.061425
89.543366,36,481.603684
86.591511,58,486.761884
89.001962,59,492.476534
86.120988,19,496.186335
81.761635,40,500.797764
87.647963,22,504.116392
87.717218,34,508.477165
82.403187,11,511.200857
90.677606,39,515.732162
80.048795,1,519.057207
85.250228,58,524.993815
93.383052,41,529.458106
91.443542,48,534.366435
92.003351,44,538.995377
91.128254,38,543.51918
83.63574,70,549.264457
90.549203,27,553.119486
88.458518,29,557.341272
