#{"t_start": 1780129461.1360147, "env_id": "None"}
r,l,t
270.300539,216,15.227435
245.126635,349,37.357858
296.545646,159,49.382753
304.178883,146,60.656739
308.361502,137,71.565517
275.195375,222,87.170931
311.403311,174,99.960461
312.429878,183,113.459732
222.367004,327,134.248025
301.229151,108,143.653906
301.179876,137,154.722946
311.100942,148,166.175045
321.889761,91,174.635588
254.756634,252,191.741659
248.623791,343,213.115273
310.133522,89,221.818156
246.331158,302,241.097835
314.042472,115,250.795764
247.781305,293,270.038452
240.658052,354,292.316741
280.215092,225,307.762751
316.482925,143,318.89222
306.60381,168,331.573241
325.454167,97,340.41525
314.270679,153,352.053035
276.208692,284,371.026024
302.811008,157,383.328073
315.274021,141,394.792579
275.600563,233,410.999024
292.411541,209,425.612779
321.979499,166,437.925981
310.578277,191,451.821551
324.836152,81,459.801078
318.524251,76,467.519213
316.218793,124,477.726917
301.881053,187,491.362715
274.821451,191,505.033487
297.784503,170,517.511623
311.0262,148,529.20546
285.619353,176,542.153085
298.842193,182,555.404999
298.170098,175,568.495588
304.998588,89,576.90302
308.448045,194,590.685456
290.690086,212,605.655183
304.046481,129,616.082919
289.280511,179,629.1838
306.068127,164,641.665803
292.859359,160,653.725805
312.720328,125,663.826889
304.608024,143,675.208432
315.172781,126,685.372191
308.714626,162,697.631707
304.795047,106,707.286679
304.237506,118,717.367457
311.789054,123,727.489178
273.412031,268,745.133229
291.003912,189,758.912203
303.1523,148,770.271294
301.837762,142,781.332914
310.036917,155,793.42446
301.287413,107,802.8542
258.693983,259,819.977566
265.908096,279,838.492667
278.211148,246,854.873388
321.369152,109,864.162152
-76.118684,800,909.686428
295.631537,200,923.875219
264.332686,269,941.866699
291.944293,156,953.703714
305.760924,125,963.839626
301.402883,186,977.475238
296.256392,186,990.94156
245.057014,339,1012.550037
326.382397,124,1022.651213
306.324332,155,1034.416835
302.883227,194,1048.496031
308.019811,168,1061.017784
204.976688,464,1088.964313
302.804016,162,1101.152219
314.289855,97,1110.101399
304.183447,139,1120.911633
313.935746,100,1129.852803
306.414756,184,1143.135887
292.501868,156,1155.24186
307.314167,136,1166.03591
302.549337,99,1175.093121
318.577453,128,1185.507411
290.195833,160,1197.776181
308.642011,104,1206.986914
296.192064,196,1220.85005
284.76618,275,1239.285718
288.031963,176,1252.192338
313.196143,80,1259.992784
293.112459,111,1269.80653
320.62477,128,1280.137357
302.200065,126,1290.407733
307.318921,132,1301.058673
286.60747,161,1313.38429
295.830639,176,1326.240825
307.219349,98,1335.136881
301.863853,177,1347.965821
318.192968,71,1355.700644
274.274912,252,1372.588812
310.322428,110,1382.173927
305.080595,91,1390.83616
252.297785,320,1411.345823
311.696493,146,1423.120588
312.617842,143,1435.113569
294.855961,145,1446.594997
308.390582,59,1453.765792
324.273884,149,1465.753274
300.378364,88,1474.895124
319.659828,135,1485.992353
297.149464,138,1497.270505
311.594681,88,1505.682548
325.56437,127,1516.182302
318.962281,117,1526.008826
315.200359,103,1535.191742
298.826194,131,1545.781881
323.027493,86,1554.004987
305.305418,115,1563.935673
327.928975,119,1573.806077
320.477888,127,1584.144562
327.657445,135,1594.935144
296.261177,175,1608.070765
315.299028,103,1617.170611
323.235541,147,1628.654062
309.253831,117,1638.367355
304.353311,160,1650.612953
313.0179,161,1662.741779
326.010177,134,1673.483127
264.262726,273,1691.687026
321.209472,135,1702.476789
295.198298,132,1713.064038
311.72345,138,1724.263673
260.215065,290,1742.911895
295.787965,144,1754.156865
315.871705,86,1762.568841
315.009085,159,1774.624117
313.39133,151,1786.168973
313.66116,105,1795.357144
308.249252,94,1804.1854
311.98425,109,1813.620226
307.409691,130,1824.028652
302.713514,88,1832.538079
293.079608,165,1845.027781
307.162726,141,1856.050715
321.496213,114,1865.607849
316.685589,126,1875.763841
328.827804,107,1885.255394
324.73321,103,1894.289399
311.558643,137,1905.222683
310.946103,105,1914.484255
310.137406,103,1924.127015
318.010247,122,1934.555414
311.223465,82,1942.539176
283.860426,275,1960.453411
322.710754,107,1970.030509
292.864481,146,1981.318283
320.446788,140,1992.376547
284.26949,178,2005.255861
310.504249,74,2013.234277
303.023842,140,2024.28689
296.4472,189,2037.766803
301.951392,68,2045.084999
306.505777,118,2055.218406
197.306748,500,2085.118157
303.034791,138,2096.032773
305.205372,141,2107.147437
319.59181,142,2118.30572
309.006689,122,2128.7048
314.873683,145,2140.683523
307.826187,132,2152.545627
302.984403,109,2164.130371
310.613615,192,2178.283571
300.508304,222,2193.663777
310.959023,141,2205.101611
285.422496,259,2222.538494
285.417113,210,2237.256467
297.068412,155,2249.26164
299.914263,194,2263.138453
305.960574,200,2277.249273
332.165409,89,2286.081414
310.706114,137,2296.970531
309.728125,83,2305.197506
238.211771,386,2329.274022
311.824741,136,2340.109501
298.415208,165,2352.572
312.228659,98,2361.977995
-91.798048,800,2407.793306
306.283528,148,2419.686871
298.20464,143,2431.545001
286.211651,263,2449.564943
300.93697,195,2464.388693
312.337619,144,2476.309048
323.301965,129,2486.667186
300.403437,136,2497.354491
322.865783,97,2506.344371
316.295641,82,2514.262179
302.236758,136,2525.042071
306.284009,145,2536.265931
321.794629,147,2548.046006
222.82835,437,2574.433531
316.187652,136,2585.585565
315.078605,124,2595.874634
324.836306,92,2604.314759
308.832598,138,2615.266303
310.573762,145,2626.836557
320.17992,125,2637.070029
293.686393,160,2649.050761
-180.834808,800,2694.570391
324.578796,123,2704.705941
290.608594,215,2719.605034
285.977713,255,2736.75333
295.546361,183,2749.935642
325.623725,108,2759.471332
