episode,timesteps,window,moving_average_reward,best_moving_average_reward,episodes_since_improvement,stopped
50,9074,50,294.36722566000003,294.36722566000003,0,0
51,9217,50,295.05337536,294.36722566000003,1,0
52,9343,50,296.45429828000005,296.45429828000005,0,0
53,9505,50,296.6976778800001,296.45429828000005,1,0
54,9611,50,296.71000116000005,296.45429828000005,2,0
55,9729,50,296.62752123999996,296.45429828000005,3,0
56,9852,50,297.35939482000003,296.45429828000005,4,0
57,10120,50,296.59956922000003,296.45429828000005,5,0
58,10309,50,296.1710499,296.45429828000005,6,0
59,10457,50,297.78675582000005,297.78675582000005,0,0
60,10599,50,297.79892803999996,297.78675582000005,1,0
61,10754,50,297.97606885999994,297.78675582000005,2,0
62,10861,50,297.77979827999997,297.78675582000005,3,0
63,11120,50,296.5158827199999,297.78675582000005,4,0
64,11399,50,296.73891195999994,297.78675582000005,5,0
65,11645,50,297.3306590999999,297.78675582000005,6,0
66,11754,50,297.5553716999999,297.78675582000005,7,0
67,12554,50,291.1063748599999,297.78675582000005,8,0
68,12754,50,290.7381561599999,297.78675582000005,9,0
69,13023,50,291.0691837799999,297.78675582000005,10,0
70,13179,50,292.0949085999999,297.78675582000005,11,0
71,13304,50,292.6058252399999,297.78675582000005,12,0
72,13490,50,292.3042243999999,297.78675582000005,13,0
73,13676,50,292.09727603999994,297.78675582000005,14,0
74,14015,50,290.48933298,297.78675582000005,15,0
75,14139,50,290.7315673399999,297.78675582000005,16,0
76,14294,50,291.33388013999996,297.78675582000005,17,0
77,14488,50,291.33532452,297.78675582000005,18,0
78,14656,50,291.19024032,297.78675582000005,19,0
79,15120,50,289.77776281999996,297.78675582000005,20,0
80,15282,50,289.98561232,297.78675582000005,21,0
81,15379,50,289.83181943999995,297.78675582000005,22,0
82,15518,50,289.70392283999996,297.78675582000005,23,0
83,15618,50,289.48591472,297.78675582000005,24,0
84,15802,50,289.24372481999995,297.78675582000005,25,0
85,15958,50,288.76938631999997,297.78675582000005,26,0
86,16094,50,288.8780486,297.78675582000005,27,0
87,16193,50,289.43260632,297.78675582000005,28,0
88,16321,50,289.84846532000006,297.78675582000005,29,0
89,16481,50,289.43185798,297.78675582000005,30,0
90,16585,50,289.89231114000006,297.78675582000005,31,0
91,16781,50,289.83930856,297.78675582000005,32,0
92,17056,50,289.5712302,297.78675582000005,33,0
93,17232,50,289.23189770000005,297.78675582000005,34,0
94,17312,50,289.32685966,297.78675582000005,35,0
95,17423,50,289.37530712000006,297.78675582000005,36,0
96,17551,50,289.7068729,297.78675582000005,37,0
97,17677,50,289.96526398000003,297.78675582000005,38,0
98,17809,50,289.99027986000004,297.78675582000005,39,0
99,17970,50,289.86524208000003,297.78675582000005,40,0
100,18146,50,289.52744830000006,297.78675582000005,41,0
101,18244,50,289.5796748,297.78675582000005,42,0
102,18421,50,289.3134962400001,297.78675582000005,43,0
103,18492,50,289.50306308000006,297.78675582000005,44,0
104,18744,50,288.8926603800001,297.78675582000005,45,0
105,18854,50,289.01435882000004,297.78675582000005,46,0
106,18945,50,288.8801896400001,297.78675582000005,47,0
107,19265,50,288.4579047200001,297.78675582000005,48,0
108,19411,50,288.8717563400001,297.78675582000005,49,0
109,19554,50,289.06106718000007,297.78675582000005,50,0
110,19699,50,288.92143116000005,297.78675582000005,51,0
111,19758,50,288.88850446000004,297.78675582000005,52,0
112,19907,50,289.34823388,297.78675582000005,53,0
113,19995,50,290.1819215,297.78675582000005,54,0
114,20130,50,291.25695614,297.78675582000005,55,0
115,20268,50,291.63572246,297.78675582000005,56,0
116,20356,50,291.44023304000007,297.78675582000005,57,0
117,20483,50,299.47389412000007,299.47389412000007,0,0
118,20600,50,299.9405090000001,299.47389412000007,1,0
119,20703,50,300.95786246000006,300.95786246000006,0,0
120,20834,50,301.09550048,300.95786246000006,1,0
121,20920,50,301.44083186,300.95786246000006,2,0
122,21035,50,301.51888256,300.95786246000006,3,0
123,21154,50,302.15233422,302.15233422,0,0
124,21281,50,303.6607517,303.6607517,0,0
125,21416,50,303.68625266,303.6607517,1,0
126,21591,50,303.48498956,303.6607517,2,0
127,21694,50,303.73330558,303.6607517,3,0
128,21841,50,304.03762018000003,303.6607517,4,0
129,21958,50,306.12316304,306.12316304,0,0
130,22118,50,306.15414894,306.12316304,1,0
131,22279,50,306.12870984000006,306.12316304,2,0
132,22413,50,306.5652444400001,306.12316304,3,0
133,22686,50,305.57178404000007,306.12316304,4,0
134,22821,50,305.86767836000007,306.12316304,5,0
135,22953,50,305.9216069600001,306.12316304,6,0
136,23091,50,306.0097926200001,306.12316304,7,0
137,23381,50,305.16310718000005,306.12316304,8,0
138,23525,50,304.70731742000004,306.12316304,9,0
139,23611,50,305.22083486,306.12316304,10,0
140,23770,50,305.34817634,306.12316304,11,0
