#{"t_start": 1780147172.982633, "env_id": "None"}
r,l,t
-519.965498,172,12.255004
-503.539646,146,22.420948
-431.177489,113,30.53932
-478.010868,137,40.533767
-430.679517,115,49.323174
-463.477464,114,57.731649
-442.539712,115,66.237406
-438.916099,112,74.142427
-504.905735,143,84.631561
-548.614331,174,96.24918
-496.674324,141,105.828902
-484.724209,137,115.748378
-456.879348,116,124.302504
-463.605831,120,133.551069
-487.101421,143,143.359293
-473.497285,138,153.519654
-476.389927,142,163.635386
-488.418943,144,174.014975
-512.775791,141,184.186181
-510.649853,145,193.811825
-467.07492,118,202.876746
-481.62295,140,212.263335
-466.369644,138,222.556097
-447.89889,116,231.172328
-446.830834,115,239.732743
-466.852756,121,248.750729
-528.473472,169,260.485818
-500.333415,144,270.503135
-444.027233,117,279.360651
-533.9689,154,290.759165
-419.690451,111,299.335829
-534.4512,145,309.590209
-511.674919,149,320.104866
-485.160136,116,328.582428
-448.630997,114,337.574599
-446.358298,115,345.847424
-446.512801,116,354.564993
-459.722646,117,363.278083
-477.819097,137,373.177196
-515.278769,144,384.025332
-450.696477,114,392.757919
-449.910113,115,401.456138
-454.97186,109,410.388804
-481.27377,117,419.108174
-472.99742,119,428.079269
-492.738632,118,436.892503
-501.193422,124,446.074721
-443.480838,109,454.546907
-473.898051,118,463.49764
-518.256593,144,473.334549
-480.744022,116,482.126673
-463.63107,111,491.097245
-473.849602,121,500.339507
-470.007166,115,508.675232
-519.33301,129,518.274839
-529.411774,145,529.019135
-538.64028,148,539.198836
-523.086638,146,549.769668
-459.696169,118,558.796231
-471.114401,115,568.198615
-491.531908,121,577.117235
-537.913551,147,587.524331
-521.364958,146,597.919018
-457.616675,111,606.933391
-938.891275,1322,679.362265
-479.859479,118,688.263885
-437.506519,111,697.486074
-469.063028,121,706.704347
-499.821186,120,715.756969
-464.403125,118,724.687834
-303.421487,55,730.926557
-451.82017,115,739.39736
-439.653291,112,747.900507
-480.766986,119,756.717629
-442.123905,113,764.673792
