episode,timesteps,window,moving_average_reward,best_moving_average_reward,episodes_since_improvement,stopped
25,3335,25,-476.8936211600001,-476.8936211600001,0,0
26,3456,25,-474.7691114800002,-474.7691114800002,0,0
27,3625,25,-475.76646452000017,-474.7691114800002,1,0
28,3769,25,-478.5327015600001,-474.7691114800002,2,0
29,3886,25,-477.17335616,-474.7691114800002,3,0
30,4040,25,-481.3049314800001,-474.7691114800002,4,0
31,4151,25,-479.55345096,-474.7691114800002,5,0
32,4296,25,-483.22991047999994,-474.7691114800002,6,0
33,4445,25,-486.14026327999994,-474.7691114800002,7,0
34,4561,25,-485.35043932,-474.7691114800002,8,0
35,4675,25,-481.35110596000004,-474.7691114800002,9,0
36,4790,25,-479.33846492000004,-474.7691114800002,10,0
37,4906,25,-477.81000860000006,-474.7691114800002,11,0
38,5023,25,-477.9237405200001,-474.7691114800002,12,0
39,5160,25,-478.49227116000003,-474.7691114800002,13,0
40,5304,25,-479.61936507999997,-474.7691114800002,14,0
41,5418,25,-478.70733276,-474.7691114800002,15,0
42,5533,25,-477.6481402,-474.7691114800002,16,0
43,5642,25,-476.31025687999994,-474.7691114800002,17,0
44,5759,25,-475.05017604,-474.7691114800002,18,0
45,5878,25,-473.54407871999996,-473.54407871999996,0,0
46,5996,25,-474.5706272000001,-473.54407871999996,1,0
47,6120,25,-475.35344607999997,-473.54407871999996,2,0
48,6229,25,-474.43789383999996,-473.54407871999996,3,0
49,6347,25,-475.47786028,-473.54407871999996,4,0
50,6491,25,-478.33489064,-473.54407871999996,5,0
51,6607,25,-478.89054128000004,-473.54407871999996,6,0
52,6718,25,-476.2968452,-473.54407871999996,7,0
53,6839,25,-475.23749268,-473.54407871999996,8,0
54,6954,25,-476.2766899999999,-473.54407871999996,9,0
55,7083,25,-475.69125439999993,-473.54407871999996,10,0
56,7228,25,-480.08010731999997,-473.54407871999996,11,0
57,7376,25,-480.24767051999993,-473.54407871999996,12,0
58,7522,25,-480.70413928,-473.54407871999996,13,0
59,7640,25,-479.68558060000004,-473.54407871999996,14,0
60,7755,25,-480.58491676000006,-473.54407871999996,15,0
61,7876,25,-482.39186116000013,-473.54407871999996,16,0
62,8023,25,-486.0478911600001,-473.54407871999996,17,0
63,8169,25,-488.51358364000015,-473.54407871999996,18,0
64,8280,25,-487.70548676000016,-473.54407871999996,19,0
65,9602,25,-504.6499870000001,-473.54407871999996,20,0
66,9720,25,-505.81650708000006,-473.54407871999996,21,0
67,9831,25,-505.3203633200001,-473.54407871999996,22,0
68,9952,25,-505.8840100400001,-473.54407871999996,23,0
69,10072,25,-506.62590667999996,-473.54407871999996,24,0
70,10190,25,-506.28213488,-473.54407871999996,25,0
71,10245,25,-498.7094490799999,-473.54407871999996,26,0
72,10360,25,-496.734519,-473.54407871999996,27,0
73,10472,25,-496.58141712,-473.54407871999996,28,0
74,10591,25,-496.8561745200001,-473.54407871999996,29,0
75,10704,25,-493.8108670000001,-473.54407871999996,30,1
