episode,reward,moving_average_reward,moving_average_window
1,-519.965498,-519.965498,15
2,-503.539646,-511.752572,15
3,-431.177489,-484.894211,15
4,-478.010868,-483.17337525,15
5,-430.679517,-472.67460359999995,15
6,-463.477464,-471.14174699999995,15
7,-442.539712,-467.05574199999995,15
8,-438.916099,-463.53828662499996,15
9,-504.905735,-468.1346697777778,15
10,-548.614331,-476.1826359,15
11,-496.674324,-478.0455166363636,15
12,-484.724209,-478.6020743333333,15
13,-456.879348,-476.93109538461533,15
14,-463.605831,-475.9792907857142,15
15,-487.101421,-476.7207661333333,15
16,-473.497285,-473.6228852666667,15
17,-476.389927,-471.81290400000006,15
18,-488.418943,-475.6290009333334,15
19,-512.775791,-477.9466624666667,15
20,-510.649853,-483.2780182,15
21,-467.07492,-483.51784860000004,15
22,-481.62295,-486.12339779999996,15
23,-466.369644,-487.9536341333333,15
24,-447.89889,-484.15317780000004,15
25,-446.830834,-477.3676113333334,15
26,-466.852756,-475.3795068000001,15
27,-528.473472,-478.29612433333347,15
28,-500.333415,-481.1930621333334,15
29,-444.027233,-479.88782226666666,15
30,-533.9689,-483.01232086666664,15
31,-419.690451,-479.4251986,15
32,-534.4512,-483.29595013333335,15
33,-511.674919,-484.8463485333333,15
34,-485.160136,-483.0053048666667,15
35,-448.630997,-478.87071446666675,15
36,-446.358298,-477.4896063333335,15
37,-446.512801,-475.14892973333343,15
38,-459.722646,-474.7057965333334,15
39,-477.819097,-476.70047700000003,15
40,-515.278769,-481.26367266666665,15
41,-450.696477,-480.18658739999995,15
42,-449.910113,-474.94903013333334,15
43,-454.97186,-471.9249264666667,15
44,-481.27377,-474.4080289333333,15
45,-472.99742,-470.34326359999994,15
46,-492.738632,-475.2131423333332,15
47,-501.193422,-472.99595713333326,15
48,-443.480838,-468.44968506666663,15
49,-473.898051,-467.69887939999995,15
50,-518.256593,-472.3405858,15
51,-480.744022,-474.6329674,15
52,-463.63107,-475.77418533333343,15
53,-473.849602,-476.7159824000001,15
54,-470.007166,-476.1951870000001,15
55,-519.33301,-476.4654697333334,15
56,-529.411774,-481.71315620000007,15
57,-538.64028,-487.62850066666675,15
58,-523.086638,-492.1694858666667,15
59,-459.696169,-490.73097913333334,15
60,-471.114401,-490.6054445333333,15
61,-491.531908,-490.52499626666656,15
62,-537.913551,-492.9730048666666,15
63,-521.364958,-498.1652795333332,15
64,-457.616675,-497.07985446666663,15
65,-938.891275,-525.1221665999999,15
66,-479.859479,-525.0631970666666,15
67,-437.506519,-523.3215603333333,15
68,-469.063028,-523.0024553999999,15
69,-499.821186,-524.9900567333333,15
70,-464.403125,-521.3280643999999,15
71,-303.421487,-506.2620452666666,15
72,-451.82017,-500.47403793333325,15
73,-439.653291,-494.91181479999995,15
74,-480.766986,-496.3165359333332,15
75,-442.123905,-494.3838361999999,15
