episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,800,-328.103827,timeout,-328.103827,0.0,0.5878968834877014,0,best_episode_model+best_average_model+best_success_model+best_precision_model
2,1546,-204.386833,success,-266.24533,0.5,0.09851232171058655,0,best_episode_model+best_average_model+best_success_model+best_precision_model
6,4266,-38.320989,success,-275.24458350000003,0.3333333333333333,0.09709026664495468,0,best_episode_model+best_precision_model
8,5373,-9.257255,success,-246.108557125,0.375,0.09932734072208405,0,best_episode_model+best_average_model
9,5646,-7.522662,success,-219.59901322222223,0.4444444444444444,0.09402978420257568,0,best_episode_model+best_average_model+best_precision_model
10,6248,-135.210556,success,-211.1601675,0.5,0.09520106017589569,0,best_average_model
11,6493,-2.856607,success,-192.2234801818182,0.5454545454545454,0.09888825565576553,0,best_episode_model+best_average_model+best_success_model
13,7437,52.144153,success,-182.61814099999998,0.5384615384615384,0.09317199885845184,0,best_episode_model+best_average_model+best_precision_model
14,7724,-27.605265,success,-171.5457927142857,0.5714285714285714,0.09806367009878159,0,best_average_model+best_success_model
15,8095,-23.417179,success,-161.6705518,0.6,0.08996179699897766,0,best_average_model+best_success_model+best_precision_model
16,8385,-20.041268,success,-152.8187215625,0.625,0.09612192958593369,0,best_average_model+best_success_model
17,8591,22.071077,success,-142.53108635294117,0.6470588235294118,0.09350305795669556,0,best_average_model+best_success_model
18,9110,-71.587301,success,-138.58976494444445,0.6666666666666666,0.09795389324426651,0,best_average_model+best_success_model
19,9273,40.815553,success,-129.1473797894737,0.6842105263157895,0.09172556549310684,0,best_average_model+best_success_model
20,9401,40.938054,success,-120.64310809999999,0.7,0.09032265096902847,0,best_average_model+best_success_model
21,9560,42.302638,success,-102.12278484999999,0.75,0.09634646028280258,0,best_average_model+best_success_model
22,9780,14.354549,success,-91.18571575000001,0.75,0.09773698449134827,0,best_average_model
23,10236,-72.170609,success,-77.03609495,0.8,0.08711571246385574,0,best_average_model+best_success_model+best_precision_model
24,10549,-8.346954,success,-60.74696675000003,0.85,0.0985068827867508,0,best_average_model+best_success_model
25,10638,71.765828,success,-37.59050990000001,0.9,0.09933136403560638,0,best_episode_model+best_average_model+best_success_model
26,10716,74.838226,success,-31.932549150000007,0.9,0.09583738446235657,0,best_episode_model+best_average_model
27,10843,56.455209,success,-13.702603649999991,0.95,0.08729932457208633,0,best_average_model+best_success_model
28,11068,17.507194,success,-12.364381199999986,0.95,0.09189512580633163,0,best_average_model
30,11638,27.562494,success,-6.7401985999999905,0.95,0.09684593230485916,0,best_average_model
32,12385,-15.03969,success,5.081755249999999,1.0,0.09149745106697083,0,best_average_model+best_success_model
33,12480,71.034354,success,6.026265300000001,1.0,0.09719179570674896,0,best_average_model
34,12751,1.625735,success,7.4878152999999985,1.0,0.09436280280351639,0,best_average_model
35,12836,65.417838,success,11.929566149999996,1.0,0.09266865253448486,0,best_average_model
38,13568,52.960536,success,17.9973763,1.0,0.09820503741502762,0,best_average_model
45,15757,64.947992,success,7.343075100000002,1.0,0.07595308125019073,0,best_precision_model
52,16835,63.548034,success,21.54962835,1.0,0.09818567335605621,0,best_average_model
58,18945,37.143325,success,5.768303349999999,1.0,0.06892755627632141,0,best_precision_model
66,20871,74.032624,success,14.53185785,1.0,0.05504519119858742,0,best_precision_model
86,25660,76.565894,success,14.157843049999997,0.95,0.09806035459041595,0,best_episode_model
88,26068,5.681711,success,28.848138049999996,1.0,0.08429713547229767,0,best_average_model
89,26200,55.333606,success,30.51382195,1.0,0.09368257969617844,0,best_average_model
90,26288,74.844376,success,31.00170375,1.0,0.049084119498729706,0,best_average_model+best_precision_model
93,26895,43.759467,success,34.49405744999999,1.0,0.09534139186143875,0,best_average_model
95,27716,78.959588,success,34.20442539999999,1.0,0.09296753257513046,0,best_episode_model
96,27887,46.188602,success,34.52119039999999,1.0,0.09580875933170319,0,best_average_model
98,28106,66.143316,success,34.91617135,1.0,0.09871745854616165,0,best_average_model
101,28921,57.900753,success,34.916737,1.0,0.09604818373918533,0,best_average_model
102,28966,84.222392,success,38.143647,1.0,0.07591656595468521,0,best_episode_model+best_average_model
103,29045,74.156817,success,40.237014349999995,1.0,0.09986011683940887,0,best_average_model
105,29230,84.841716,success,41.66137955000001,1.0,0.0999288409948349,0,best_episode_model+best_average_model
108,30381,34.717751,success,30.125520600000005,1.0,0.04587511345744133,0,best_precision_model
118,31858,86.204603,success,38.106377550000005,1.0,0.09623097628355026,0,best_episode_model
119,31947,71.110488,success,44.4991375,1.0,0.09997405856847763,0,best_average_model
127,33170,49.671645,success,51.886454750000006,1.0,0.09269051998853683,0,best_average_model
128,33224,81.660246,success,54.2335795,1.0,0.09902972728013992,0,best_average_model
131,33619,63.573771,success,59.328849200000015,1.0,0.06664395332336426,0,best_average_model
132,33889,19.763247,success,60.42122375000001,1.0,0.09731617569923401,0,best_average_model
133,33952,81.467568,success,60.65939360000002,1.0,0.09124831110239029,0,best_average_model
134,34000,82.80501,success,61.442142750000016,1.0,0.08650600910186768,0,best_average_model
152,36319,73.697595,success,62.0067748,1.0,0.04224880784749985,0,best_average_model+best_precision_model
158,37377,68.099651,success,62.815889950000006,1.0,0.06441103667020798,0,best_average_model
166,38253,89.707787,success,60.096421750000005,1.0,0.07665196061134338,0,best_episode_model
178,39800,81.648196,success,63.380776149999996,1.0,0.08964408934116364,0,best_average_model
179,39845,85.831071,success,64.2150311,1.0,0.0929107815027237,0,best_average_model
180,40072,35.692766,success,68.01229425,1.0,0.089929960668087,0,best_average_model
187,40808,56.451173,success,68.22752485000001,1.0,0.09369363635778427,0,best_average_model
188,40961,57.686073,success,66.98631375,1.0,0.021785816177725792,0,best_precision_model
190,41088,86.092563,success,68.53165329999999,1.0,0.09442941844463348,0,best_average_model
192,41274,63.436796,success,68.90175309999998,1.0,0.0981035977602005,0,best_average_model
193,41379,69.112849,success,70.00036954999999,1.0,0.09928154945373535,0,best_average_model
195,41535,74.311071,success,70.22448875,1.0,0.09507928788661957,0,best_average_model
196,41580,86.217553,success,71.22774330000001,1.0,0.09186342358589172,0,best_average_model
197,41640,83.062561,success,72.03571660000001,1.0,0.09381572157144547,0,best_average_model
198,41685,86.558613,success,72.28123745,1.0,0.09286502003669739,0,best_average_model
207,42662,77.213877,success,72.8439792,1.0,0.09832096099853516,0,best_average_model
208,42698,89.20899,success,74.42012505,1.0,0.09463108330965042,0,best_average_model
209,42781,74.143042,success,74.44881864999999,1.0,0.09503752738237381,0,best_average_model
212,42957,85.919335,success,75.25078025,1.0,0.0942704975605011,0,best_average_model
213,42994,88.176683,success,76.20397195,1.0,0.09459476172924042,0,best_average_model
214,43060,79.487946,success,76.32585099999999,1.0,0.0973372757434845,0,best_average_model
215,43148,78.145446,success,76.51756974999998,1.0,0.08629929274320602,0,best_average_model
216,43191,86.802183,success,76.54680124999999,1.0,0.09408587962388992,0,best_average_model
219,43366,88.419149,success,78.63334735,1.0,0.08270341902971268,0,best_average_model
220,43402,88.791566,success,80.68913015000001,1.0,0.09835371375083923,0,best_average_model
221,43440,87.853867,success,81.99080615000001,1.0,0.09040959924459457,0,best_average_model
223,43525,85.089791,success,83.18088150000001,1.0,0.07337313890457153,0,best_average_model
224,43562,88.241304,success,83.51867565,1.0,0.0901011973619461,0,best_average_model
225,43609,85.418414,success,83.68731475000001,1.0,0.09950610250234604,0,best_average_model
229,43835,89.358395,success,83.9230507,1.0,0.08463113754987717,0,best_average_model
230,43874,86.969566,success,84.31544470000001,1.0,0.09570426493883133,0,best_average_model
231,43915,87.196808,success,84.59955125,1.0,0.09145648032426834,0,best_average_model
232,43956,87.110339,success,84.65910145000001,1.0,0.09084761142730713,0,best_average_model
234,44033,89.942287,success,85.10114840000001,1.0,0.043346766382455826,0,best_episode_model+best_average_model
235,44071,87.450261,success,85.56638914999999,1.0,0.09164589643478394,0,best_average_model
237,44200,86.240689,success,85.7153369,1.0,0.0988931953907013,0,best_average_model
250,45084,91.099068,success,81.53900799999998,1.0,0.08645317703485489,0,best_episode_model
276,46481,87.059085,success,85.98347450000001,1.0,0.09609272330999374,0,best_average_model
285,46922,81.569822,success,86.54653694999999,1.0,0.08494188636541367,0,best_average_model
286,46959,89.02642,success,86.57187539999998,1.0,0.08574950695037842,0,best_average_model
302,47690,88.758211,success,86.7370614,1.0,0.0981096401810646,0,best_average_model
305,47791,89.71623,success,87.09710899999999,1.0,0.09334556758403778,0,best_average_model
307,47889,88.786234,success,87.3936267,1.0,0.08785636723041534,0,best_average_model
308,47924,89.433127,success,88.93752334999999,1.0,0.08233629912137985,0,best_average_model
342,49665,91.991271,success,86.01114515,1.0,0.04557694494724274,0,best_episode_model
