episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,169,-215.563159,unsafe_sonar,-215.563159,0.0,5.434885501861572,0,best_episode_model+best_average_model+best_success_model+best_precision_model
2,377,-237.011477,unsafe_sonar,-226.28731800000003,0.0,5.0152587890625,0,best_precision_model
5,922,-201.892675,unsafe_sonar,-223.795642,0.0,5.4667158126831055,0,best_episode_model
8,1540,-183.886052,unsafe_sonar,-244.909767625,0.0,5.217269420623779,0,best_episode_model
9,1774,-279.389235,unsafe_sonar,-248.74081955555553,0.0,5.00609016418457,0,best_precision_model
14,2657,-177.021986,unsafe_sonar,-235.27492757142858,0.0,5.16071891784668,0,best_episode_model
16,3039,-175.646954,unsafe_sonar,-230.8112070625,0.0,5.109786033630371,0,best_episode_model
17,3616,-177.7652,success,-227.69085370588232,0.058823529411764705,0.18772950768470764,0,best_success_model+best_precision_model
20,4108,-165.293194,unsafe_sonar,-221.2877668,0.05,5.158282279968262,0,best_episode_model
41,9668,-185.334489,unsafe_sonar,-204.67060499999997,0.05,5.445518970489502,0,best_average_model
46,11596,-637.03547,success,-229.45404614999998,0.1,0.23234692215919495,0,best_success_model
48,11881,-163.304385,unsafe_sonar,-228.14870675000003,0.1,5.054724216461182,0,best_episode_model
49,13159,-588.14062,success,-248.10166644999998,0.15,0.2344759702682495,0,best_success_model
52,13554,-148.543894,unsafe_sonar,-244.53650514999998,0.15,5.144121170043945,0,best_episode_model
66,15460,-159.050338,unsafe_sonar,-192.54465995,0.05,5.343014240264893,0,best_average_model
67,15586,-153.366743,unsafe_sonar,-190.1996937,0.05,5.087719917297363,0,best_average_model
68,16037,-128.093833,success,-188.4391661,0.1,0.24932007491588593,0,best_episode_model+best_average_model
69,16156,-149.172608,unsafe_sonar,-166.49076549999998,0.05,5.51607608795166,0,best_average_model
71,16413,-143.343892,unsafe_sonar,-165.60815275,0.05,5.129087924957275,0,best_average_model
77,17748,-154.970876,unsafe_sonar,-165.27303904999997,0.1,5.074975490570068,0,best_average_model
78,17876,-149.47994,unsafe_sonar,-163.4055148,0.1,5.053903102874756,0,best_average_model
79,17996,-159.660135,unsafe_sonar,-161.49580825,0.1,5.131643295288086,0,best_average_model
80,18133,-163.732167,unsafe_sonar,-161.4889574,0.1,5.096318244934082,0,best_average_model
81,18264,-158.348036,unsafe_sonar,-161.07765985,0.1,5.0795183181762695,0,best_average_model
83,18745,-46.05383,success,-156.10988590000002,0.15,0.24309881031513214,0,best_episode_model+best_average_model
84,18893,-188.937732,unsafe_sonar,-155.59270105000002,0.15,5.1171722412109375,0,best_average_model
85,19032,-152.442108,unsafe_sonar,-155.54994130000003,0.15,5.171483039855957,0,best_average_model
88,19770,-100.848513,success,-155.1603847,0.15,0.24117939174175262,0,best_average_model
90,20055,-160.293299,unsafe_sonar,-154.93108945000003,0.15,5.181538105010986,0,best_average_model
94,20873,-76.1672,success,-149.36139495,0.15,0.1452191174030304,0,best_average_model+best_precision_model
95,21254,-56.935514,success,-144.20218039999997,0.2,0.22477735579013824,0,best_average_model+best_success_model
99,22009,-78.755122,success,-140.516373,0.25,0.23356254398822784,0,best_average_model+best_success_model
100,22454,-84.842514,success,-136.57189035000002,0.3,0.21713587641716003,0,best_average_model+best_success_model
101,22883,-69.460288,success,-132.12750295000004,0.35,0.22861990332603455,0,best_average_model+best_success_model
102,23033,-166.427956,unsafe_sonar,-131.89958875000005,0.35,5.064667224884033,0,best_average_model
104,23512,-156.882278,unsafe_sonar,-130.42581525,0.35,5.043371677398682,0,best_average_model
105,23940,-87.563093,success,-127.1818645,0.4,0.22549208998680115,0,best_average_model+best_success_model
106,24391,-98.434844,success,-123.49307304999998,0.45,0.24049022793769836,0,best_average_model+best_success_model
107,25032,-183.291845,success,-124.6746355,0.5,0.22258493304252625,0,best_success_model
109,25575,-75.652135,success,-123.24281624999999,0.5,0.22535237669944763,0,best_average_model
110,26039,-108.059793,success,-120.63114094999999,0.55,0.2434529960155487,0,best_average_model+best_success_model
111,26442,-78.310725,success,-116.63156335,0.6,0.2226160764694214,0,best_average_model+best_success_model
112,26573,-152.922076,unsafe_sonar,-115.65771529999999,0.6,5.131472587585449,0,best_average_model
113,27087,-125.268288,success,-113.59453260000001,0.65,0.20506085455417633,0,best_average_model+best_success_model
120,29185,-51.322923,success,-113.19669615000001,0.65,0.2071615308523178,0,best_average_model
122,30359,-241.199206,success,-118.39871375000003,0.7,0.21486416459083557,0,best_success_model
124,31261,-49.751712,success,-116.82856244999998,0.75,0.23401416838169098,0,best_success_model
125,31624,-43.96194,success,-114.6485048,0.75,0.23343448340892792,0,best_episode_model
126,31994,-34.160537,success,-111.43478945,0.75,0.23739853501319885,0,best_episode_model+best_average_model
127,32461,-74.513992,success,-105.9958968,0.75,0.2443809062242508,0,best_average_model
128,32862,-69.146975,success,-101.44955975,0.8,0.23865368962287903,0,best_average_model+best_success_model
130,33798,-63.12026,success,-100.82464589999998,0.8,0.2363339066505432,0,best_average_model
131,34209,-62.736197,success,-100.0459195,0.8,0.23099593818187714,0,best_average_model
132,34630,-57.080536,success,-95.25384249999998,0.85,0.2408396154642105,0,best_average_model+best_success_model
133,34955,-21.729158,success,-90.07688599999999,0.85,0.24723434448242188,0,best_episode_model+best_average_model
134,35261,-9.894416,success,-82.73310365,0.9,0.24060411751270294,0,best_episode_model+best_average_model+best_success_model
137,35999,16.375637,success,-74.85649674999999,0.9,0.24729791283607483,0,best_episode_model+best_average_model
138,36340,-27.021904,success,-68.65759675,0.95,0.2485964447259903,0,best_average_model+best_success_model
140,36731,5.410133,success,-68.49739194999998,0.9,0.2492648959159851,0,best_average_model
141,37010,6.999525,success,-63.21094619999999,0.9,0.2309986650943756,0,best_average_model
142,37425,-50.927854,success,-53.6973786,0.9,0.23762431740760803,0,best_average_model
143,37690,8.028778,success,-47.077872,0.9,0.2497919201850891,0,best_average_model
144,37972,0.728678,success,-44.553852500000005,0.9,0.24790993332862854,0,best_average_model
145,38239,11.238121,success,-41.79384945000001,0.9,0.24560296535491943,0,best_average_model
147,38636,17.398486,success,-43.10597745,0.85,0.24586962163448334,0,best_episode_model
148,38947,-8.501529,success,-40.07370515000001,0.85,0.22829575836658478,0,best_average_model
153,40017,24.116064,success,-37.8068817,0.75,0.24885712563991547,0,best_episode_model+best_average_model
154,40272,26.789502,success,-35.9726858,0.75,0.1397647112607956,0,best_episode_model+best_average_model+best_precision_model
155,40399,-140.631646,unsafe_sonar,-35.651939199999994,0.75,5.072044849395752,0,best_average_model
156,40644,20.10693,success,-33.54509795,0.75,0.23326507210731506,0,best_average_model
169,43036,28.52811,success,-56.6490626,0.55,0.24325181543827057,0,best_episode_model
174,44157,39.349802,success,-54.0664991,0.55,0.24822303652763367,0,best_episode_model
183,46054,15.710728,success,-28.852522399999998,0.7,0.24515390396118164,0,best_average_model
184,46301,22.462013,success,-19.643093449999995,0.75,0.24518117308616638,0,best_average_model
185,46541,28.877637,success,-11.107129049999994,0.8,0.23500460386276245,0,best_average_model
186,46772,28.738693,success,-10.480499499999997,0.8,0.23926551640033722,0,best_average_model
195,48676,32.809734,success,-7.736719350000003,0.8,0.24308517575263977,0,best_average_model
196,48900,39.077769,success,1.21411305,0.85,0.21046705543994904,0,best_average_model
197,49123,36.544106,success,10.06527825,0.9,0.23987822234630585,0,best_average_model
198,49359,29.564283,success,10.52034735,0.9,0.2426813691854477,0,best_average_model
199,49587,35.037294,success,11.683858149999999,0.9,0.2355242818593979,0,best_average_model
207,51314,31.537604,success,15.35480825,0.9,0.23963576555252075,0,best_average_model
208,51434,-141.011637,unsafe_sonar,15.516945399999994,0.9,5.054451942443848,0,best_average_model
262,62897,15.3496,success,-71.29847744999998,0.5,0.050765909254550934,0,best_precision_model
