#{"t_start": 1780059197.3352416, "env_id": "None"}
r,l,t
-404.412696,800,5.075307
-426.551169,800,9.648528
108.080566,460,12.896367
124.619675,487,16.334335
209.684318,168,19.583358
165.08497,359,23.042976
124.811233,513,26.866889
159.132289,445,29.791289
-263.255259,800,34.188201
162.24892,387,37.604563
203.877238,397,40.839607
-378.912168,800,45.092372
235.580369,242,48.747285
215.41186,405,51.801182
-419.516623,800,56.474016
232.686218,334,59.399965
244.755608,372,62.447575
257.733258,259,65.566133
245.350625,379,68.799192
246.342622,327,72.276255
204.236476,504,75.655383
246.312287,217,78.934692
233.754939,390,82.167418
258.723129,211,85.389015
230.926248,379,88.629339
187.839959,400,92.192582
250.63363,253,94.940673
235.845573,391,98.276774
275.530062,225,100.952986
237.87914,432,104.468979
231.418374,378,107.933991
229.687739,380,111.113528
252.16556,222,114.391208
234.228979,416,117.661402
107.542686,517,121.796513
248.785587,383,124.427405
249.355487,229,127.526083
254.499233,212,130.910928
242.038572,201,134.153324
244.659993,365,137.274214
261.120261,255,140.581933
259.251071,349,143.834828
267.885872,201,147.074858
258.417223,365,150.14776
248.962526,317,153.335949
272.172864,201,156.635257
251.399449,277,160.204397
272.595451,236,163.911206
252.074868,295,167.478789
267.714762,213,170.979489
244.988356,317,174.689099
238.091746,394,178.492357
242.708757,313,181.993721
259.918763,320,185.152896
268.8837,270,188.709553
246.75762,362,191.500387
268.493454,199,194.771755
248.132821,359,197.502421
-470.015982,800,202.265216
246.847187,247,205.070602
242.760057,349,208.280038
258.561277,197,211.638331
248.561705,324,214.34288
251.770424,193,217.593527
244.906409,359,220.973411
273.60556,116,223.794689
260.224915,280,227.228739
268.453679,234,230.877476
250.02685,300,233.67726
267.726011,217,237.084607
252.051335,325,240.277382
260.525768,179,243.565339
242.370982,359,246.892161
239.955013,233,249.759899
238.170097,341,252.946126
236.916911,260,255.885026
244.540112,351,259.658252
238.526672,370,262.97938
-869.830226,800,267.430321
-646.402217,800,272.048795
258.466492,199,275.269745
183.918508,375,278.555463
244.235674,198,282.490483
244.014999,322,286.171245
240.465347,339,288.888937
255.55628,186,292.224288
244.773175,345,295.414422
249.101508,198,298.319897
244.382549,281,301.619891
265.676773,197,304.844676
248.918345,179,307.708525
252.631167,321,311.020045
263.820763,368,314.216627
260.868649,165,317.419778
253.217705,337,320.682811
268.04919,173,323.832212
248.672423,322,327.071185
262.591453,193,330.372917
247.259205,318,333.678922
282.847931,188,337.447644
254.228932,329,340.450867
254.419236,183,343.771717
251.743098,314,347.080543
258.645046,185,350.072
241.27297,341,353.308714
254.320962,189,356.649248
233.291601,357,359.546545
259.8361,155,362.790086
257.743002,337,366.011453
268.814426,269,369.69564
252.875378,332,372.458036
268.714851,211,375.746562
253.131393,334,378.60957
268.286913,185,382.023486
247.539793,337,384.872571
284.437819,169,388.125168
267.521803,344,391.604359
267.059516,175,394.77911
252.097718,360,398.290199
274.339764,269,401.708694
243.283947,244,404.989184
276.542924,285,408.144653
280.972552,233,411.680667
269.530229,324,414.476455
279.381224,183,417.744882
260.12145,343,421.132426
274.628465,203,424.122444
267.604604,336,427.26776
288.586116,142,431.894794
278.78762,235,435.671754
273.994304,274,440.081104
272.787098,249,443.310665
280.254797,239,447.10245
294.656107,144,450.782861
277.142838,235,454.557875
290.239645,159,458.970811
276.458356,313,462.810862
281.831878,197,466.856028
279.101491,225,470.791254
-618.7107,800,476.767193
278.337575,278,480.726037
274.382137,251,484.636942
281.711715,272,488.849318
281.369226,219,493.565768
263.968649,123,496.915414
279.077079,245,500.670132
-653.81328,800,506.643842
276.377925,239,510.162966
292.399941,151,514.649651
276.965986,272,518.85226
-647.396062,800,525.216539
277.431939,241,528.828078
281.174561,207,532.994549
271.501552,234,536.9442
273.461877,237,540.270003
284.302723,176,544.734778
275.759867,161,548.015364
278.296911,208,551.992152
