episode,reward,moving_average_reward,moving_average_window
1,-482.943625,-482.943625,17
2,-380.931426,-431.9375255,17
3,-721.35542,-528.4101569999999,17
4,-681.462363,-566.6732085,17
5,-621.660762,-577.6707192,17
6,-567.929109,-576.0471175,17
7,-436.529094,-556.1159712857143,17
8,-264.845507,-519.70716325,17
9,-403.088949,-506.7495838888889,17
10,-332.978211,-489.3724466,17
11,-251.244984,-467.72449545454543,17
12,-280.784624,-452.1461728333333,17
13,-582.131446,-462.14504,17
14,-144.0939,-439.4271014285714,17
15,-275.16506,-428.47629866666665,17
16,-121.975913,-409.3200245625,17
17,-156.446636,-394.44511935294116,17
18,-153.476402,-375.0646944705882,17
19,-171.986817,-362.77383511764714,17
20,-341.60365,-340.4354957058824,17
21,-129.658767,-307.9764606470588,17
22,-410.316351,-295.54443647058827,17
23,-161.293574,-271.6246991176471,17
24,-359.808546,-267.11172570588235,17
25,-249.333513,-266.1992554705882,17
26,-271.939812,-258.48460035294113,17
27,-266.233195,-254.55842294117647,17
28,-167.115193,-249.6096117058823,17
29,-326.169819,-252.27932905882352,17
30,-259.218591,-233.28445523529413,17
31,-285.453344,-241.5997166470588,17
32,-413.330237,-249.72707999999997,17
33,-255.189775,-257.5631895294117,17
34,-195.973378,-259.88829200000004,17
35,-134.556604,-258.77536270588234,17
36,-470.089685,-276.3108255294118,17
37,-223.191051,-269.3453785294118,17
38,-446.470034,-287.9813354117647,17
39,-197.992372,-275.49168958823526,17
40,-762.141354,-310.83567664705885,17
41,-222.870676,-302.7805078235294,17
42,-45.716807,-290.8030545294118,17
43,-129.380797,-282.417230117647,17
44,-279.013704,-283.1690247647059,17
45,-410.281921,-297.4729499411764,17
46,-65.715326,-282.15209741176466,17
47,-355.870771,-287.8375197647059,17
48,-198.473261,-282.7210442941176,17
49,-198.86569,-270.1054827058823,17
50,-381.96967,-277.5631235882352,17
51,-137.244097,-274.10846,17
52,-349.401265,-286.7463812352941,17
53,-290.407772,-276.17685694117654,17
54,-163.493358,-272.6652279411765,17
55,-97.430838,-252.13351052941175,17
56,-335.776878,-260.2384814705882,17
57,-144.100035,-223.8831097647059,17
58,-69.664709,-214.87099405882356,17
59,-152.5636,-221.15609952941176,17
60,-153.951427,-222.60143070588242,17
61,-358.005105,-227.24798370588238,17
62,-204.300199,-215.13141182352942,17
63,-332.762883,-230.8400916470588,17
64,-131.496322,-217.6415946470588,17
65,44.794772,-203.33171035294114,17
66,-92.087969,-197.05066794117644,17
67,-29.259434,-176.30300699999995,17
68,-249.809003,-182.92447205882348,17
69,-275.270056,-178.56381270588233,17
70,-192.837871,-172.82440676470586,17
71,-184.784883,-174.0768494117647,17
72,-341.358709,-188.42554770588234,17
73,297.661451,-151.16446952941178,17
74,-342.056455,-162.8089648235294,17
75,-126.626905,-166.15968223529416,17
76,-225.135157,-170.42859735294118,17
77,-360.066547,-182.5530161764706,17
78,313.827291,-143.03346347058823,17
79,-236.458112,-144.92510541176466,17
80,-95.816537,-130.9870850588235,17
81,-243.982281,-137.6039061764706,17
82,-120.14925,-147.30649570588236,17
83,-196.790298,-153.4654562352941,17
84,-116.932497,-158.62269523529412,17
85,-286.67726,-160.7914162352941,17
86,-122.472773,-151.80334076470587,17
87,-65.656457,-144.32208111764706,17
