episode,timesteps,reward,recent_average_reward,saved
1,1,-50.55865,-50.55865,best_episode_model+best_average_model
5,2813,210.332972,-156.31754619999998,best_episode_model
18,12044,215.168596,-215.1599146111111,best_episode_model
22,14652,253.387767,-159.88357369999994,best_episode_model
36,25148,-188.704867,-48.48453970000001,best_average_model
62,43958,297.682924,-41.39585059999998,best_episode_model+best_average_model
63,44466,199.159243,-14.5982893,best_average_model
64,45060,214.370749,3.965675400000012,best_average_model
65,45721,186.591488,21.477197549999993,best_average_model
66,46320,237.469718,45.13606945,best_average_model
67,47030,214.37916,45.5491489,best_average_model
68,47624,188.272348,63.10913425,best_average_model
69,48219,204.041395,86.67254325,best_average_model
70,48809,205.881686,105.38675085,best_average_model
71,49489,226.817932,125.95223005,best_average_model
