episode,timesteps,reward,status,recent_average_reward,recent_success_rate,saved
1,800,-404.412696,timeout,-404.412696,0.0,best_episode_model+best_average_model
3,2060,108.080566,success,-240.96109966666666,0.3333333333333333,best_episode_model+best_average_model+best_success_model
4,2547,124.619675,success,-149.56590599999998,0.5,best_episode_model+best_average_model+best_success_model
5,2715,209.684318,success,-77.71586119999999,0.6,best_episode_model+best_average_model+best_success_model
6,3074,165.08497,success,-37.249055999999996,0.6666666666666666,best_average_model+best_success_model
7,3587,124.811233,success,-14.09758614285714,0.7142857142857143,best_average_model+best_success_model
8,4032,159.132289,success,7.5561482500000015,0.75,best_average_model+best_success_model
11,5616,203.877238,success,14.847280454545453,0.7272727272727273,best_average_model
13,6658,235.580369,success,1.5375604615384584,0.6923076923076923,best_episode_model
14,7063,215.41186,success,16.81429614285714,0.7142857142857143,best_average_model
17,8569,244.755608,success,17.254432294117645,0.7058823529411765,best_episode_model+best_average_model
18,8828,257.733258,success,30.61436705555555,0.7222222222222222,best_episode_model+best_average_model
19,9207,245.350625,success,41.916275368421054,0.7368421052631579,best_average_model
20,9534,246.342622,success,52.137592700000006,0.75,best_average_model+best_success_model
21,10038,204.236476,success,82.5700513,0.8,best_average_model+best_success_model
22,10255,246.312287,success,116.2132241,0.85,best_average_model+best_success_model
23,10645,233.754939,success,122.49694275000002,0.85,best_average_model+best_success_model
24,10856,258.723129,success,129.20211545,0.85,best_episode_model+best_average_model+best_success_model
25,11235,230.926248,success,130.26421195000003,0.85,best_average_model+best_success_model
26,11635,187.839959,success,131.40196139999998,0.85,best_average_model+best_success_model
27,11888,250.63363,success,137.69308124999995,0.85,best_average_model+best_success_model
28,12279,235.845573,success,141.52874544999997,0.85,best_average_model+best_success_model
29,12504,275.530062,success,168.46801149999996,0.9,best_episode_model+best_average_model+best_success_model
30,12936,237.87914,success,172.24952249999996,0.9,best_average_model+best_success_model
31,13314,231.418374,success,173.62657929999995,0.9,best_average_model+best_success_model
32,13694,229.687739,success,204.05657464999996,0.95,best_average_model+best_success_model
33,13916,252.16556,success,204.88583419999995,0.95,best_average_model+best_success_model
34,14332,234.228979,success,205.82669014999996,0.95,best_average_model+best_success_model
35,14849,107.542686,success,232.1796556,1.0,best_average_model+best_success_model
36,15232,248.785587,success,232.98462404999995,1.0,best_average_model+best_success_model
37,15461,249.355487,success,233.21461799999997,1.0,best_average_model+best_success_model
41,16494,261.120261,success,235.6473719,1.0,best_average_model+best_success_model
42,16843,259.251071,success,236.29431109999996,1.0,best_average_model+best_success_model
43,17044,267.885872,success,238.00085774999994,1.0,best_average_model+best_success_model
45,17726,248.962526,success,238.88737635,1.0,best_average_model+best_success_model
46,17927,272.172864,success,243.10402159999998,1.0,best_average_model+best_success_model
47,18204,251.399449,success,243.14231254999996,1.0,best_average_model+best_success_model
48,18440,272.595451,success,244.97980645,1.0,best_average_model+best_success_model
50,18948,267.714762,success,245.29882784999995,1.0,best_average_model+best_success_model
51,19265,244.988356,success,245.97732694999996,1.0,best_average_model+best_success_model
52,19659,238.091746,success,246.39752729999995,1.0,best_average_model+best_success_model
54,20292,259.918763,success,247.20917635,1.0,best_average_model+best_success_model
55,20562,268.8837,success,255.27622705000005,1.0,best_average_model+best_success_model
57,21123,268.493454,success,256.13172705000005,1.0,best_average_model+best_success_model
100,34320,282.847931,success,250.97340680000008,1.0,best_episode_model
110,36979,268.814426,success,256.1596102,1.0,best_average_model+best_success_model
111,37311,252.875378,success,256.35746184999994,1.0,best_average_model+best_success_model
112,37522,268.714851,success,257.16164604999994,1.0,best_average_model+best_success_model
116,38547,284.437819,success,257.53362659999993,1.0,best_episode_model+best_average_model+best_success_model
117,38891,267.521803,success,258.47609559999995,1.0,best_average_model+best_success_model
118,39066,267.059516,success,258.69949875000003,1.0,best_average_model+best_success_model
119,39426,252.097718,success,258.9414244,1.0,best_average_model+best_success_model
122,40224,276.542924,success,259.07495120000004,1.0,best_average_model+best_success_model
123,40457,280.972552,success,260.5364239,1.0,best_average_model+best_success_model
124,40781,269.530229,success,261.08068305,1.0,best_average_model+best_success_model
125,40964,279.381224,success,262.98609575,1.0,best_average_model+best_success_model
126,41307,260.12145,success,263.27612014999994,1.0,best_average_model+best_success_model
127,41510,274.628465,success,265.34296334999993,1.0,best_average_model+best_success_model
128,41846,267.604604,success,265.7313885499999,1.0,best_average_model+best_success_model
129,41988,288.586116,success,267.27354424999993,1.0,best_episode_model+best_average_model+best_success_model
130,42223,278.78762,success,267.77220394999995,1.0,best_average_model+best_success_model
131,42497,273.994304,success,268.82815025,1.0,best_average_model+best_success_model
132,42746,272.787098,success,269.03176260000004,1.0,best_average_model+best_success_model
133,42985,280.254797,success,270.3879328,1.0,best_average_model+best_success_model
134,43129,294.656107,success,271.70639249999994,1.0,best_episode_model+best_average_model+best_success_model
135,43364,277.142838,success,273.18654475,1.0,best_average_model+best_success_model
136,43523,290.239645,success,273.47663604999997,1.0,best_average_model+best_success_model
137,43836,276.458356,success,273.92346369999996,1.0,best_average_model+best_success_model
138,44033,281.831878,success,274.6620818,1.0,best_average_model+best_success_model
139,44258,279.101491,success,276.01227045,1.0,best_average_model+best_success_model
