episode,timesteps,reward,status,recent_average_reward,recent_success_rate,final_distance_to_target,abs_final_dx,abs_final_dz,precision_success,saved
1,800,-701.696344,timeout,-701.696344,0.0,0.9222403764724731,0.8928650915622711,0.08214855194091797,0,best_episode_model+best_average_model+best_precision_model
2,1600,-850.526032,timeout,-776.111188,0.0,0.7311961054801941,0.677907258272171,0.09483760595321655,0,best_precision_model
4,3200,-927.190829,timeout,-835.423134,0.0,0.6417843699455261,0.3995633125305176,0.004513859748840332,0,best_precision_model
5,4000,-887.943494,timeout,-845.927206,0.0,0.5902677178382874,0.5453430116176605,0.21850186586380005,0,best_precision_model
6,4800,-563.316302,timeout,-798.8253886666666,0.0,0.4811496138572693,0.4539029002189636,0.07970643043518066,0,best_episode_model+best_precision_model
9,7200,-425.267863,timeout,-804.1264578888889,0.0,0.30282270908355713,0.2793866991996765,0.03592360019683838,0,best_episode_model+best_precision_model
22,17553,62.753004,success,-702.8419836499999,0.05,0.09880346804857254,0.07763820886611938,0.04889702796936035,1,best_episode_model+best_success_model+best_precision_model
23,18353,-504.472411,timeout,-684.9516376499998,0.05,0.32835105061531067,0.2073613405227661,0.23711812496185303,0,best_average_model+best_success_model
25,19953,-660.454387,timeout,-676.46831745,0.05,0.531335711479187,0.14068591594696045,0.26990556716918945,0,best_average_model+best_success_model
26,20753,-357.98725,timeout,-666.20186485,0.05,0.1536770761013031,0.0017565488815307617,0.13022422790527344,0,best_average_model+best_success_model
27,21553,-487.070987,timeout,-644.212738,0.05,0.40107834339141846,0.06006622314453125,0.395013689994812,0,best_average_model+best_success_model
28,22353,-323.107843,timeout,-605.76491005,0.05,0.2108023762702942,0.1150164008140564,0.13138169050216675,0,best_average_model+best_success_model
30,23953,-389.870201,timeout,-597.2884210999999,0.05,0.27029094099998474,0.1424577832221985,0.1796809434890747,0,best_average_model+best_success_model
31,24753,-632.740215,timeout,-586.3449140499999,0.05,0.5330497622489929,0.2906690835952759,0.4430539309978485,0,best_average_model+best_success_model
32,25553,-351.720269,timeout,-569.4246809499998,0.05,0.3591402769088745,0.09103798866271973,0.0015045404434204102,0,best_average_model+best_success_model
33,26353,-617.880101,timeout,-548.6806646,0.05,0.4454600214958191,0.1306546926498413,0.08758974075317383,0,best_average_model+best_success_model
34,27153,-540.448783,timeout,-536.41548055,0.05,0.5208202004432678,0.17381501197814941,0.30182936787605286,0,best_average_model+best_success_model
35,27953,-171.257125,timeout,-497.32569655,0.05,0.14174607396125793,0.1222161054611206,0.07035297155380249,0,best_average_model+best_success_model
36,28753,-568.729019,timeout,-486.14211075000003,0.05,0.6087641716003418,0.18811047077178955,0.22411155700683594,0,best_average_model+best_success_model
37,29553,-256.220086,timeout,-474.8459307,0.05,0.19501115381717682,0.06882244348526001,0.15439379215240479,0,best_average_model+best_success_model
39,31153,-284.309021,timeout,-470.7503891499999,0.05,0.3013572096824646,0.13574934005737305,0.06393855810165405,0,best_average_model+best_success_model
40,31766,95.233961,success,-435.52159624999996,0.1,0.0943857952952385,0.08001691102981567,0.04979485273361206,1,best_episode_model+best_average_model+best_success_model+best_precision_model
41,32566,-360.495808,timeout,-427.80005795,0.1,0.34668123722076416,0.09677541255950928,0.10978227853775024,0,best_average_model+best_success_model
45,35766,-448.573611,timeout,-426.15719975000013,0.05,0.5008530616760254,0.2512972354888916,0.15651321411132812,0,best_average_model
53,42026,127.374949,success,-448.36453785000003,0.1,0.09073926508426666,0.0809360146522522,0.011639297008514404,1,best_episode_model+best_precision_model
68,54026,-273.114185,timeout,-423.19982345000005,0.05,0.15556639432907104,0.08599263429641724,0.1270936131477356,0,best_average_model
69,54826,-164.867966,timeout,-400.1644754000001,0.05,0.4314139485359192,0.2043924331665039,0.18984109163284302,0,best_average_model
