episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,216,270.300539,success,270.300539,1.0,0.14933565258979797,2,best_episode_model+best_average_model+best_success_model+best_precision_model
2,565,245.126635,success,257.713587,1.0,0.14178749918937683,2,best_precision_model
3,724,296.545646,success,270.65760666666665,1.0,0.14835724234580994,2,best_episode_model+best_average_model
4,870,304.178883,success,279.03792575,1.0,0.14137279987335205,2,best_episode_model+best_average_model+best_precision_model
5,1007,308.361502,success,284.902641,1.0,0.14859826862812042,2,best_episode_model+best_average_model
6,1229,275.195375,success,283.28476333333333,1.0,0.14107021689414978,2,best_precision_model
7,1403,311.403311,success,287.3016987142857,1.0,0.14291831851005554,2,best_episode_model+best_average_model
8,1586,312.429878,success,290.442721125,1.0,0.13086317479610443,2,best_episode_model+best_average_model+best_precision_model
12,2306,311.100942,success,288.2848951666667,1.0,0.11068115383386612,2,best_precision_model
13,2397,321.889761,success,290.86988484615387,1.0,0.12373161315917969,2,best_episode_model+best_average_model
24,4778,325.454167,success,287.81198639999997,1.0,0.0998900830745697,2,best_episode_model+best_precision_model
31,6121,321.979499,success,291.1314817,1.0,0.13028015196323395,2,best_average_model
33,6393,324.836152,success,291.25266799999997,1.0,0.14911296963691711,2,best_average_model
34,6469,318.524251,success,294.44104885,1.0,0.13362130522727966,2,best_average_model
35,6593,316.218793,success,297.82079895,1.0,0.1445300579071045,2,best_average_model
37,6971,274.821451,success,298.83269014999996,1.0,0.14667770266532898,2,best_average_model
39,7289,311.0262,success,301.18203645,1.0,0.12880823016166687,2,best_average_model
40,7465,285.619353,success,303.4301015,1.0,0.1290391981601715,2,best_average_model
41,7647,298.842193,success,304.36145655,1.0,0.14649789035320282,2,best_average_model
55,9729,304.237506,success,300.73921800000005,1.0,0.06573891639709473,2,best_precision_model
75,14139,326.382397,success,273.3675605,0.95,0.12802328169345856,2,best_episode_model
119,20703,315.200359,success,305.27133190000006,1.0,0.12904497981071472,2,best_average_model
120,20834,298.826194,success,305.42110965,1.0,0.13733987510204315,2,best_average_model
121,20920,323.027493,success,306.21151685,1.0,0.13822118937969208,2,best_average_model
122,21035,305.305418,success,306.3835951,1.0,0.13162671029567719,2,best_average_model
123,21154,327.928975,success,306.87039545,1.0,0.1296212524175644,2,best_episode_model+best_average_model
124,21281,320.477888,success,309.18054425,1.0,0.1431112438440323,2,best_average_model
125,21416,327.657445,success,310.04729510000004,1.0,0.11239252239465714,2,best_average_model
127,21694,315.299028,success,312.75638635,1.0,0.12327481061220169,2,best_average_model
128,21841,323.235541,success,313.33333875000005,1.0,0.13197582960128784,2,best_average_model
130,22118,304.353311,success,313.64000569999996,1.0,0.1435047835111618,2,best_average_model
131,22279,313.0179,success,313.8713716,1.0,0.11756999790668488,2,best_average_model
132,22413,326.010177,success,313.95818625000004,1.0,0.1416599601507187,2,best_average_model
151,25100,328.827804,success,306.497454,1.0,0.13753770291805267,2,best_episode_model
184,30278,332.165409,success,299.63816305,1.0,0.14731845259666443,2,best_episode_model
