episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,998,-933.510181,out_of_bounds,-933.510181,0.0,2.0229246616363525,0,best_episode_model+best_average_model+best_success_model+best_precision_model
2,1109,-442.300895,unsafe_sonar,-687.905538,0.0,5.122096538543701,0,best_episode_model+best_average_model
3,1212,-426.856748,unsafe_sonar,-600.8892746666667,0.0,5.563645362854004,0,best_episode_model+best_average_model
4,1324,-422.318743,unsafe_sonar,-556.24664175,0.0,5.098182201385498,0,best_episode_model+best_average_model
5,1444,-458.954606,unsafe_sonar,-536.7882346,0.0,5.033918380737305,0,best_average_model
6,1551,-403.78192,unsafe_sonar,-514.6205155,0.0,5.1112189292907715,0,best_episode_model+best_average_model
7,1664,-418.107053,unsafe_sonar,-500.83287800000005,0.0,5.137967109680176,0,best_average_model
8,1777,-435.372215,unsafe_sonar,-492.650295125,0.0,5.14213752746582,0,best_average_model
9,1895,-463.241581,unsafe_sonar,-489.3826602222222,0.0,5.103610992431641,0,best_average_model
10,2006,-411.503702,unsafe_sonar,-481.5947644,0.0,5.136616230010986,0,best_average_model
11,2050,-260.970639,crash,-461.5380257272727,0.0,8.321109771728516,0,best_episode_model+best_average_model
12,2165,-433.500652,unsafe_sonar,-459.2015779166666,0.0,5.097916603088379,0,best_average_model
13,2278,-425.872196,unsafe_sonar,-456.6377793076923,0.0,5.098742961883545,0,best_average_model
14,2392,-421.942474,unsafe_sonar,-454.15954321428575,0.0,5.0946946144104,0,best_average_model
15,2506,-421.34859,unsafe_sonar,-451.97214633333334,0.0,5.142158031463623,0,best_average_model
16,2614,-402.129856,unsafe_sonar,-448.8570031875,0.0,5.098233699798584,0,best_average_model
17,2732,-448.842768,unsafe_sonar,-448.85616582352947,0.0,5.079840660095215,0,best_average_model
18,2843,-403.375301,unsafe_sonar,-446.32945111111115,0.0,5.1356611251831055,0,best_average_model
20,3073,-421.172588,unsafe_sonar,-446.26424795,0.0,4.998109340667725,0,best_average_model
21,3187,-425.081649,unsafe_sonar,-420.8428213500001,0.0,5.116270542144775,0,best_average_model
22,3303,-428.897954,unsafe_sonar,-420.1726743000001,0.0,5.1089277267456055,0,best_average_model
23,3416,-408.079252,unsafe_sonar,-419.2337995000001,0.0,5.093544006347656,0,best_average_model
41,6679,-1080.210534,timeout,-467.52972235,0.0,1.894559383392334,0,best_precision_model
