episode,reward,moving_average_reward,moving_average_window
1,270.300539,270.300539,20
2,245.126635,257.713587,20
3,296.545646,270.65760666666665,20
4,304.178883,279.03792575,20
5,308.361502,284.902641,20
6,275.195375,283.28476333333333,20
7,311.403311,287.3016987142857,20
8,312.429878,290.442721125,20
9,222.367004,282.8787525555556,20
10,301.229151,284.7137924,20
11,301.179876,286.2107090909091,20
12,311.100942,288.2848951666667,20
13,321.889761,290.86988484615387,20
14,254.756634,288.2903669285714,20
15,248.623791,285.64592853333335,20
16,310.133522,287.17640312500004,20
17,246.331158,284.77374164705884,20
18,314.042472,286.39978222222226,20
19,247.781305,284.36723078947375,20
20,240.658052,282.18177185,20
21,280.215092,282.6774995,20
22,316.482925,286.24531400000006,20
23,306.60381,286.7482222,20
24,325.454167,287.81198639999997,20
25,314.270679,288.10744525,20
26,276.208692,288.1581111,20
27,302.811008,287.72849594999997,20
28,315.274021,287.87070309999996,20
29,275.600563,290.53238105,20
30,292.411541,290.09150055,20
31,321.979499,291.1314817,20
32,310.578277,291.10534844999995,20
33,324.836152,291.25266799999997,20
34,318.524251,294.44104885,20
35,316.218793,297.82079895,20
36,301.881053,297.40817549999997,20
37,274.821451,298.83269014999996,20
38,297.784503,298.0197916999999,20
39,311.0262,301.18203645,20
40,285.619353,303.4301015,20
41,298.842193,304.36145655,20
42,298.170098,303.44581519999997,20
43,304.998588,303.3655541,20
44,308.448045,302.51524800000004,20
45,290.690086,301.33621834999997,20
46,304.046481,302.72810780000003,20
47,289.280511,302.05158295000007,20
48,306.068127,301.59128825000005,20
49,292.859359,302.4542280500001,20
50,312.720328,303.46966740000005,20
51,304.608024,302.60109365000005,20
52,315.172781,302.83081885000007,20
53,308.714626,302.02474255000004,20
54,304.795047,301.33828235,20
55,304.237506,300.73921800000005,20
56,311.789054,301.23461805,20
57,273.412031,301.16414705,20
58,291.003912,300.8251175,20
59,303.1523,300.43142249999994,20
60,301.837762,301.24234295,20
61,310.036917,301.80207915,20
62,301.287413,301.9579449,20
63,258.693983,299.64271465,20
64,265.908096,297.51571720000004,20
65,278.211148,296.8917703000001,20
66,321.369152,297.75790385000005,20
67,-76.118684,279.48794410000005,20
68,295.631537,278.9661146,20
69,264.332686,277.53978095,20
70,291.944293,276.5009792000001,20
71,305.760924,276.55862420000005,20
72,301.402883,275.87012930000003,20
73,296.256392,275.2472176,20
74,245.057014,272.26031595000006,20
75,326.382397,273.3675605,20
76,306.324332,273.09432440000006,20
77,302.883227,274.5678842000001,20
78,308.019811,275.41867915000006,20
79,204.976688,270.50989855000006,20
80,302.804016,270.55821125,20
81,314.289855,270.77085815,20
82,304.183447,270.91565985,20
83,313.935746,273.677748,20
84,306.414756,275.703081,20
85,292.501868,276.417617,20
86,307.314167,275.71486775000005,20
87,302.549337,294.6482688000001,20
88,318.577453,295.79556460000003,20
89,290.195833,297.08872195000004,20
90,308.642011,297.92360785,20
91,296.192064,297.44516484999997,20
92,284.76618,296.61332969999995,20
93,288.031963,296.2021082499999,20
94,313.196143,299.6090647,20
95,293.112459,297.9455678,20
96,320.62477,298.6605897,20
97,302.200065,298.6264316,20
98,307.318921,298.5913871,20
99,286.60747,302.6729262,20
100,295.830639,302.32425735000004,20
101,307.219349,301.97073205,20
102,301.863853,301.85475235,20
103,318.192968,302.06761344999995,20
104,274.274912,300.46062125,20
105,310.322428,301.35164925,20
106,305.080595,301.23997065000003,20
107,252.297785,298.72739305000005,20
108,311.696493,298.38334505,20
109,312.617842,299.50444550000003,20
110,294.855961,298.81514300000003,20
111,308.390582,299.4250689,20
112,324.273884,301.4004541,20
113,300.378364,302.01777415000004,20
114,319.659828,302.3409584,20
115,297.149464,302.54280865,20
116,311.594681,302.09130419999997,20
117,325.56437,303.25951945,20
118,318.962281,303.84168745,20
119,315.200359,305.27133190000006,20
120,298.826194,305.42110965,20
121,323.027493,306.21151685,20
122,305.305418,306.3835951,20
123,327.928975,306.87039545,20
124,320.477888,309.18054425,20
125,327.657445,310.04729510000004,20
126,296.261177,309.60632419999996,20
127,315.299028,312.75638635,20
128,323.235541,313.33333875000005,20
129,309.253831,313.16513820000006,20
130,304.353311,313.64000569999996,20
131,313.0179,313.8713716,20
132,326.010177,313.95818625000004,20
133,264.262726,312.15240435,20
134,321.209472,312.2298865499999,20
135,295.198298,312.1323282499999,20
136,311.72345,312.1387667,20
137,260.215065,308.87130145000003,20
138,295.787965,307.71258565,20
139,315.871705,307.74615295,20
140,315.009085,308.55529749999994,20
141,313.39133,308.07348935,20
142,313.66116,308.49127645,20
143,308.249252,307.5072902999999,20
144,311.98425,307.0826083999999,20
145,307.409691,306.0702207,20
146,302.713514,306.39283754999997,20
147,293.079608,305.28186655,20
148,307.162726,304.4782258,20
149,321.496213,305.09034490000005,20
150,316.685589,305.7069588,20
151,328.827804,306.497454,20
152,324.73321,306.43360565,20
153,311.558643,308.7984015,20
154,310.946103,308.2852330500001,20
155,310.137406,309.03218845000004,20
156,318.010247,309.34652830000005,20
157,311.223465,311.8969483,20
158,283.860426,311.30057135000004,20
159,322.710754,311.64252380000005,20
160,292.864481,310.5352936,20
161,320.446788,310.8880665,20
162,284.26949,309.418483,20
163,310.504249,309.53123285,20
164,303.023842,309.0832124499999,20
165,296.4472,308.5350878999999,20
166,301.951392,308.49698179999996,20
167,306.505777,309.16829025,20
168,197.306748,303.67549135,20
169,303.034791,302.75242025,20
170,305.205372,302.1784094000001,20
171,319.59181,301.71660970000005,20
172,309.006689,300.93028365000004,20
