episode,reward,moving_average_reward,moving_average_window
1,-507.904451,-507.904451,20
2,-443.357908,-475.63117950000003,20
3,-429.73474,-460.33236633333337,20
4,-782.724653,-540.9304380000001,20
5,-422.513322,-517.2470148,20
6,-498.941877,-514.1961585,20
7,-420.321095,-500.78543514285724,20
8,-455.588821,-495.13585837500005,20
9,-453.022459,-490.4565917777779,20
10,-535.275729,-494.9385055000001,20
11,-453.576742,-491.17834518181826,20
12,-483.963911,-490.57714233333337,20
13,-516.041189,-492.5359151538462,20
14,-463.581196,-490.46772092857145,20
15,-481.88276,-489.89539020000007,20
16,-521.866442,-491.8935809375,20
17,-430.466259,-488.2802090588236,20
18,-458.686432,-486.6361103333334,20
19,-420.688709,-483.16519447368427,20
20,-471.766521,-482.59526080000006,20
21,-506.223046,-482.5111905499999,20
22,-422.916067,-481.4890985,20
23,-431.30287,-481.567505,20
24,-519.274136,-468.39497915000004,20
25,-494.336846,-471.9861553500001,20
26,-468.032208,-470.44067190000015,20
27,-503.56019,-474.6026266500001,20
28,-483.411776,-475.9937744000002,20
29,-774.422163,-492.06375959999997,20
30,-470.649015,-488.83242390000004,20
31,-436.334628,-487.9703182,20
32,-458.219711,-486.6831082,20
33,-467.24464,-484.24328075000005,20
34,-731.763696,-497.65240575000007,20
35,-470.394546,-497.07799505,20
36,-490.992314,-495.5342886499999,20
37,-453.185588,-496.67025509999996,20
38,-442.386938,-495.8552803999999,20
39,-468.083127,-498.2250013,20
40,-697.516547,-509.5125025999999,20
41,-466.038325,-507.5032665499999,20
42,-453.283699,-509.02164814999986,20
43,-454.362456,-510.17462744999995,20
44,-463.397405,-507.3807909,20
45,-464.704344,-505.8991658,20
46,-446.344894,-504.81480009999996,20
47,-471.198467,-503.19671394999995,20
48,-467.732329,-502.4127416,20
49,-486.734073,-488.02833709999993,20
50,-468.313529,-487.91156279999996,20
51,-462.679583,-489.2288105499999,20
52,-465.734063,-489.60452814999996,20
53,-456.486646,-489.0666284499998,20
54,-482.73979,-476.6154331499999,20
55,-477.291396,-476.96027564999997,20
56,-413.211947,-473.07125730000007,20
57,-436.924038,-472.25817979999994,20
58,-460.658156,-473.17174069999993,20
59,-441.520808,-471.8436247499999,20
60,-579.503743,-465.9429845499999,20
61,-465.042818,-465.8932092,20
62,-469.044138,-466.68123115,20
63,-444.985644,-466.21239055000007,20
64,-466.355319,-466.36028625,20
65,-409.727552,-463.61144665,20
66,-407.882064,-461.68830515,20
67,-452.378652,-460.74731440000005,20
68,-465.987383,-460.6600671,20
69,-472.776613,-459.96219410000015,20
70,-477.485471,-460.42079120000005,20
71,-461.929755,-460.3832998000001,20
72,-399.559907,-457.0745920000001,20
73,-458.461873,-457.17335335000007,20
74,-575.771649,-461.8249463000001,20
75,-421.50162,-459.03545749999995,20
76,-411.147959,-458.93225809999996,20
77,-405.08931,-457.34052169999995,20
78,-413.01608,-454.9584179,20
79,-383.308517,-452.04780335,20
80,-422.912987,-444.21826555000007,20
81,-408.634841,-441.3978667,20
82,-725.960543,-454.24368695000004,20
83,-404.82292,-452.23555075,20
84,-417.818274,-449.8086985,20
85,-397.386402,-449.191641,20
86,-401.515651,-448.87332035,20
87,-404.001432,-446.4544593500001,20
88,-462.686584,-446.28941939999993,20
89,-467.806736,-446.04092555,20
90,-387.887196,-441.56101179999996,20
91,-487.462135,-442.8376308,20
92,-402.287663,-442.9740185999999,20
93,-404.476436,-440.27474674999996,20
94,-447.816176,-433.87697310000004,20
95,-402.029265,-432.90335534999997,20
96,-450.643543,-434.87813454999997,20
97,-471.907697,-438.2190539,20
98,-454.082474,-440.2723736,20
99,-405.915112,-441.40270335,20
100,-424.932883,-441.50369814999993,20
101,-411.476972,-441.6458047,20
102,-380.93215,-424.39438505,20
103,-481.547808,-428.23062945000004,20
104,-427.783303,-428.72888090000004,20
105,-444.937141,-431.10641784999996,20
106,-413.961856,-431.7287281,20
107,-402.171737,-431.63724335000006,20
108,-409.520698,-428.97894905000004,20
109,-421.359752,-426.65659985,20
110,-474.030919,-430.9637860000001,20
111,-387.846452,-425.98300185000005,20
112,-416.698038,-426.70352060000005,20
113,-416.898232,-427.3246104,20
114,-466.049455,-428.23627435,20
115,-439.014231,-430.08552265,20
116,-415.328312,-428.31976110000005,20
