#{"t_start": 1780717921.7502642, "env_id": "None"}
r,l,t
-153.680367,294,18.866129
-485.43315,653,54.990456
-273.120612,372,76.904818
16.720413,84,83.71549
-207.776154,328,103.407809
56.145025,40,107.589517
-772.786719,800,151.720073
-793.141512,800,195.802876
54.044281,41,200.388044
-154.562109,231,215.165762
-148.157377,220,228.973437
50.586742,46,233.826883
49.554895,64,239.209253
55.035097,47,244.176556
-778.957153,800,288.758945
-753.076573,800,332.866969
-160.332198,245,347.903113
-109.119718,201,360.758794
45.881489,51,365.869079
62.292348,33,370.309441
-758.477304,800,414.413256
40.589103,47,419.318792
34.320313,74,425.54978
-154.779756,221,439.69148
-134.568593,246,454.585667
-72.069889,143,464.664251
20.302778,59,469.858001
-136.204736,222,483.740771
-320.145411,416,508.006372
60.327825,41,512.548194
49.179947,50,517.650301
35.29083,57,523.071072
-119.5636,177,534.32808
-50.190509,127,543.700164
-151.959194,234,558.264809
-125.545342,240,573.484571
-120.813968,180,585.155049
-108.97536,158,595.494821
-144.072866,201,608.653861
-138.912657,210,621.907452
-226.507093,306,640.429371
-755.86309,800,684.125318
-735.724651,800,728.58182
-245.035988,286,745.898727
5.861684,82,752.508996
-9.05956,89,759.635802
64.740822,43,763.937977
-69.212264,197,776.563018
56.694673,32,780.688701
-188.471571,229,795.294084
-203.541065,330,814.883426
38.112398,53,820.211589
-118.781902,228,834.868136
-154.064417,203,847.916912
-76.916957,211,861.724945
41.164484,46,866.480162
-127.798885,193,878.539886
66.679547,17,881.89643
44.71161,60,887.388815
-136.702629,233,902.314557
-81.941803,188,914.130342
-114.974217,224,928.36444
18.069726,60,933.450972
5.364466,85,940.404207
20.844784,82,946.714192
-89.373186,171,957.978789
-76.163626,169,969.063525
-772.411261,800,1013.186643
-185.301984,245,1028.59113
-702.085745,800,1072.797764
-148.60133,263,1089.189231
-23.04957,117,1097.743976
23.406966,63,1103.403304
-84.043914,155,1113.823386
38.704783,43,1118.814255
60.318355,38,1123.252745
-94.383909,146,1132.889959
-91.4326,169,1144.159061
-50.650784,127,1153.547321
-95.395824,148,1163.413678
26.029223,65,1169.165207
-66.451781,151,1179.04839
44.941549,59,1184.561746
-159.952914,213,1198.321022
5.700923,100,1205.618186
68.700835,31,1209.702637
-742.283531,800,1254.245712
-828.230242,800,1298.458961
-237.772787,285,1315.525021
42.827336,48,1320.415121
-9.126518,87,1327.486855
-797.28625,800,1371.898869
47.028203,60,1377.099397
-763.112131,800,1421.382637
-165.228051,237,1436.014698
-120.611432,204,1449.076206
-124.721345,231,1463.821944
62.163261,23,1467.029349
45.543204,65,1472.865075
-334.890708,398,1495.54613
25.355598,67,1501.816994
-174.470687,250,1517.235486
37.554084,61,1522.931375
-24.085103,119,1531.585531
-127.882932,185,1543.947386
22.63872,75,1549.851349
37.401695,73,1555.998436
55.40416,47,1560.910729
-212.544917,317,1579.644295
49.885402,49,1584.545714
-799.043665,800,1628.414918
-96.769113,149,1638.900467
47.665439,49,1643.79802
-762.851802,800,1688.031602
-348.242452,454,1714.309762
