episode,timesteps,window,moving_average_reward,best_moving_average_reward,episodes_since_improvement,stopped
30,7022,30,-91.40921586666667,-91.40921586666667,0,0
31,7307,30,-92.9499273,-91.40921586666667,1,0
32,7532,30,-91.9540165,-91.40921586666667,2,0
33,8332,30,-114.55752589999999,-91.40921586666667,3,0
34,8382,30,-114.20067806666664,-91.40921586666667,4,0
35,9182,30,-134.29835029999998,-91.40921586666667,5,0
36,9424,30,-136.6488362333333,-91.40921586666667,6,0
37,9639,30,-140.26489363333332,-91.40921586666667,7,0
38,9892,30,-136.40545976666667,-91.40921586666667,8,0
39,10229,30,-138.00367046666668,-91.40921586666667,9,0
40,10935,30,-153.9407581,-91.40921586666667,10,0
41,11193,30,-158.02953513333333,-91.40921586666667,11,0
42,11256,30,-158.4912278,-91.40921586666667,12,0
43,11443,30,-162.43433779999998,-91.40921586666667,13,0
44,11488,30,-157.05728696666665,-91.40921586666667,14,0
45,11818,30,-163.30119129999997,-91.40921586666667,15,0
46,11842,30,-155.7437216333333,-91.40921586666667,16,0
47,12032,30,-158.90928173333333,-91.40921586666667,17,0
48,12249,30,-162.4576023,-91.40921586666667,18,0
49,12679,30,-172.46610113333335,-91.40921586666667,19,0
50,12887,30,-171.03311733333337,-91.40921586666667,20,0
51,13087,30,-158.73555753333338,-91.40921586666667,21,0
52,13249,30,-138.45683273333333,-91.40921586666667,22,0
53,13288,30,-138.69667573333336,-91.40921586666667,23,0
54,13451,30,-136.25753013333335,-91.40921586666667,24,0
55,13974,30,-125.58674500000004,-91.40921586666667,25,0
56,14243,30,-113.34759476666669,-91.40921586666667,26,0
57,14413,30,-118.28133176666668,-91.40921586666667,27,0
58,14638,30,-118.1558732666667,-91.40921586666667,28,0
59,14880,30,-118.3712924666667,-91.40921586666667,29,0
60,15090,30,-117.72398053333336,-91.40921586666667,30,1
