episode,reward,moving_average_reward,moving_average_window
1,-70.957914,-70.957914,12
2,-103.943605,-87.4507595,12
3,15.213555,-53.22932133333334,12
4,52.774232,-26.728433000000006,12
5,-28.492127,-27.081171800000003,12
6,-33.534089,-28.156658000000004,12
7,31.63749,-19.61463685714286,12
8,-180.177628,-39.685010750000004,12
9,-79.718067,-44.13312811111112,12
10,55.146011,-34.20521420000001,12
11,48.207338,-26.713164000000006,12
12,67.112736,-18.894339000000006,12
13,53.662701,-8.509287750000006,12
14,-91.376349,-7.462016416666668,12
15,63.802143,-3.412967416666671,12
16,-155.004666,-20.727875583333333,12
17,46.021159,-14.518435083333335,12
18,18.598634,-10.174041500000001,12
19,28.309326,-10.451388499999998,12
20,-110.323558,-4.630216,12
21,-408.76943,-32.05116291666666,12
22,-637.792543,-89.79604241666668,12
23,73.504875,-87.68791433333332,12
24,-136.269284,-104.636416,12
25,-616.923526,-160.51860158333332,12
26,-454.730144,-190.7980845,12
27,71.934979,-190.12034816666664,12
28,-86.017781,-184.37144108333334,12
29,-91.107022,-195.7987895,12
30,-83.063922,-204.27066916666664,12
31,-117.179257,-216.39471775,12
32,-74.066281,-213.373278,12
33,-662.891727,-234.55013608333329,12
34,63.479667,-176.11078524999996,12
35,-631.422294,-234.85471600000002,12
36,-104.048667,-232.16966458333334,12
37,-76.844232,-187.16305675,12
38,-64.394612,-154.63509575,12
39,-127.664388,-171.26837633333332,12
40,-422.966618,-199.34744608333335,12
41,-74.455973,-197.9598586666667,12
42,53.261956,-186.59936883333333,12
43,-64.630599,-182.22031400000003,12
44,69.935176,-170.2201925833333,12
45,-123.514987,-125.2721309166667,12
46,71.719424,-124.5854845,12
47,-48.945644,-76.04576366666667,12
48,-87.850983,-74.69595666666667,12
49,-271.945639,-90.95440724999999,12
50,-67.334044,-91.19935991666665,12
51,-39.842636,-83.88088058333334,12
52,-29.430799,-51.086228999999996,12
53,66.309585,-39.35576583333334,12
54,-63.094916,-49.05217183333334,12
55,-296.799972,-68.39961958333335,12
56,-87.555637,-81.52385400000001,12
57,-76.077131,-77.57069933333334,12
58,-82.254026,-90.40182016666667,12
59,-97.569598,-94.45381633333335,12
60,-63.644564,-92.43661475,12
