episode,reward,moving_average_reward,moving_average_window
1,-328.103827,-328.103827,20
2,-204.386833,-266.24533,20
3,-355.163025,-295.8845616666667,20
4,-334.129518,-305.44580075,20
5,-391.363309,-322.62930240000003,20
6,-38.320989,-275.24458350000003,20
7,-308.143701,-279.9444574285714,20
8,-9.257255,-246.108557125,20
9,-7.522662,-219.59901322222223,20
10,-135.210556,-211.1601675,20
11,-2.856607,-192.2234801818182,20
12,-311.721704,-202.1816655,20
13,52.144153,-182.61814099999998,20
14,-27.605265,-171.5457927142857,20
15,-23.417179,-161.6705518,20
16,-20.041268,-152.8187215625,20
17,22.071077,-142.53108635294117,20
18,-71.587301,-138.58976494444445,20
19,40.815553,-129.1473797894737,20
20,40.938054,-120.64310809999999,20
21,42.302638,-102.12278484999999,20
22,14.354549,-91.18571575000001,20
23,-72.170609,-77.03609495,20
24,-8.346954,-60.74696675000003,20
25,71.765828,-37.59050990000001,20
26,74.838226,-31.932549150000007,20
27,56.455209,-13.702603649999991,20
28,17.507194,-12.364381199999986,20
29,-57.81206,-14.878851099999988,20
30,27.562494,-6.7401985999999905,20
31,-63.099544,-9.752345449999995,20
32,-15.03969,5.081755249999999,20
33,71.034354,6.026265300000001,20
34,1.625735,7.4878152999999985,20
35,65.417838,11.929566149999996,20
36,-67.15382,9.573938549999998,20
37,65.991995,11.769984449999997,20
38,52.960536,17.9973763,20
39,-46.487214,13.632237949999999,20
40,-71.415372,8.01456665,20
41,33.9752,7.598194750000002,20
42,-126.004963,0.5802191500000007,20
43,59.490991,7.16329915,20
44,2.066401,7.6839669,20
45,64.947992,7.343075100000002,20
46,14.19592,4.310959799999999,20
47,57.921133,4.384255999999999,20
48,-11.50385,2.9337038,20
49,69.018802,9.275246899999999,20
50,72.713051,11.532774749999998,20
51,58.649804,17.620242150000003,20
52,63.548034,21.54962835,20
53,-19.134651,17.0411781,20
54,57.522946,19.83603865,20
55,-17.489882,15.690652649999995,20
56,-61.324378,15.982124749999993,20
57,-122.467222,6.559163899999996,20
58,37.143325,5.768303349999999,20
59,-98.835667,3.150880699999999,20
60,35.483801,8.495839349999995,20
61,31.598123,8.376985499999998,20
62,-17.616052,13.796431049999992,20
63,53.3391,13.488836499999996,20
64,44.29574,15.600303450000002,20
65,-16.257624,11.540022650000001,20
66,74.032624,14.53185785,20
67,61.838474,14.727724900000002,20
68,-289.083222,0.8487563000000051,20
69,22.019928,-1.5011873999999987,20
70,65.08674,-1.8825029499999992,20
71,55.683699,-2.0308081999999987,20
72,59.732904,-2.2215647,20
73,-84.98707,-5.514185650000002,20
74,-86.695577,-12.725111799999999,20
75,43.762431,-9.662496149999999,20
76,39.853302,-4.603612150000002,20
77,69.223568,4.98092735,20
78,52.660985,5.75681035,20
79,-29.987776,9.199204900000003,20
80,25.757127,8.712871200000002,20
81,34.006109,8.833270500000001,20
82,19.684192,10.698282700000002,20
83,32.28947,9.6458012,20
84,72.704021,11.066215249999999,20
85,43.041662,14.031179550000001,20
86,76.565894,14.157843049999997,20
87,60.879441,14.109891399999999,20
88,5.681711,28.848138049999996,20
89,55.333606,30.51382195,20
90,74.844376,31.00170375,20
91,42.665273,30.350782449999997,20
92,13.851867,28.056730599999998,20
93,43.759467,34.49405744999999,20
94,-127.685375,32.444567549999995,20
95,78.959588,34.20442539999999,20
96,46.188602,34.52119039999999,20
97,63.640856,34.24205479999999,20
98,66.143316,34.91617135,20
99,-56.744711,33.57832459999999,20
100,28.630731,33.722004799999986,20
101,57.900753,34.916737,20
102,84.222392,38.143647,20
103,74.156817,40.237014349999995,20
104,59.391271,39.57137685000001,20
105,84.841716,41.66137955000001,20
106,36.881987,39.677184200000006,20
107,-159.189871,28.6737186,20
108,34.717751,30.125520600000005,20
109,68.582099,30.78794525,20
110,53.526236,29.722038249999997,20
111,-49.44767,25.116391099999998,20
112,-2.084244,24.31958555,20
113,76.704171,25.96682075,20
114,67.150027,35.70859084999999,20
115,83.034702,35.91234655,20
116,82.241284,37.71498065,20
117,51.407507,37.1033132,20
118,86.204603,38.106377550000005,20
119,71.110488,44.4991375,20
120,10.507182,43.59296005,20
121,63.837288,43.8897868,20
122,61.170094,42.73717189999999,20
123,81.101845,43.084423300000005,20
124,70.895103,43.659614899999994,20
125,61.314873,42.483272750000005,20
126,16.084111,41.44337895,20
127,49.671645,51.886454750000006,20
128,81.660246,54.2335795,20
129,35.530642,52.581006650000006,20
130,75.461646,53.67777715000001,20
131,63.573771,59.328849200000015,20
132,19.763247,60.42122375000001,20
133,81.467568,60.65939360000002,20
134,82.80501,61.442142750000016,20
135,43.023248,59.44157005000001,20
136,83.067049,59.4828583,20
137,25.170824,58.17102415000001,20
138,-32.419204,52.2398338,20
139,85.878761,52.97824744999999,20
140,85.121345,56.70895559999999,20
141,68.415878,56.9378851,20
142,63.740039,57.066382350000005,20
143,77.789214,56.900750800000004,20
144,85.669039,57.6394476,20
145,56.757709,57.411589400000004,20
146,67.50732,59.98274984999999,20
147,64.474898,60.72291249999999,20
148,3.764048,56.8281026,20
149,58.397752,57.97145810000001,20
150,83.611672,58.37895940000001,20
151,82.195731,59.31005739999999,20
152,73.697595,62.0067748,20
153,66.682085,61.26750065,20
154,55.765669,59.9155336,20
155,-13.66276,57.08123320000001,20
156,69.373638,56.39656265000001,20
157,53.038515,57.78994720000001,20
158,68.099651,62.815889950000006,20
159,69.145972,61.97925049999999,20
160,-40.252497,55.710558400000004,20
161,85.852764,56.5824027,20
162,86.156304,57.703215950000015,20
163,85.489311,58.08822080000001,20
164,75.86471,57.59800435,20
165,84.52559,58.9863984,20
166,89.707787,60.096421750000005,20
167,-25.884887,55.578432500000005,20
168,82.510295,59.51574485000001,20
169,74.397128,60.315713650000006,20
170,54.357814,58.85302075,20
171,84.364306,58.96144949999999,20
172,52.657601,57.90944979999999,20
173,47.14052,56.93237154999999,20
174,88.34586,58.56138109999997,20
175,58.533192,62.171178699999984,20
176,66.152462,62.01011989999999,20
177,66.903095,62.703348899999995,20
178,81.648196,63.380776149999996,20
179,85.831071,64.2150311,20
180,35.692766,68.01229425,20
181,73.277996,67.38355585000001,20
182,54.057947,65.778638,20
183,78.919556,65.45015025000001,20
184,84.278508,65.87084015,20
185,83.243621,65.8067417,20
186,55.78739,64.11072185,20
187,56.451173,68.22752485000001,20
188,57.686073,66.98631375,20
189,73.56917,66.94491585,20
190,86.092563,68.53165329999999,20
191,80.987107,68.36279334999999,20
192,63.436796,68.90175309999998,20
193,69.112849,70.00036954999999,20
194,77.050365,69.43559479999999,20
195,74.311071,70.22448875,20
196,86.217553,71.22774330000001,20
197,83.062561,72.03571660000001,20
198,86.558613,72.28123745,20
199,37.615124,69.8704401,20
200,47.67591,70.46959729999999,20
201,61.820347,69.89671485,20
202,89.360959,71.66186545,20
203,58.529671,70.64237119999999,20
204,81.485421,70.50271685,20
205,82.045632,70.44281740000001,20
206,83.047922,71.80584400000001,20
207,77.213877,72.8439792,20
208,89.20899,74.42012505,20
209,74.143042,74.44881864999999,20
210,79.121686,74.1002748,20
211,81.514677,74.1266533,20
212,85.919335,75.25078025,20
213,88.176683,76.20397195,20
214,79.487946,76.32585099999999,20
215,78.145446,76.51756974999998,20
216,86.802183,76.54680124999999,20
217,72.054829,75.99641464999999,20
218,88.493242,76.09314609999998,20
219,88.419149,78.63334735,20
220,88.791566,80.68913015000001,20
221,87.853867,81.99080615000001,20
222,86.602346,81.85287550000001,20
223,85.089791,83.18088150000001,20
224,88.241304,83.51867565,20
225,85.418414,83.68731475000001,20
226,65.102969,82.7900671,20
227,85.436783,83.2012124,20
228,88.430403,83.16228305,20
229,89.358395,83.9230507,20
230,86.969566,84.31544470000001,20
231,87.196808,84.59955125,20
232,87.110339,84.65910145000001,20
233,86.563281,84.57843135,20
234,89.942287,85.10114840000001,20
