#{"t_start": 1780658522.5415869, "env_id": "None"}
r,l,t
-704.766397,200,13.925872
-779.390091,200,26.834752
-951.718897,200,39.970844
-749.138732,200,52.383197
-764.293532,200,65.447006
-820.857674,200,78.917699
-850.349057,200,91.805511
-711.31586,200,105.234607
-689.199232,200,118.043847
-612.949757,200,131.00836
-679.156254,200,144.142209
-658.422851,200,156.936539
-734.371747,200,170.067738
-686.75655,200,182.87874
-710.725645,200,195.34359
-591.559389,200,208.478513
-621.72879,200,220.872737
-683.173076,200,236.351494
-684.028514,200,249.154459
-630.277287,200,262.033535
-626.875719,200,275.182536
-739.403735,200,287.997339
-775.654348,200,300.869625
-740.791757,200,313.611405
-753.049007,200,326.41969
-610.655192,200,339.532791
-595.908372,200,352.339001
-739.738776,200,365.231299
-687.55478,200,377.973117
-735.695983,200,390.773073
-608.290758,200,403.920154
-629.539891,200,416.722062
-574.234035,200,429.596694
-692.221761,200,442.744013
-520.490719,200,455.547147
-616.150375,200,468.325625
-749.563015,200,481.08208
-688.168828,200,493.962073
-766.697818,200,507.183163
-552.202823,200,520.635271
-652.710363,200,535.245076
-688.88709,200,549.385056
-626.400339,200,563.555092
-523.137579,200,578.612163
-535.667212,200,592.385686
-583.974459,200,606.768377
-502.601824,200,622.011458
-641.596909,200,636.387552
-640.165179,200,651.218031
-703.267951,200,665.441276
-645.137743,200,680.377239
-609.368173,200,695.227801
-558.290703,200,708.673709
-615.297866,200,723.054789
-560.755844,200,736.909759
-590.813456,200,750.820587
-660.279119,200,764.56718
-612.641989,200,778.480787
-696.930828,200,792.639436
-646.877027,200,806.164222
-708.342216,200,820.293425
-697.845866,200,834.088606
-619.776993,200,847.935912
-598.069332,200,861.864743
-578.582351,200,876.327988
-673.680495,200,890.299767
-638.412998,200,904.182927
-601.828585,200,917.934699
-533.040765,200,931.822544
-623.489207,200,946.261216
-645.262054,200,960.61309
-606.998536,200,975.620871
-663.046515,200,990.350037
-651.946022,200,1004.603138
-591.825103,200,1019.388306
-538.78957,200,1033.304843
-544.943043,200,1048.096961
-588.701869,200,1062.57337
-623.474807,200,1077.118799
-529.507211,200,1092.009264
-579.778981,200,1106.14429
-596.106078,200,1121.098795
-544.120171,200,1135.456134
-553.801168,200,1149.762096
-669.228483,200,1165.231096
-643.306082,200,1180.464266
-543.455802,200,1194.571805
-661.700913,200,1209.979798
-634.446048,200,1224.499861
-497.217307,200,1239.09177
-472.188218,200,1253.117528
-551.194561,200,1267.63928
-691.105915,200,1282.39992
-480.378935,200,1296.681225
-652.359948,200,1311.250118
-655.353873,200,1325.56388
-582.928436,200,1339.889162
-554.322325,200,1354.702106
-685.190589,200,1368.89218
-708.703274,200,1383.372287
-692.57884,200,1397.625964
-641.903371,200,1411.592225
-912.052222,200,1426.435758
-728.122357,200,1440.622977
-701.065124,200,1455.019116
-643.486661,200,1469.353202
-630.536159,200,1483.983629
-823.239312,200,1497.999421
-636.07534,200,1512.054989
-658.431059,200,1525.993324
-802.821433,200,1541.051858
-563.349596,200,1554.809602
-681.40516,200,1570.334742
-533.596605,200,1585.12012
-643.480894,200,1599.390582
-524.31841,200,1614.297163
-525.262337,200,1628.130145
-471.561051,200,1643.154848
-473.784721,200,1657.219681
-491.205855,200,1671.526868
-530.583862,200,1686.130985
-385.455241,200,1700.361855
-590.974512,200,1715.430491
-403.508617,200,1729.671207
-436.201347,200,1743.810733
-331.905168,200,1758.48027
-439.140433,200,1772.710846
-372.044244,200,1786.629405
-209.479217,200,1801.757509
-295.937589,200,1815.920711
-277.9037,200,1830.842495
-10.482678,131,1841.855334
-205.111283,200,1856.276784
-361.31713,200,1871.167533
-275.874887,200,1885.550538
-206.02283,200,1899.850607
-278.22816,200,1914.927707
-211.685192,200,1928.728274
-251.074835,200,1943.632392
-278.75658,200,1957.982002
-217.302428,200,1972.301455
-260.715352,200,1987.276687
-399.466997,200,2001.15534
-275.879231,164,2013.588047
-266.803023,129,2023.715711
-305.880909,123,2032.791199
-384.469595,161,2043.861998
-294.933564,121,2052.782782
-256.64054,92,2060.255993
-321.08209,135,2069.786772
-383.054709,138,2079.379704
-245.515001,102,2087.382827
-202.771162,85,2094.7485
-230.257896,73,2100.832688
-272.051804,106,2109.029176
-180.154488,61,2114.766966
-259.143219,100,2122.446244
-214.303146,88,2130.275316
-184.174993,75,2136.535598
-177.997112,65,2142.700655
-202.956714,100,2150.84706
-197.781086,83,2158.215847
-187.336289,70,2165.309103
-191.068524,86,2172.603746
-185.957712,79,2180.073951
-201.950022,89,2187.767987
