episode,reward,moving_average_reward,moving_average_window
1,-704.766397,-704.766397,20
2,-779.390091,-742.078244,20
3,-951.718897,-811.9584616666667,20
4,-749.138732,-796.25352925,20
5,-764.293532,-789.8615298000001,20
6,-820.857674,-795.0275538333334,20
7,-850.349057,-802.9306257142858,20
8,-711.31586,-791.47878,20
9,-689.199232,-780.1143857777778,20
10,-612.949757,-763.3979229,20
11,-679.156254,-755.7395893636364,20
12,-658.422851,-747.6298611666666,20
13,-734.371747,-746.6100062307692,20
14,-686.75655,-742.3347593571427,20
15,-710.725645,-740.2274850666666,20
16,-591.559389,-730.9357290625,20
17,-621.72879,-724.5117914705882,20
18,-683.173076,-722.2151961666665,20
19,-684.028514,-720.2053707894735,20
20,-630.277287,-715.7089665999999,20
21,-626.875719,-711.8144326999999,20
22,-739.403735,-709.8151149,20
23,-775.654348,-701.0118874500001,20
24,-740.791757,-700.5945386999999,20
25,-753.049007,-700.03231245,20
26,-610.655192,-689.5221883500001,20
27,-595.908372,-676.8001541000001,20
28,-739.738776,-678.2212999,20
29,-687.55478,-678.1390773,20
30,-735.695983,-684.2763885999999,20
31,-608.290758,-680.7331138,20
32,-629.539891,-679.2889657999999,20
33,-574.234035,-671.2820801999999,20
34,-692.221761,-671.5553407499999,20
35,-520.490719,-662.0435944499999,20
36,-616.150375,-663.2731437499999,20
37,-749.563015,-669.6648549999999,20
38,-688.168828,-669.9146426,20
39,-766.697818,-674.0481078,20
40,-552.202823,-670.1443846,20
41,-652.710363,-671.4361168,20
42,-688.88709,-668.9102845499999,20
43,-626.400339,-661.4475841,20
44,-523.137579,-650.5648752000001,20
45,-535.667212,-639.6957854500001,20
46,-583.974459,-638.3617488,20
47,-502.601824,-633.6964214000001,20
48,-641.596909,-628.78932805,20
49,-640.165179,-626.4198479999998,20
50,-703.267951,-624.7984463999999,20
51,-645.137743,-626.64079565,20
52,-609.368173,-625.6322097499999,20
53,-558.290703,-624.83504315,20
54,-615.297866,-620.9888484,20
55,-560.755844,-623.0021046500001,20
56,-590.813456,-621.7352587,20
57,-660.279119,-617.2710639000001,20
58,-612.641989,-613.4947219500001,20
59,-696.930828,-610.00637245,20
60,-646.877027,-614.74008265,20
61,-708.342216,-617.5216753000001,20
62,-697.845866,-617.9696141000001,20
63,-619.776993,-617.6384468,20
64,-598.069332,-621.3850344499999,20
65,-578.582351,-623.5307913999999,20
66,-673.680495,-628.0160931999999,20
67,-638.412998,-634.8066519,20
68,-601.828585,-632.8182357,20
69,-533.040765,-627.462015,20
70,-623.489207,-623.4730778,20
71,-645.262054,-623.47929335,20
72,-606.998536,-623.3608115,20
73,-663.046515,-628.5986021,20
74,-651.946022,-630.4310098999999,20
75,-591.825103,-631.98447285,20
76,-538.78957,-629.38327855,20
77,-544.943043,-623.61647475,20
78,-588.701869,-622.41946875,20
79,-623.474807,-618.7466677,20
80,-529.507211,-612.8781769,20
81,-579.778981,-606.45001515,20
82,-596.106078,-601.36302575,20
83,-544.120171,-597.5801846500001,20
84,-553.801168,-595.3667764500001,20
85,-669.228483,-599.8990830500001,20
86,-643.306082,-598.3803624000001,20
87,-543.455802,-593.6325026000002,20
88,-661.700913,-596.6261190000001,20
89,-634.446048,-601.6963831500001,20
90,-497.217307,-595.3827881500001,20
91,-472.188218,-586.7290963500002,20
92,-551.194561,-583.9388976000001,20
93,-691.105915,-585.3418676000001,20
94,-480.378935,-576.7635132500001,20
95,-652.359948,-579.7902555000001,20
96,-655.353873,-585.61847065,20
97,-582.928436,-587.5177403,20
98,-554.322325,-585.7987630999999,20
99,-685.190589,-588.8845521999999,20
100,-708.703274,-597.8443553499999,20
101,-692.57884,-603.4843483,20
102,-641.903371,-605.77421295,20
103,-912.052222,-624.1708154999999,20
104,-728.122357,-632.88687495,20
105,-701.065124,-634.4787070000001,20
106,-643.486661,-634.4877359500001,20
107,-630.536159,-638.8417538000001,20
108,-823.239312,-646.9186737500002,20
109,-636.07534,-647.00013835,20
110,-658.431059,-655.0608259500001,20
111,-802.821433,-671.5924867,20
112,-563.349596,-672.20023845,20
113,-681.40516,-671.7152007,20
114,-533.596605,-674.3760841999999,20
115,-643.480894,-673.9321315,20
116,-524.31841,-667.38035835,20
117,-525.262337,-664.4970534,20
118,-471.561051,-660.3589897,20
119,-473.784721,-649.7886963000001,20
120,-491.205855,-638.9138253500001,20
121,-530.583862,-630.81407645,20
122,-385.455241,-617.9916699500001,20
123,-590.974512,-601.9377844500001,20
124,-403.508617,-585.70709745,20
125,-436.201347,-572.4639086,20
126,-331.905168,-556.8848339499999,20
127,-439.140433,-547.31504765,20
128,-372.044244,-524.75529425,20
129,-209.479217,-503.4254881,20
130,-295.937589,-485.3008146,20
131,-277.9037,-459.05492795,20
132,-10.482678,-431.41158205,20
133,-205.111283,-407.5968882,20
134,-361.31713,-398.98291445000007,20
135,-275.874887,-380.6026141000001,20
136,-206.02283,-364.6878351,20
137,-278.22816,-352.33612624999995,20
138,-211.685192,-339.3423333,20
139,-251.074835,-328.20683900000006,20
140,-278.75658,-317.58437525000005,20
141,-217.302428,-301.92030355,20
142,-260.715352,-295.6833091,20
143,-399.466997,-286.10793335,20
144,-275.879231,-279.72646405,20
145,-266.803023,-271.25654785,20
146,-305.880909,-269.9553349000001,20
147,-384.469595,-267.22179300000005,20
148,-294.933564,-263.366259,20
149,-256.64054,-265.72432515,20
150,-321.08209,-266.9815502,20
151,-383.054709,-272.23910065,20
152,-245.515001,-283.9907168,20
153,-202.771162,-283.87371075,20
154,-230.257896,-277.32074904999996,20
155,-272.051804,-277.1295948999999,20
156,-180.154488,-275.8361778,20
157,-259.143219,-274.8819307499999,20
158,-214.303146,-275.01282845,20
159,-184.174993,-271.6678363499999,20
160,-177.997112,-266.62986294999996,20
161,-202.956714,-265.91257724999997,20
162,-197.781086,-262.76586395,20
163,-187.336289,-252.15932855,20
164,-191.068524,-247.91879320000004,20
165,-185.957712,-243.87652765000007,20
166,-201.950022,-238.67998330000006,20
167,-218.842914,-230.39864925,20
168,-165.387741,-223.9213581,20
169,-207.487135,-221.46368784999999,20
170,-242.029194,-217.51104304999996,20
171,-217.600077,-209.23831144999994,20
172,-172.061751,-205.56564894999997,20
173,-169.219438,-203.88806275,20
174,-196.479551,-202.1991455,20
175,-150.887629,-196.14093674999998,20
176,-181.261627,-196.1962937,20
177,-194.25547,-192.95190625,20
178,-171.822384,-190.82786815,20
179,-173.780144,-190.3081257,20
180,-177.456412,-190.2810907,20
181,-199.179068,-190.09220839999998,20
182,-164.35595,-188.4209516,20
183,-168.883203,-187.4982973,20
184,-164.682089,-186.17897554999996,20
185,-182.917065,-186.0269432,20
186,-176.759402,-184.7674122,20
187,-168.67234,-182.2588835,20
188,-192.332087,-183.6061008,20
189,-158.447993,-181.15414370000002,20
190,-181.918577,-178.14861285,20
191,-160.573456,-175.2972818,20
192,-158.341917,-174.61129010000005,20
193,-171.786699,-174.73965315,20
194,-193.140763,-174.57271375000002,20
195,-158.791544,-174.9679095,20
196,-182.490633,-175.0293598,20
197,-142.838965,-172.45853455,20
198,-155.537951,-171.6443129,20
199,-164.41309,-171.17596020000002,20
200,-204.240947,-172.51518695,20
201,-144.333531,-169.7729101,20
202,-172.294268,-170.169826,20
203,-149.633294,-169.20733055000002,20
204,-154.308748,-168.68866350000002,20
205,-177.717833,-168.42870190000002,20
206,-164.678895,-167.82467655000002,20
207,-156.626322,-167.22237565000003,20
208,-185.777997,-166.89467115000005,20
209,-193.058633,-168.62520315,20
210,-155.289102,-167.29372940000002,20
211,-142.521037,-166.39110845000005,20
212,-142.113226,-165.57967390000002,20
213,-149.770857,-164.4788818,20
214,-190.568051,-164.35024620000002,20
215,-158.233056,-164.32232180000003,20
216,-161.412549,-163.26841760000002,20
217,-151.95747,-163.72434285000003,20
218,-209.529154,-166.423903,20
219,-214.206004,-168.9135487,20
220,-171.189465,-167.2609746,20
221,-169.853611,-168.53697859999997,20
222,-135.675356,-166.706033,20
223,-179.602034,-168.20447,20
224,-151.000372,-168.0390512,20
225,-169.988721,-167.6525956,20
226,-138.258894,-166.33159555000003,20
227,-156.413011,-166.32093000000003,20
228,-149.020176,-164.48303895000004,20
229,-147.722678,-162.21624120000004,20
230,-150.906838,-161.99712800000003,20
231,-183.442794,-164.04321585000002,20
232,-142.151252,-164.04511715,20
233,-163.284008,-164.72077470000002,20
234,-145.85201,-162.48497265,20
235,-151.249382,-162.13578895,20
236,-166.822452,-162.40628410000002,20
237,-158.531294,-162.73497530000003,20
238,-156.720707,-160.09455295,20
239,-149.049345,-156.83672,20
240,-148.412258,-155.69785965,20
241,-154.704638,-154.94041099999998,20
242,-165.641334,-156.4387099,20
243,-171.68724,-156.04297019999998,20
244,-172.585971,-157.12225014999999,20
