episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,200,-842.131909,timeout,-842.131909,0.0,3.9555392265319824,0,best_episode_model+best_average_model+best_success_model+best_precision_model
2,400,-841.156977,timeout,-841.6444429999999,0.0,3.999494791030884,0,best_episode_model+best_average_model
3,600,-781.868722,timeout,-821.7192026666667,0.0,3.173173666000366,0,best_episode_model+best_average_model+best_precision_model
42,8400,-768.043277,timeout,-1022.7536844999998,0.0,3.230302333831787,0,best_episode_model
50,10000,-734.712209,timeout,-963.2628476000003,0.0,3.0784575939178467,0,best_episode_model+best_precision_model
98,19600,-631.135645,timeout,-924.0220859500001,0.0,3.0112688541412354,0,best_episode_model+best_precision_model
101,20200,-558.950922,timeout,-890.87795635,0.0,2.5841424465179443,0,best_episode_model+best_precision_model
104,20800,-564.006611,timeout,-839.25541405,0.0,2.4937827587127686,0,best_precision_model
106,21200,-703.652057,timeout,-813.4587480500002,0.0,2.862210512161255,0,best_average_model
107,21400,-733.023702,timeout,-806.27512275,0.0,3.014925241470337,0,best_average_model
108,21600,-681.436647,timeout,-792.42127985,0.0,3.087937831878662,0,best_average_model
109,21800,-583.595014,timeout,-779.31390105,0.0,2.4336559772491455,0,best_average_model+best_precision_model
110,22000,-530.116002,timeout,-756.7225591,0.0,2.218136787414551,0,best_episode_model+best_average_model+best_precision_model
111,22200,-826.978296,timeout,-754.4896004000001,0.0,3.1897335052490234,0,best_average_model
112,22400,-572.989501,timeout,-739.2364393500001,0.0,2.337205648422241,0,best_average_model
113,22600,-628.570231,timeout,-730.2745687500001,0.0,2.7306714057922363,0,best_average_model
114,22800,-789.672471,timeout,-727.40379465,0.0,3.419848918914795,0,best_average_model
115,23000,-727.820261,timeout,-706.68386525,0.0,3.1896157264709473,0,best_average_model
116,23200,-631.717864,timeout,-697.1060784500002,0.0,2.5625216960906982,0,best_average_model
117,23400,-709.692831,timeout,-692.7209307500001,0.0,3.118528127670288,0,best_average_model
118,23600,-530.901138,timeout,-687.7092054000001,0.0,2.307299852371216,0,best_average_model
119,23800,-581.704012,timeout,-676.38392465,0.0,2.357048273086548,0,best_average_model
120,24000,-592.51129,timeout,-661.1744648000001,0.0,2.836876153945923,0,best_average_model
122,24400,-540.517287,timeout,-656.2247522,0.0,2.133301019668579,0,best_average_model+best_precision_model
123,24600,-624.998129,timeout,-650.93671425,0.0,2.3038129806518555,0,best_average_model
124,24800,-534.83041,timeout,-649.4779042,0.0,1.9470027685165405,0,best_average_model+best_precision_model
125,25000,-454.835845,timeout,-631.4234717,0.0,2.0042009353637695,0,best_episode_model+best_average_model
126,25200,-536.55761,timeout,-623.0687493500001,0.0,1.9787743091583252,0,best_average_model
127,25400,-574.826804,timeout,-615.1589044500001,0.0,2.121487855911255,0,best_average_model
128,25600,-453.663436,timeout,-603.7702439000001,0.0,1.5382966995239258,0,best_episode_model+best_average_model+best_precision_model
129,25800,-527.268939,timeout,-600.95394015,0.0,1.6520137786865234,0,best_average_model
130,26000,-461.419359,timeout,-597.5191080000001,0.0,1.9495488405227661,0,best_average_model
131,26200,-479.732421,timeout,-580.1568142499999,0.0,1.6767808198928833,0,best_average_model
132,26400,-455.250904,timeout,-574.2698843999999,0.0,1.9521994590759277,0,best_average_model
133,26600,-510.870032,timeout,-568.38487445,0.0,2.1933045387268066,0,best_average_model
134,26800,-561.145712,timeout,-556.9585365,0.0,2.3071956634521484,0,best_average_model
135,27000,-532.448805,timeout,-547.1899637,0.0,2.482288122177124,0,best_average_model
