episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,300,-265.699622,timeout,-265.699622,0.0,0.7155781388282776,0,best_average_model
2,324,65.628323,success,-100.03564949999999,0.5,0.164493128657341,0,best_average_model
3,523,-89.936098,success,-96.66913233333332,0.6666666666666666,0.15992212295532227,0,best_average_model
25,3452,71.77357,success,-92.8905412,0.65,0.13686589896678925,0,best_average_model
27,3537,30.999833,success,-77.52975759999998,0.7,0.19765205681324005,0,best_average_model
30,3885,72.183231,success,-56.22475744999999,0.75,0.138011634349823,0,best_average_model
31,3900,72.611078,success,-56.0233706,0.75,0.1228964701294899,0,best_average_model
32,3910,77.738488,success,-55.80796934999999,0.75,0.09180688112974167,0,best_average_model
36,3987,69.923268,success,-19.713296249999996,0.8,0.10183768719434738,0,best_average_model
37,4001,74.248183,success,-19.299233899999997,0.8,0.12173584848642349,0,best_average_model
40,4327,70.877558,success,-5.937477099999997,0.85,0.1451936513185501,0,best_average_model
48,4740,76.002167,success,14.116113400000007,0.9,0.09205686300992966,0,best_average_model
49,4753,74.410455,success,14.833735700000002,0.9,0.10685888677835464,0,best_average_model
56,4871,71.815922,success,14.837559399999998,0.9,0.10774505138397217,0,best_average_model
57,4882,76.457235,success,14.948012000000002,0.9,0.0975704938173294,0,best_average_model
58,4894,75.109222,success,43.0109705,0.95,0.09638191014528275,0,best_average_model
