episode,timesteps,window,moving_average_reward,best_moving_average_reward,episodes_since_improvement,stopped
30,3885,30,-107.55575366666667,-107.55575366666667,0,0
31,3900,30,-96.27873033333336,-96.27873033333336,0,0
32,3910,30,-95.8750581666667,-96.27873033333336,1,0
33,3934,30,-90.67095923333336,-90.67095923333336,0,0
34,3953,30,-75.65510186666668,-75.65510186666668,0,0
35,3967,30,-58.40417983333334,-58.40417983333334,0,0
36,3987,30,-58.57220549999999,-58.40417983333334,1,0
37,4001,30,-46.80201276666666,-46.80201276666666,0,0
38,4301,30,-48.63435943333332,-46.80201276666666,1,0
39,4312,30,-48.522313233333335,-46.80201276666666,2,0
40,4327,30,-32.0012741,-32.0012741,0,0
41,4627,30,-51.66121016666668,-32.0012741,1,0
42,4640,30,-51.61502446666667,-32.0012741,2,0
43,4651,30,-51.514798633333335,-32.0012741,3,0
44,4665,30,-51.47465063333333,-32.0012741,4,0
45,4682,30,-51.6263923,-32.0012741,5,0
46,4712,30,-27.44491153333333,-27.44491153333333,0,0
47,4727,30,-27.175852699999997,-27.44491153333333,1,0
48,4740,30,-14.423715899999992,-14.423715899999992,0,0
49,4753,30,-14.476767499999992,-14.423715899999992,1,0
50,4769,30,0.39741740000000286,0.39741740000000286,0,0
51,4784,30,0.9822117666666671,0.39741740000000286,1,0
52,4802,30,13.291510100000002,13.291510100000002,0,0
53,4824,30,13.211854166666667,13.291510100000002,1,0
54,4842,30,13.232623466666666,13.291510100000002,2,0
55,4854,30,13.351465433333336,13.291510100000002,3,0
56,4871,30,13.334586900000005,13.291510100000002,4,0
57,4882,30,14.849833633333336,14.849833633333336,0,0
58,4894,30,33.65601553333334,33.65601553333334,0,0
59,5194,30,14.650474733333336,33.65601553333334,1,0
60,5237,30,13.96758566666667,33.65601553333334,2,0
61,5247,30,14.09321856666667,33.65601553333334,3,0
62,5261,30,13.9652462,33.65601553333334,4,0
63,5272,30,14.285046966666668,33.65601553333334,5,0
64,5298,30,14.182634899999998,33.65601553333334,6,0
65,5598,30,-7.343142433333332,33.65601553333334,7,0
66,5613,30,-7.252329266666668,33.65601553333334,8,0
67,5626,30,-7.236210566666665,33.65601553333334,9,0
68,5633,30,11.586872466666671,33.65601553333334,10,0
69,5649,30,11.461013733333338,33.65601553333334,11,0
70,5664,30,11.5389771,33.65601553333334,12,0
71,5680,30,31.34782870000001,33.65601553333334,13,0
72,5698,30,31.254574400000003,33.65601553333334,14,0
73,5998,30,12.026596699999995,33.65601553333334,15,0
74,6298,30,-9.344354866666665,33.65601553333334,16,0
75,6330,30,-9.727128499999997,33.65601553333334,17,0
76,6342,30,-9.286723199999994,33.65601553333334,18,0
77,6357,30,-9.321187266666664,33.65601553333334,19,0
78,6372,30,-9.425699199999995,33.65601553333334,20,0
79,6383,30,-9.399876899999992,33.65601553333334,21,0
80,6424,30,-10.049266733333335,33.65601553333334,22,0
81,6437,30,-9.981089933333338,33.65601553333334,23,0
82,6456,30,-10.038077066666668,33.65601553333334,24,0
83,6481,30,-10.207875566666669,33.65601553333334,25,0
84,6495,30,-10.136597333333334,33.65601553333334,26,0
85,6513,30,-10.299220300000005,33.65601553333334,27,0
86,6527,30,-10.228259966666677,33.65601553333334,28,0
87,6552,30,-10.599777666666663,33.65601553333334,29,0
88,6563,30,-10.588300533333328,33.65601553333334,30,1
