episode,timesteps,window,moving_average_reward,best_moving_average_reward,episodes_since_improvement,stopped
30,5669,30,-312.73208386666664,-312.73208386666664,0,0
31,5969,30,-317.8949282333333,-312.73208386666664,1,0
32,6269,30,-328.23193069999996,-312.73208386666664,2,0
33,6290,30,-312.3938805,-312.73208386666664,3,0
34,6590,30,-341.34572430000003,-312.73208386666664,4,0
35,6591,30,-341.2471594666667,-312.73208386666664,5,0
36,6891,30,-366.88331526666667,-312.73208386666664,6,0
37,6899,30,-366.97260193333335,-312.73208386666664,7,0
38,7199,30,-373.3295131000001,-312.73208386666664,8,0
39,7499,30,-378.5839335,-312.73208386666664,9,0
40,7799,30,-395.94137969999997,-312.73208386666664,10,0
41,7805,30,-395.75476953333333,-312.73208386666664,11,0
42,8105,30,-400.65153913333336,-312.73208386666664,12,0
43,8108,30,-400.0324830333333,-312.73208386666664,13,0
44,8408,30,-405.17965519999996,-312.73208386666664,14,0
45,8421,30,-384.1385570333333,-312.73208386666664,15,0
46,8490,30,-384.7977084333333,-312.73208386666664,16,0
47,8790,30,-402.8665251999999,-312.73208386666664,17,0
48,8792,30,-385.4174997999999,-312.73208386666664,18,0
49,8793,30,-359.60798523333324,-312.73208386666664,19,0
50,8806,30,-358.8039387999999,-312.73208386666664,20,0
51,8854,30,-335.0766522666666,-312.73208386666664,21,0
52,8878,30,-335.2627118666666,-312.73208386666664,22,0
53,8898,30,-307.63460756666666,-307.63460756666666,0,0
54,9198,30,-302.5226278666667,-302.5226278666667,0,0
55,9498,30,-299.01250020000003,-299.01250020000003,0,0
56,9504,30,-299.0250385333333,-299.01250020000003,1,0
57,9514,30,-274.0240645,-274.0240645,0,0
58,9814,30,-262.2644201,-262.2644201,0,0
59,9845,30,-234.4494756,-234.4494756,0,0
60,9862,30,-234.09504923333333,-234.4494756,1,0
61,10162,30,-231.44044376666665,-231.44044376666665,0,0
62,10168,30,-202.8970256333333,-202.8970256333333,0,0
63,10203,30,-203.32741909999996,-202.8970256333333,1,0
64,10219,30,-174.6737954666667,-174.6737954666667,0,0
65,10220,30,-174.67624956666668,-174.6737954666667,1,0
66,10520,30,-165.8635728666667,-165.8635728666667,0,0
67,10533,30,-165.94535340000002,-165.8635728666667,1,0
68,10569,30,-141.82894736666674,-141.82894736666674,0,0
69,10582,30,-118.1560525,-118.1560525,0,0
70,10607,30,-85.09543169999998,-85.09543169999998,0,0
71,10608,30,-85.02405889999999,-85.09543169999998,1,0
72,10908,30,-84.90420459999997,-85.09543169999998,2,0
73,10920,30,-85.06605856666665,-85.09543169999998,3,0
74,10943,30,-65.79199310000003,-65.79199310000003,0,0
75,10990,30,-66.38952243333337,-65.79199310000003,1,0
76,11290,30,-86.74212490000001,-65.79199310000003,2,0
77,11297,30,-68.48358920000001,-65.79199310000003,3,0
78,11319,30,-68.87406543333333,-65.79199310000003,4,0
79,11328,30,-69.01489083333334,-65.79199310000003,5,0
80,11628,30,-98.71364266666667,-65.79199310000003,6,0
81,11645,30,-98.09148016666667,-65.79199310000003,7,0
82,11650,30,-97.66665086666669,-65.79199310000003,8,0
83,11664,30,-97.55006023333334,-65.79199310000003,9,0
84,11682,30,-76.77072483333335,-65.79199310000003,10,0
85,11982,30,-89.8090224,-65.79199310000003,11,0
86,11995,30,-89.96365399999999,-65.79199310000003,12,0
87,12023,30,-90.38319376666668,-65.79199310000003,13,0
88,12323,30,-97.75752483333332,-65.79199310000003,14,0
89,12333,30,-97.37144323333334,-65.79199310000003,15,0
90,12345,30,-97.2322429,-65.79199310000003,16,0
91,12360,30,-76.17974873333334,-65.79199310000003,17,0
92,12380,30,-76.45064243333334,-65.79199310000003,18,0
93,12401,30,-76.04884263333334,-65.79199310000003,19,0
94,12410,30,-75.8172737,-65.79199310000003,20,0
95,12414,30,-75.86701233333334,-65.79199310000003,21,0
96,12714,30,-86.41892676666666,-65.79199310000003,22,0
97,13014,30,-115.99181100000001,-65.79199310000003,23,0
98,13038,30,-115.65839600000001,-65.79199310000003,24,0
99,13338,30,-149.65785553333336,-65.79199310000003,25,0
100,13638,30,-177.11694336666667,-65.79199310000003,26,0
101,13938,30,-209.7942437333333,-65.79199310000003,27,0
102,13944,30,-188.8037693,-65.79199310000003,28,0
103,13965,30,-189.0200127333333,-65.79199310000003,29,0
104,13969,30,-188.65293519999994,-65.79199310000003,30,1
