episode,reward,moving_average_reward,moving_average_window
1,-482.777167,-482.777167,20
2,-467.441578,-475.1093725,20
3,-404.901705,-451.7068166666666,20
4,80.166792,-318.7384145,20
5,77.812084,-239.4283148,20
6,42.778084,-192.393915,20
7,80.025778,-153.476816,20
8,-474.159135,-193.562105875,20
9,-477.789272,-225.14290211111108,20
10,-401.481619,-242.7767738,20
11,72.793434,-214.08857309090908,20
12,-407.742861,-230.22643041666666,20
13,61.057924,-207.8199416153846,20
14,-355.611797,-218.3765027142857,20
15,-557.674595,-240.99637553333332,20
16,54.553064,-222.52453556249998,20
17,71.883969,-205.2063882352941,20
18,-443.240812,-218.43052288888887,20
19,-693.382816,-243.42801199999997,20
20,49.915778,-228.7608225,20
21,-658.912904,-237.56760934999997,20
22,71.760766,-210.60749214999996,20
23,-758.662554,-228.29553460000002,20
24,-706.021355,-267.60494195,20
25,-648.453307,-303.9182115,20
26,78.893142,-302.11245859999997,20
27,-672.209463,-339.72422065,20
28,-803.461464,-356.1893371,20
29,-769.556995,-370.77772325,20
30,59.878068,-347.7097389,20
31,-637.662498,-383.2325355,20
32,-777.551652,-401.72297505,20
33,70.239801,-401.2638812,20
34,-788.388522,-422.90271745,20
35,80.769029,-390.98053625,20
36,-726.30659,-430.02351895000004,20
37,77.347178,-429.75035849999995,20
38,-664.86647,-440.8316414000001,20
39,-635.421884,-437.9335948,20
40,-922.205005,-486.53963395,20
41,78.391739,-449.67440180000006,20
42,-554.645949,-480.99473754999997,20
43,79.629607,-439.0801295,20
44,-510.026962,-429.28040985000007,20
45,73.55835,-393.17982700000005,20
46,34.778522,-395.38555800000006,20
47,-470.180534,-385.28411155000003,20
48,80.22995,-341.09954085000004,20
49,80.902621,-298.57656005,20
50,74.037171,-297.86860490000004,20
51,52.905692,-263.34019539999997,20
52,66.178978,-221.1536639,20
53,70.180575,-221.15662519999995,20
54,-552.661964,-209.37029730000003,20
55,-543.149477,-240.56622260000003,20
56,78.516992,-200.32504350000005,20
57,77.819758,-200.30141450000002,20
58,-450.672132,-189.59169760000003,20
59,64.89134,-154.5760364,20
60,70.510859,-104.94024319999998,20
61,-558.024334,-136.76104685,20
62,78.750892,-105.09120479999999,20
63,57.327997,-106.20628530000002,20
64,71.220187,-77.14392785,20
65,80.695406,-76.78707505000001,20
66,-461.926289,-101.62231560000001,20
67,74.893762,-74.3686008,20
68,58.625711,-75.44881275,20
69,74.764962,-75.75569570000002,20
70,69.613619,-75.97687330000001,20
71,80.532923,-74.59551175000001,20
72,-551.05032,-105.45697665000003,20
73,74.773988,-105.22730600000003,20
74,68.195002,-74.18445770000002,20
75,55.63247,-44.24536035,20
76,-575.799552,-76.96118755,20
77,77.575537,-76.97339860000001,20
78,68.515663,-51.014008849999996,20
79,76.677859,-50.4246829,20
80,-816.925384,-94.79649505,20
81,71.570567,-63.31675000000001,20
82,78.923857,-63.30810175000001,20
83,73.678294,-62.490586900000004,20
84,70.718098,-62.51569135,20
85,-934.298404,-113.26538185,20
86,73.878044,-86.47516519999999,20
87,65.233565,-86.95817505,20
88,-671.902064,-123.4845638,20
89,76.473788,-123.3991225,20
90,74.686869,-123.14546,20
91,73.550491,-123.49458159999999,20
92,70.624081,-92.41086155,20
93,69.381991,-92.6804614,20
94,78.167255,-92.18184875,20
95,79.203247,-91.0033099,20
96,-778.483722,-101.1375184,20
97,-812.292765,-145.63093350000003,20
98,68.628161,-145.6253086,20
99,-945.218824,-196.72014275,20
100,-754.159016,-193.58182434999998,20
101,-899.786088,-242.1496571,20
102,78.663913,-242.16265429999999,20
103,68.286685,-242.43223475,20
104,79.207328,-242.00777324999996,20
