#{"t_start": 1780734583.7740657, "env_id": "None"}
r,l,t
-671.819494,300,18.558355
-543.968425,300,36.735785
-626.783852,300,54.715119
-627.706033,300,72.839436
-443.865577,300,90.653839
-471.047729,300,108.454688
-491.596336,300,126.715297
-471.961724,300,144.530088
-453.120036,300,162.681299
-376.077292,300,180.683237
-394.185197,300,198.837294
-379.798999,300,217.112587
-489.22264,300,235.109501
-467.040564,300,252.853987
-477.471004,300,270.895346
-519.306052,300,289.018428
-410.059633,300,307.019354
-359.097312,300,324.808399
-452.424798,300,343.038067
-385.043365,300,361.046263
-329.059904,300,378.793183
-350.63983,300,396.941425
-362.779855,300,415.524852
-368.910303,300,433.290526
-368.381043,300,451.27222
-352.21389,300,469.423099
-398.172785,300,487.222074
-420.693932,300,504.971781
-305.71176,300,522.783534
-329.724339,300,540.93029
-362.097936,300,559.011636
-392.732389,300,576.82515
-301.594292,300,594.964222
-425.075178,300,612.58499
-275.059068,300,630.829092
-365.639475,300,649.102983
-442.706835,300,667.114882
-404.201958,300,685.4521
-426.38232,300,703.065814
-359.300314,300,721.206514
-403.066229,300,739.284647
-381.5957,300,757.093136
-308.398629,300,774.860292
-289.742022,300,792.866647
-353.973049,300,811.026414
-341.41296,300,829.03444
-317.154573,300,846.793116
-306.179888,300,865.058586
-287.992185,300,882.88595
-231.917923,300,900.640433
-227.367069,300,918.621374
-177.114873,300,936.412073
-224.849875,300,954.653608
-226.385611,300,972.481318
-264.878458,223,986.699987
-216.072061,300,1004.330047
-295.629335,300,1022.72305
-174.894059,109,1030.415811
-252.806792,300,1048.622227
-257.218877,300,1066.562828
-262.986989,300,1084.319657
-104.227142,289,1101.780231
-231.618632,300,1119.500954
-238.82009,300,1137.478756
-228.748554,300,1155.637626
-198.600193,300,1173.930355
-236.732716,300,1191.523547
-30.347925,174,1203.192072
-212.843169,300,1220.672528
-256.040111,300,1238.856065
-211.068658,300,1256.81944
-237.576081,300,1274.995798
-217.022379,300,1292.827134
36.754232,86,1299.958254
-224.627182,300,1317.570688
-201.432399,300,1335.736782
-272.803265,300,1353.71964
-194.769268,300,1371.887846
-231.438636,300,1389.75543
-192.742126,300,1407.570868
42.545998,81,1413.779975
23.78879,104,1421.879094
52.060095,67,1427.370383
-209.079457,300,1445.216372
-201.125972,300,1463.373652
43.278427,78,1469.542429
-76.909558,262,1485.503292
-5.004854,147,1496.037432
-217.779409,300,1514.120073
-224.571354,300,1532.692445
-235.222974,300,1550.713687
-163.343425,300,1568.812679
-41.228493,192,1581.275172
-226.305025,300,1599.267993
-30.6452,175,1610.796295
-210.097281,300,1629.299352
-245.550628,300,1648.00051
-196.526972,300,1665.706876
-199.219478,300,1684.160124
-199.813433,300,1701.998384
-220.449221,300,1720.45471
-112.193804,286,1738.099105
-201.786438,300,1756.171004
40.39258,85,1763.058553
-224.195031,300,1781.471342
43.894385,83,1788.140942
-213.494369,300,1806.55702
57.570658,58,1811.97471
-217.53754,300,1829.624345
30.274914,101,1837.362252
48.951912,75,1843.593759
-176.938408,300,1861.721155
-221.54547,300,1879.71031
-171.005561,300,1897.813802
-217.292056,300,1915.855076
-197.095304,300,1934.37148
55.542842,61,1940.074012
-181.758268,300,1958.217982
-230.63321,300,1976.376976
6.056362,129,1985.453789
-225.76598,300,2003.694091
-230.23483,300,2021.749878
-110.252106,277,2038.941515
-211.49972,300,2056.728083
-214.171269,300,2075.297073
-226.216025,300,2093.067571
-24.510144,180,2104.897933
-215.1392,300,2123.000391
26.921614,103,2130.856108
-230.512481,300,2148.466243
-224.83612,300,2166.59525
-79.031085,240,2181.328751
-199.202749,300,2199.563306
-206.17516,300,2217.857903
-195.007349,300,2235.868906
-183.553081,300,2253.666772
-183.933242,300,2271.671381
-204.975667,300,2289.779255
-190.814303,300,2307.8011
62.85022,53,2312.802055
