episode,reward,moving_average_reward,moving_average_window
1,-671.819494,-671.819494,20
2,-543.968425,-607.8939594999999,20
3,-626.783852,-614.1905903333333,20
4,-627.706033,-617.569451,20
5,-443.865577,-582.8286762,20
6,-471.047729,-564.1985183333333,20
7,-491.596336,-553.826778,20
8,-471.961724,-543.59364625,20
9,-453.120036,-533.541022888889,20
10,-376.077292,-517.7946498,20
11,-394.185197,-506.5574268181818,20
12,-379.798999,-495.9942245,20
13,-489.22264,-495.47333338461533,20
14,-467.040564,-493.44242128571426,20
15,-477.471004,-492.3776601333333,20
16,-519.306052,-494.06068462499996,20
17,-410.059633,-489.1194462941176,20
18,-359.097312,-481.8959943888888,20
19,-452.424798,-480.3448787894736,20
20,-385.043365,-475.57980309999994,20
21,-329.059904,-458.44182359999996,20
22,-350.63983,-448.7753938499999,20
23,-362.779855,-435.575194,20
24,-368.910303,-422.6354074999999,20
25,-368.381043,-418.86118079999994,20
26,-352.21389,-412.91948885,20
27,-398.172785,-408.24831129999995,20
28,-420.693932,-405.68492169999996,20
29,-305.71176,-398.31450789999997,20
30,-329.724339,-395.99686024999994,20
31,-362.097936,-394.3924972,20
32,-392.732389,-395.0391667,20
33,-301.594292,-385.65774930000003,20
34,-425.075178,-383.55948,20
35,-275.059068,-373.4388832000001,20
36,-365.639475,-365.75555434999995,20
37,-442.706835,-367.38791445000004,20
38,-404.201958,-369.64314675,20
39,-426.38232,-368.3410228499999,20
40,-359.300314,-367.0538703,20
41,-403.066229,-370.75418654999993,20
42,-381.5957,-372.30198004999994,20
43,-308.398629,-369.58291875,20
44,-289.742022,-365.62450470000005,20
45,-353.973049,-364.904105,20
46,-341.41296,-364.3640585,20
47,-317.154573,-360.3131479,20
48,-306.179888,-354.5874457,20
49,-287.992185,-353.70146695,20
50,-231.917923,-348.81114615,20
51,-227.367069,-342.0746028,20
52,-177.114873,-331.29372699999993,20
53,-224.849875,-327.45650614999994,20
54,-226.385611,-317.5220278,20
55,-264.878458,-317.01299729999994,20
56,-216.072061,-309.53462659999997,20
57,-295.629335,-302.1807516,20
58,-174.894059,-290.71535665,20
59,-252.806792,-282.03658025,20
60,-257.218877,-276.9325084,20
61,-262.986989,-269.9285464000001,20
62,-104.227142,-256.0601185,20
63,-231.618632,-252.22111865000002,20
64,-238.82009,-249.67502205,20
65,-228.748554,-243.4137973,20
66,-198.600193,-236.27315895,20
67,-236.732716,-232.25206610000004,20
68,-30.347925,-218.46046795000007,20
69,-212.843169,-214.70301715000005,20
70,-256.040111,-215.90912655000005,20
71,-211.068658,-215.09420600000007,20
72,-237.576081,-218.11726640000006,20
73,-217.022379,-217.72589160000007,20
74,36.754232,-204.56889945000006,20
75,-224.627182,-202.55633565000002,20
76,-201.432399,-201.82435255000001,20
77,-272.803265,-200.68304905,20
78,-194.769268,-201.6768095,20
79,-231.438636,-200.6084017,20
80,-192.742126,-197.38456415000002,20
81,42.545998,-182.1079148,20
82,23.78879,-175.70711820000002,20
83,52.060095,-161.52318185,20
84,-209.079457,-160.03615019999998,20
85,-201.125972,-158.65502109999997,20
86,43.278427,-146.56109009999997,20
87,-76.909558,-138.56993219999998,20
88,-5.004854,-137.30277864999996,20
89,-217.779409,-137.54959064999997,20
90,-224.571354,-135.97615279999997,20
91,-235.222974,-137.1838686,20
92,-163.343425,-133.4722358,20
93,-41.228493,-124.6825415,20
94,-226.305025,-137.83550435,20
95,-30.6452,-128.13640525,20
96,-210.097281,-128.56964935,20
97,-245.550628,-127.20701749999998,20
98,-196.526972,-127.29490270000001,20
99,-199.219478,-125.68394480000002,20
100,-199.813433,-126.03751014999997,20
101,-220.449221,-139.18727109999998,20
102,-112.193804,-145.98640079999998,20
103,-201.786438,-158.67872744999997,20
104,40.39258,-146.20512559999997,20
105,-224.195031,-147.35857855,20
106,43.894385,-147.32778064999997,20
107,-213.494369,-154.15702119999997,20
108,57.570658,-151.02824559999996,20
109,-217.53754,-151.01615214999998,20
110,30.274914,-138.27383874999998,20
111,48.951912,-124.06509444999999,20
112,-176.938408,-124.7448436,20
113,-221.54547,-133.76069245,20
114,-171.005561,-130.99571924999998,20
115,-217.292056,-140.32806204999997,20
116,-197.095304,-139.6779632,20
117,55.542842,-124.62328970000002,20
118,-181.758268,-123.88485449999999,20
119,-230.63321,-125.4555411,20
120,6.056362,-115.16205135,20
121,-225.76598,-115.42788930000002,20
122,-230.23483,-121.32994059999999,20
123,-110.252106,-116.75322399999997,20
124,-211.49972,-129.34783899999996,20
125,-214.171269,-128.84665089999996,20
126,-226.216025,-142.35217139999997,20
127,-24.510144,-132.90296014999996,20
128,-215.1392,-146.53845305,20
129,26.921614,-134.31549535000002,20
130,-230.512481,-147.35486509999998,20
131,-224.83612,-161.04426669999998,20
132,-79.031085,-156.14890055,20
133,-199.202749,-155.0317645,20
134,-206.17516,-156.79024445,20
135,-195.007349,-155.6760091,20
136,-183.553081,-154.99889795,20
137,-183.933242,-166.97270215,20
138,-204.975667,-168.13357210000004,20
139,-190.814303,-166.14262675,20
140,62.85022,-163.30293385000002,20
