episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,1000,-622.527394,timeout,-622.527394,0.0,0.4128608703613281,0,best_average_model
2,1332,-56.286752,success,-339.40707299999997,0.5,0.09749533981084824,0,best_average_model
7,4532,-118.240554,success,-313.65015757142857,0.5714285714285714,0.0663532167673111,0,best_average_model
37,26198,-181.061847,success,-296.7700835499999,0.7,0.09634855389595032,0,best_average_model
38,26980,-351.287084,success,-284.36980299999993,0.75,0.09413658827543259,0,best_average_model
39,27518,-169.010028,success,-282.1695292999999,0.75,0.09569268673658371,0,best_average_model
40,27778,10.881948,success,-265.0458698499999,0.75,0.0918877050280571,0,best_average_model
76,53856,-161.204993,success,-257.92352335,0.65,0.09750502556562424,0,best_average_model
77,54425,-187.66544,success,-240.24011965,0.7,0.0939817726612091,0,best_average_model
79,55167,-19.691087,success,-224.69419034999996,0.7,0.09498419612646103,0,best_average_model
80,55602,-98.063477,success,-222.58198914999994,0.7,0.098356693983078,0,best_average_model
81,56602,-543.413767,timeout,-219.47951355,0.7,0.6040129065513611,0,best_average_model
82,57602,-542.48902,timeout,-218.91190735,0.7,0.47315967082977295,0,best_average_model
83,58062,-113.552241,success,-194.69661960000002,0.75,0.09118368476629257,0,best_average_model
