episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,161,16.134639,success,16.134639,1.0,0.08711543679237366,0,best_average_model
2,249,52.705409,success,34.420024,1.0,0.09584283828735352,0,best_average_model
3,290,70.746314,success,46.528787333333334,1.0,0.09742020815610886,0,best_average_model
4,387,54.78117,success,48.591883,1.0,0.09173650294542313,0,best_average_model
12,1093,79.851343,success,50.73026866666667,1.0,0.09015011787414551,0,best_average_model
13,1191,56.61588,success,51.183008,1.0,0.0998687818646431,0,best_average_model
14,1220,81.599616,success,53.355622857142855,1.0,0.09401890635490417,0,best_average_model
15,1283,64.378431,success,54.090476733333325,1.0,0.09950104355812073,0,best_average_model
18,1549,80.263615,success,54.13162705555555,1.0,0.08470313251018524,0,best_average_model
27,2517,60.588937,success,54.42899649999998,1.0,0.09719797968864441,0,best_average_model
28,2577,64.915117,success,55.65627939999998,1.0,0.08583685755729675,0,best_average_model
30,2679,77.193463,success,56.39426159999998,1.0,0.08854378759860992,0,best_average_model
40,3490,72.785001,success,57.425909250000004,1.0,0.09691592305898666,0,best_average_model
41,3559,57.074702,success,58.846270249999996,1.0,0.09553880244493484,0,best_average_model
43,3691,69.27097,success,58.97510175,1.0,0.0917048454284668,0,best_average_model
45,3841,78.960263,success,59.38035135,1.0,0.08596361428499222,0,best_average_model
46,3883,69.540064,success,60.031736949999996,1.0,0.08099468052387238,0,best_average_model
