episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,1000,-755.407647,timeout,-755.407647,0.0,0.3329119384288788,0,best_average_model
5,4398,-176.912777,success,-646.2070512,0.2,0.09306969493627548,0,best_average_model
8,7049,-339.105441,success,-629.2839795,0.25,0.0988919734954834,0,best_average_model
10,8124,-145.277933,unsafe_sonar,-592.9320137,0.2,7.682812213897705,0,best_average_model
12,9184,-129.574458,unsafe_sonar,-565.4168721666666,0.16666666666666666,7.88604211807251,0,best_average_model
13,9487,-53.418032,success,-526.032346,0.23076923076923078,0.09952513873577118,0,best_average_model
14,10112,-307.395567,success,-510.41543321428566,0.2857142857142857,0.09875689446926117,0,best_average_model
15,10178,-143.747221,unsafe_sonar,-485.97088573333326,0.26666666666666666,8.325776100158691,0,best_average_model
16,10553,-114.100838,success,-462.72900774999994,0.3125,0.09729959070682526,0,best_average_model
21,13780,-168.924387,unsafe_sonar,-458.5179552999999,0.25,7.463176727294922,0,best_average_model
22,13854,-184.585367,unsafe_sonar,-428.50445609999997,0.25,8.278592109680176,0,best_average_model
23,14261,-442.270783,unsafe_sonar,-413.7188181499999,0.25,2.710512399673462,0,best_average_model
24,14358,-171.566049,unsafe_sonar,-383.50332364999997,0.25,7.2157440185546875,0,best_average_model
25,14677,-63.339403,success,-377.82465494999997,0.25,0.09870412945747375,0,best_average_model
26,15460,-492.583406,success,-365.5436370499999,0.3,0.09450072795152664,0,best_average_model
27,15548,-160.690293,unsafe_sonar,-337.2817829499999,0.3,7.293492794036865,0,best_average_model
53,28350,-231.485347,unsafe_sonar,-312.72098444999995,0.25,6.028431415557861,0,best_average_model
